season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg
2021/22,2021-08-14,Norwich,Liverpool,A,0,3,0.965,2.656,0.1363,0.1764,0.6873,7.335,5.669,1.455,1.427,3.342,9.9,6.0,1.37,1.56,2.75,0.03879,0.01859,0.03111,0.09779,0.14657,0.19406,0.37501,34.97,5.84,-5.84,9.32,-17.71,1400.0,1646.3,-246.3,1,17.4,8.78,8.62,26.18,384,83.0,301.0,0.0,15.0,-15.0,A Marriner,0.42045454545454547,2.8579545454545454,3.028409090909091
2021/22,2021-08-14,Watford,Aston Villa,H,3,2,1.743,1.564,0.4043,0.2546,0.3411,2.473,3.928,2.932,1.558,2.793,3.3,3.4,2.5,2.1,1.87,0.15707,0.35486,0.06482,0.11636,0.90561,0.29382,0.4172,33.44,-13.44,-14.73,34.79,-33.05,1451.8,1500.5,-48.7,1,11.88,12.36,-0.48,24.24,384,83.0,301.0,6.0,7.0,-1.0,M Dean,0.4696969696969697,2.6313131313131315,3.8282828282828283
2021/22,2021-08-14,Leicester,Wolves,H,1,0,1.4,1.073,0.4554,0.2838,0.2608,2.196,3.523,3.835,2.227,1.815,1.75,3.96,5.6,2.12,1.85,0.12152,0.29658,0.08056,0.068,0.78656,0.33384,0.30213,-20.31,12.4,46.02,-4.8,1.93,1558.9,1486.0,72.8,0,8.58,13.3,-4.72,21.88,83,83.0,0.0,4.0,4.0,0.0,C Pawson,0.4260355029585799,2.6508875739644973,3.467455621301775
2021/22,2021-08-14,Burnley,Brighton,A,1,2,1.309,1.214,0.3859,0.2902,0.3239,2.591,3.445,3.088,2.164,1.859,3.33,3.2,2.6,2.56,1.63,0.20202,0.14891,0.08424,0.45716,0.48757,0.34284,1.12742,28.52,-7.11,-15.8,18.3,-12.32,1455.5,1472.3,-16.8,1,12.35,11.11,1.24,23.46,83,83.0,0.0,3.0,7.0,-4.0,D Coote,0.5306122448979592,2.9183673469387754,3.122448979591837
2021/22,2021-08-14,Chelsea,Crystal Palace,H,3,0,2.397,0.743,0.6901,0.1944,0.1155,1.449,5.144,8.654,1.646,2.547,1.3,6.3,15.0,1.84,2.12,0.03647,0.09606,0.03779,0.01335,0.37098,0.21616,0.12279,-10.28,22.47,73.33,11.79,-16.76,1599.1,1458.7,140.4,1,10.94,15.21,-4.27,26.15,83,83.0,0.0,9.0,6.0,3.0,J Moss,0.42105263157894735,2.863157894736842,3.4210526315789473
2021/22,2021-08-14,Man United,Leeds,H,5,1,2.44,1.313,0.5892,0.2155,0.1954,1.697,4.641,5.119,1.383,3.614,1.59,4.65,6.35,1.71,2.38,0.06899,0.1688,0.04644,0.03817,0.52907,0.2427,0.21736,-6.31,0.19,24.05,23.64,-34.14,1633.9,1547.8,86.1,1,12.71,9.14,3.57,21.85,83,83.0,0.0,7.0,12.0,-5.0,P Tierney,0.39603960396039606,2.594059405940594,3.1683168316831685
2021/22,2021-08-14,Everton,Southampton,H,3,1,1.58,1.383,0.4412,0.2645,0.2943,2.267,3.78,3.398,1.759,2.317,2.04,3.66,4.25,2.14,1.85,0.13297,0.3123,0.06997,0.08662,0.81834,0.30723,0.34859,-10.01,-3.17,25.07,21.66,-20.16,1528.3,1454.7,73.7,1,14.92,12.14,2.78,27.06,83,83.0,0.0,7.0,6.0,1.0,A Madley,0.3793103448275862,2.586206896551724,2.793103448275862
2021/22,2021-08-15,Newcastle,West Ham,A,2,4,1.589,1.678,0.3577,0.2542,0.388,2.795,3.933,2.577,1.578,2.731,3.36,3.61,2.36,2.01,1.96,0.16749,0.12797,0.06463,0.3745,0.44275,0.29334,0.94666,20.21,-8.21,-8.42,27.38,-28.23,1483.4,1554.3,-70.9,1,26.6,14.46,12.14,41.06,84,84.0,0.0,9.0,10.0,-1.0,M Atkinson,0.39901477832512317,2.458128078817734,3.2364532019704435
2021/22,2021-08-15,Tottenham,Man City,H,1,0,1.156,2.173,0.2208,0.2243,0.5548,4.528,4.458,1.802,1.547,2.827,5.85,4.3,1.68,1.91,2.1,0.30497,0.60709,0.05033,0.30783,1.51032,0.25404,0.80928,29.2,-3.54,-6.77,23.46,-25.72,1559.0,1694.3,-135.2,0,10.06,10.75,-0.69,20.81,84,84.0,0.0,9.0,9.0,0.0,A Taylor,0.47619047619047616,2.8190476190476192,3.4714285714285715
2021/22,2021-08-21,Crystal Palace,Brentford,D,0,0,0.895,1.691,0.2437,0.2645,0.4918,4.103,3.781,2.033,2.092,1.916,2.7,3.3,3.02,2.43,1.67,0.10042,0.05939,0.54096,0.24187,0.27931,1.32992,0.67689,-34.19,-12.72,48.55,16.16,-12.84,1464.7,1519.2,-54.5,0,15.21,,,,7,8.0,-1.0,3.0,3.0,0.0,M Atkinson,0.39705882352941174,2.4754901960784315,3.2254901960784315
2021/22,2021-08-21,Liverpool,Burnley,H,2,0,2.543,0.825,0.6975,0.1871,0.1154,1.434,5.344,8.668,1.529,2.889,1.24,7.5,17.0,1.59,2.61,0.03493,0.09149,0.03501,0.01331,0.36022,0.20717,0.12258,-13.53,40.34,96.12,3.99,-9.66,1608.6,1456.6,152.0,0,8.78,12.35,-3.57,21.13,7,7.0,0.0,15.0,3.0,12.0,M Dean,0.4723618090452261,2.64321608040201,3.829145728643216
2021/22,2021-08-21,Aston Villa,Newcastle,H,2,0,1.973,1.11,0.5273,0.2495,0.2232,1.896,4.008,4.48,1.68,2.47,1.87,4.2,4.5,1.81,2.18,0.09109,0.22344,0.06224,0.04983,0.63997,0.28698,0.2526,-1.37,4.79,0.45,7.74,-11.74,1490.5,1477.1,13.4,0,12.36,26.6,-14.24,38.96,7,6.0,1.0,7.0,9.0,-2.0,D Coote,0.52,2.92,3.12
2021/22,2021-08-21,Leeds,Everton,D,2,2,1.992,1.632,0.4473,0.2474,0.3052,2.236,4.042,3.276,1.426,3.349,2.45,3.6,3.19,1.76,2.29,0.09776,0.2001,0.56636,0.09318,0.59298,1.39663,0.3642,9.57,-10.94,-2.63,23.42,-31.62,1526.1,1525.8,0.3,1,9.14,14.92,-5.78,24.06,7,7.0,0.0,12.0,7.0,5.0,D England,0.25,2.5833333333333335,3.1666666666666665
2021/22,2021-08-21,Man City,Norwich,H,5,0,3.652,0.6,0.8272,0.1136,0.0592,1.209,8.803,16.883,1.257,4.892,1.13,12.5,33.0,1.39,3.4,0.01113,0.02987,0.0129,0.00351,0.18975,0.12059,0.06106,-6.53,42.0,95.46,10.58,-30.5,1624.3,1422.2,202.1,1,10.75,17.4,-6.65,28.15,6,7.0,-1.0,6.0,0.0,6.0,G Scott,0.5555555555555556,2.876543209876543,2.617283950617284
2021/22,2021-08-21,Brighton,Watford,H,2,0,1.817,1.191,0.4903,0.2598,0.2498,2.039,3.849,4.003,1.728,2.373,1.8,3.6,5.9,2.31,1.73,0.10739,0.25976,0.06751,0.06242,0.71267,0.30087,0.28747,-11.72,-6.47,47.39,33.68,-27.1,1491.4,1474.6,16.8,0,11.11,11.88,-0.77,22.99,7,7.0,0.0,7.0,6.0,1.0,A Taylor,0.4786729857819905,2.81042654028436,3.4691943127962084
2021/22,2021-08-22,Wolves,Tottenham,A,0,1,1.416,1.209,0.3929,0.2792,0.3279,2.545,3.582,3.05,2.051,1.952,3.42,3.29,2.55,2.31,1.72,0.20203,0.15437,0.07796,0.45173,0.49906,0.32741,1.11508,34.38,-8.15,-16.39,12.63,-11.89,1482.7,1551.4,-68.7,0,13.3,10.06,3.24,23.36,8,7.0,1.0,3.0,9.0,-6.0,S Attwell,0.3829787234042553,2.702127659574468,3.574468085106383
