season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg
2017/18,2017-08-11,Arsenal,Leicester,H,4,3,2.337,1.23,0.5967,0.2174,0.1859,1.676,4.599,5.38,1.446,3.24,,,,,,0.06573,0.16264,0.04728,0.03454,0.51633,0.24518,0.20562,,,,,,1620.2,1506.9,113.3,1,8.98,11.95,-2.97,20.93,82,82.0,0.0,15.0,7.0,8.0,M Dean,0.4891304347826087,2.6739130434782608,3.6630434782608696
2017/18,2017-08-12,Chelsea,Burnley,A,2,3,2.44,0.651,0.7409,0.1753,0.0837,1.35,5.703,11.942,1.676,2.48,,,,,,0.46283,0.54895,0.03075,0.83953,1.35058,0.1928,2.48004,,,,,,1683.2,1434.9,248.2,1,14.43,10.37,4.06,24.8,83,83.0,0.0,15.0,4.0,11.0,C Pawson,0.4383561643835616,2.452054794520548,3.4246575342465753
2017/18,2017-08-12,Crystal Palace,Huddersfield,A,0,3,1.302,1.112,0.3907,0.2913,0.318,2.559,3.433,3.145,2.306,1.766,,,,,,0.20594,0.15268,0.08484,0.46515,0.49551,0.34429,1.14577,,,,,,1448.1,1500.0,-51.9,1,10.0,,,,83,,,3.0,,,J Moss,0.4117647058823529,2.7411764705882353,3.5176470588235293
2017/18,2017-08-12,Everton,Stoke,H,1,0,1.667,1.118,0.4925,0.2658,0.2417,2.03,3.763,4.137,1.898,2.114,,,,,,0.10532,0.25753,0.07063,0.05842,0.70821,0.30893,0.27669,,,,,,1535.9,1474.7,61.2,0,10.01,11.35,-1.34,21.36,83,83.0,0.0,4.0,5.0,-1.0,N Swarbrick,0.39344262295081966,2.80327868852459,3.5737704918032787
2017/18,2017-08-12,Southampton,Swansea,D,0,0,2.144,0.803,0.6092,0.2277,0.1631,1.642,4.392,6.129,1.771,2.297,,,,,,0.13257,0.37108,0.59647,0.02662,0.93948,1.4798,0.17811,,,,,,1496.0,1468.2,27.8,0,10.28,14.15,-3.87,24.43,83,83.0,0.0,5.0,13.0,-8.0,M Jones,0.43283582089552236,2.5970149253731343,3.0
2017/18,2017-08-12,Watford,Liverpool,D,3,3,1.023,1.601,0.2384,0.2588,0.5029,4.195,3.865,1.989,2.05,1.952,,,,,,0.10323,0.05681,0.54943,0.25289,0.27228,1.35184,0.69892,,,,,,1430.9,1615.0,-184.1,1,13.53,7.77,5.76,21.3,83,83.0,0.0,0.0,10.0,-10.0,A Taylor,0.45054945054945056,2.791208791208791,3.7252747252747254
2017/18,2017-08-12,West Brom,Bournemouth,H,1,0,1.755,1.209,0.4648,0.2628,0.2724,2.151,3.805,3.671,1.758,2.319,,,,,,0.12021,0.28643,0.06907,0.07419,0.76613,0.30491,0.31798,,,,,,1453.3,1478.4,-25.1,0,17.45,12.81,4.64,30.26,83,83.0,0.0,1.0,11.0,-10.0,R Madley,0.5074626865671642,2.671641791044776,3.3134328358208953
2017/18,2017-08-13,Man United,West Ham,H,4,0,2.085,0.996,0.5985,0.2294,0.1721,1.671,4.36,5.81,1.682,2.467,,,,,,0.06361,0.16119,0.05262,0.02962,0.51331,0.26056,0.18887,,,,,,1607.6,1492.5,115.1,1,12.6,13.17,-0.57,25.77,84,84.0,0.0,5.0,8.0,-3.0,M Atkinson,0.42045454545454547,2.4318181818181817,3.534090909090909
2017/18,2017-08-13,Newcastle,Tottenham,A,0,2,1.186,1.731,0.2427,0.2446,0.5127,4.12,4.088,1.951,1.792,2.262,,,,,,0.0988,0.0589,0.05984,0.23749,0.27799,0.28054,0.66811,,,,,,1454.3,1675.8,-221.5,0,11.31,8.08,3.23,19.39,455,84.0,371.0,9.0,12.0,-3.0,A Marriner,0.4583333333333333,2.986111111111111,3.7083333333333335
2017/18,2017-08-19,Leicester,Brighton,H,2,0,2.424,0.235,0.7342,0.1677,0.0981,1.362,5.962,10.194,2.015,1.985,,,,,,0.02676,0.07067,0.02813,0.00962,0.30901,0.1836,0.10325,,,,,,1498.4,1481.7,16.7,0,11.95,,,,8,7.0,1.0,4.0,0.0,4.0,L Probert,0.45454545454545453,1.7272727272727273,3.3636363636363638
