season,team,h_a,game_n,ppda,xg,xga,npxg,npxga,wins,draws,loses,ppda_rolling10
2014/15,Arsenal,h,1,2.93,1.55411,0.158151,1.55411,0.158151,1,0,0,
2014/15,Arsenal,a,2,7.79,1.43355,1.33429,1.43355,1.33429,0,1,0,
2014/15,Arsenal,a,3,7.5,2.29649,0.809743,2.29649,0.809743,0,1,0,6.07
2014/15,Arsenal,h,4,7.08,2.07804,2.30834,2.07804,2.30834,0,1,0,6.32
2014/15,Arsenal,a,5,7.73,1.36224,0.649013,1.36224,0.649013,1,0,0,6.61
2014/15,Arsenal,h,6,5.46,1.2647,0.673535,1.2647,0.673535,0,1,0,6.42
2014/15,Arsenal,a,7,11.29,0.330699,1.40263,0.330699,0.641457,0,0,1,7.11
2014/15,Arsenal,h,8,6.33,2.14845,0.552062,2.14845,0.552062,0,1,0,7.01
2014/15,Arsenal,a,9,4.73,1.47081,0.441491,1.47081,0.441491,1,0,0,6.76
2014/15,Arsenal,h,10,8.4,4.3298,0.684259,4.3298,0.684259,1,0,0,6.92
2014/15,Arsenal,a,11,8.97,1.77699,0.520487,1.77699,0.520487,0,0,1,7.53
2014/15,Arsenal,h,12,5.96,2.00193,1.2791,2.00193,1.2791,0,0,1,7.35
2014/15,Arsenal,a,13,11.95,1.05603,0.31526,1.05603,0.31526,1,0,0,7.79
2014/15,Arsenal,h,14,8.25,2.37332,0.570955,2.37332,0.570955,1,0,0,7.91
2014/15,Arsenal,a,15,6.21,2.02073,2.50357,1.25956,2.50357,0,0,1,7.76
2014/15,Arsenal,h,16,8.28,2.38819,0.938764,1.62702,0.938764,1,0,0,8.04
2014/15,Arsenal,a,17,12.26,0.754219,1.31858,0.754219,1.31858,0,1,0,8.13
2014/15,Arsenal,h,18,12.28,2.13888,1.21752,1.37771,0.456385,1,0,0,8.73
2014/15,Arsenal,a,19,10.56,3.35886,1.1084,2.59769,1.1084,1,0,0,9.31
2014/15,Arsenal,a,20,13.22,0.849285,2.41442,0.849285,2.41442,0,0,1,9.79
2014/15,Arsenal,h,21,9.56,2.26889,0.39839,2.26889,0.39839,1,0,0,9.85
2014/15,Arsenal,a,22,11.0,1.49476,0.561966,0.733593,0.561966,1,0,0,10.36
2014/15,Arsenal,h,23,19.28,2.35805,0.714521,1.59688,0.714521,1,0,0,11.09
2014/15,Arsenal,a,24,12.61,0.834136,1.2754,0.834136,1.2754,0,0,1,11.53
2014/15,Arsenal,h,25,8.63,1.77095,0.799802,1.77095,0.799802,1,0,0,11.77
2014/15,Arsenal,a,26,9.24,2.08054,2.26395,1.31937,2.26395,1,0,0,11.86
2014/15,Arsenal,h,27,10.4,1.39298,0.367813,1.39298,0.367813,1,0,0,11.68
2014/15,Arsenal,a,28,8.85,2.1651,0.318849,2.1651,0.318849,1,0,0,11.34
2014/15,Arsenal,h,29,3.49,3.19619,0.478172,3.19619,0.478172,1,0,0,10.63
2014/15,Arsenal,a,30,7.03,0.754782,1.0068,0.754782,1.0068,1,0,0,10.01
2014/15,Arsenal,h,31,7.18,1.45672,1.21414,1.45672,0.452975,1,0,0,9.77
2014/15,Arsenal,a,32,5.39,1.21096,0.65718,1.21096,0.65718,1,0,0,9.21
2014/15,Arsenal,h,33,6.61,1.07482,0.853305,1.07482,0.853305,0,1,0,7.94
2014/15,Arsenal,a,34,6.48,2.94938,0.474706,2.94938,0.474706,1,0,0,7.33
2014/15,Arsenal,h,35,6.97,1.88364,0.347185,1.88364,0.347185,0,0,1,7.16
2014/15,Arsenal,a,36,14.26,1.06814,0.715214,1.06814,0.715214,0,1,0,7.67
2014/15,Arsenal,h,37,5.75,1.68909,1.50177,1.68909,1.50177,0,1,0,7.2
2014/15,Arsenal,h,38,9.23,3.16614,0.569092,3.16614,0.569092,1,0,0,7.24
2014/15,Aston Villa,a,1,14.04,0.909774,0.423368,0.909774,0.423368,1,0,0,
2014/15,Aston Villa,h,2,15.52,0.507525,0.699295,0.507525,0.699295,0,1,0,
2014/15,Aston Villa,h,3,28.15,0.639316,0.28888,0.639316,0.28888,1,0,0,19.24
