season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg,h_corners_won,h_corners_conceded,a_corners_won,a_corners_conceded
2021/22,2021-08-06,Bournemouth,West Brom,D,2,2,1.788,1.382,0.4475,0.2601,0.2924,2.235,3.844,3.42,1.629,2.589,2.42,3.44,3.3,2.11,1.86,0.09524,0.20024,0.54739,0.08549,0.59327,1.34654,0.34585,8.28,-10.51,-3.51,29.53,-28.16,1545.7,1556.6,-11.0,1,,,,,90,380.0,-290.0,6.0,6.0,0.0,D Whitestone,0.4788732394366197,2.676056338028169,2.492957746478873,4.9,4.9,5.6,4.3
2021/22,2021-08-07,Derby,Huddersfield,D,1,1,1.822,1.242,0.4738,0.2596,0.2666,2.11,3.852,3.751,1.692,2.445,5.0,3.95,1.82,2.17,1.81,0.09853,0.22453,0.54822,0.07106,0.64217,1.34869,0.31002,136.97,2.54,-51.48,28.25,-25.97,1420.5,1433.5,-13.0,0,,,,,91,91.0,0.0,1.0,5.0,-4.0,G Eltringham,0.43137254901960786,2.5620915032679736,3.156862745098039,3.9,3.9,4.7,5.3
2021/22,2021-08-07,Bristol City,Blackpool,D,1,1,2.081,1.077,0.5225,0.2346,0.2429,1.914,4.263,4.117,1.636,2.572,2.32,3.45,3.43,2.25,1.74,0.11067,0.27302,0.58585,0.059,0.73922,1.4499,0.27825,21.21,-19.07,-16.69,37.53,-32.35,1402.1,1484.2,-82.2,0,,,,,91,2289.0,-2198.0,1.0,1.0,0.0,A Davies,0.45454545454545453,2.606060606060606,3.492424242424242,3.9,5.4,3.7,7.9
2021/22,2021-08-07,Cardiff,Barnsley,D,1,1,1.789,1.17,0.4792,0.2619,0.259,2.087,3.819,3.861,1.762,2.313,2.4,3.4,3.57,2.43,1.65,0.09889,0.22959,0.54485,0.06707,0.65231,1.33995,0.29973,15.0,-10.97,-7.54,37.91,-28.66,1539.1,1554.4,-15.3,0,,,,,91,91.0,0.0,9.0,7.0,2.0,S Martin,0.423841059602649,2.3973509933774833,2.5165562913907285,4.4,4.0,5.5,4.1
2021/22,2021-08-07,Preston,Hull,A,1,4,1.991,1.264,0.5252,0.2436,0.2312,1.904,4.105,4.325,1.584,2.713,2.45,3.44,3.26,2.11,1.87,0.28895,0.27581,0.05934,0.59102,0.74482,0.27918,1.46439,28.68,-16.2,-24.62,33.21,-31.07,1494.3,1426.5,67.8,1,,,,,91,381.0,-290.0,13.0,0.0,13.0,G Ward,0.4105263157894737,2.1894736842105265,3.2736842105263158,4.5,4.8,4.7,4.7
2021/22,2021-08-07,Blackburn,Swansea,H,2,1,1.508,1.509,0.3636,0.2628,0.3736,2.75,3.806,2.677,1.722,2.384,2.26,3.41,3.75,2.33,1.68,0.18151,0.40497,0.06905,0.13958,1.01162,0.30486,0.46777,-17.82,-10.4,40.08,35.31,-29.53,1468.5,1548.4,-79.8,1,,,,,91,91.0,0.0,10.0,5.0,5.0,D Webb,0.4,2.72,2.66,5.1,3.4,4.6,5.1
2021/22,2021-08-07,QPR,Millwall,D,1,1,1.697,1.263,0.4612,0.2659,0.2729,2.168,3.76,3.665,1.761,2.314,2.19,3.5,3.84,2.33,1.71,0.09572,0.21271,0.53886,0.07446,0.61842,1.32453,0.31865,1.01,-6.91,4.77,32.31,-26.1,1524.7,1501.7,23.0,0,,,,,91,91.0,0.0,12.0,4.0,8.0,O Langford,0.3924050632911392,2.5759493670886076,3.1962025316455698,4.4,4.9,3.9,5.2
2021/22,2021-08-07,Stoke,Reading,H,3,2,1.637,1.33,0.4256,0.2676,0.3067,2.349,3.736,3.26,1.756,2.322,2.15,3.4,4.0,2.51,1.61,0.14133,0.32991,0.07163,0.09408,0.8542,0.31149,0.36634,-8.47,-8.99,22.7,42.94,-30.66,1476.0,1502.9,-26.8,1,,,,,91,91.0,0.0,5.0,4.0,1.0,M Donohue,0.43478260869565216,2.4565217391304346,3.152173913043478,6.0,2.8,5.5,5.3
2021/22,2021-08-07,Sheffield United,Birmingham,A,0,1,2.064,0.909,0.6066,0.2298,0.1636,1.649,4.352,6.112,1.752,2.329,1.9,3.6,5.0,2.31,1.69,0.35582,0.36794,0.05281,0.69953,0.93288,0.26111,1.81021,15.22,-17.28,-18.19,31.85,-27.44,1553.9,1449.2,104.6,0,,,,,825,91.0,734.0,11.0,7.0,4.0,T Robinson,0.4539877300613497,2.5092024539877302,3.294478527607362,6.7,4.1,3.6,4.4
2021/22,2021-08-07,Luton,Peterboro,H,3,0,1.405,1.415,0.3758,0.2774,0.3469,2.661,3.605,2.883,1.868,2.152,2.3,3.61,3.5,2.11,1.9,0.17,0.38967,0.07693,0.12032,0.97879,0.32484,0.42599,-13.57,0.14,21.4,12.96,-11.71,1485.8,1500.0,-14.2,1,,,,,91,,,6.0,,,A Woolmer,0.4,2.5714285714285716,2.7904761904761903,6.1,5.2,,
2021/22,2021-08-08,Fulham,Middlesbrough,D,1,1,1.765,1.301,0.4913,0.2544,0.2543,2.035,3.931,3.932,1.691,2.447,2.0,3.63,4.36,2.21,1.82,0.10202,0.24141,0.55596,0.06467,0.67596,1.36897,0.29343,-1.72,-7.66,10.89,30.69,-25.62,1570.7,1478.6,92.1,0,,,,,382,92.0,290.0,11.0,7.0,4.0,K Stroud,0.5,2.7873563218390807,3.7126436781609193,6.0,4.6,6.3,4.6
