Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365H,B365D,B365A,PSH,PSD,PSA,PSCH,PSCD,PSCA,MaxH,MaxD,MaxA,Max>2.5,Max<2.5,MaxAHH,MaxAHA,AHh,P>2.5,P<2.5,PC>2.5,PC<2.5,AHCh,PAHH,PAHA,PCAHH,PCAHA
2014/15,2014-08-08,Blackburn,Cardiff,1.0,1.0,D,A Madley,12.0,6.0,3.0,3.0,4.0,5.0,6.0,14.0,1.0,3.0,2.3,3.3,3.5,2.25,3.47,3.48,2.12,3.53,3.74,,,,,,,,,,,,,,,,,
2014/15,2014-08-09,Ipswich,Fulham,2.0,1.0,H,S Martin,14.0,13.0,5.0,3.0,5.0,3.0,14.0,9.0,3.0,0.0,2.7,3.4,2.8,2.6,3.42,2.87,2.43,3.42,3.16,,,,,,,,,,,,,,,,,
2014/15,2014-08-09,Brentford,Charlton,1.0,1.0,D,J Adcock,14.0,13.0,4.0,4.0,11.0,5.0,3.0,13.0,1.0,1.0,2.0,3.5,4.2,1.93,3.58,4.41,1.99,3.59,4.18,,,,,,,,,,,,,,,,,
2014/15,2014-08-09,Derby,Rotherham,1.0,0.0,H,K Friend,10.0,16.0,3.0,6.0,8.0,3.0,8.0,11.0,0.0,1.0,1.57,4.33,6.5,1.58,4.31,6.24,1.59,4.34,6.27,,,,,,,,,,,,,,,,,
2014/15,2014-08-09,Huddersfield,Bournemouth,0.0,4.0,A,S Duncan,16.0,12.0,5.0,7.0,7.0,4.0,15.0,8.0,2.0,1.0,2.7,3.4,2.8,2.75,3.38,2.74,2.75,3.46,2.73,,,,,,,,,,,,,,,,,
2014/15,2014-08-09,Brighton,Sheffield Weds,0.0,1.0,A,J Linington,11.0,5.0,3.0,1.0,4.0,4.0,13.0,13.0,3.0,1.0,1.95,3.5,4.5,1.91,3.56,4.53,1.97,3.49,4.42,,,,,,,,,,,,,,,,,
2014/15,2014-08-09,Middlesbrough,Birmingham,2.0,0.0,H,G Salisbury,20.0,4.0,8.0,0.0,11.0,2.0,9.0,13.0,1.0,1.0,1.8,3.75,5.0,1.85,3.65,4.73,1.72,3.89,5.5,,,,,,,,,,,,,,,,,
2014/15,2014-08-09,Millwall,Leeds,2.0,0.0,H,O Langford,14.0,9.0,6.0,3.0,4.0,5.0,8.0,11.0,0.0,0.0,2.38,3.4,3.25,2.24,3.44,3.4,2.08,3.49,3.97,,,,,,,,,,,,,,,,,
2014/15,2014-08-09,Watford,Bolton,3.0,0.0,H,C Boyeson,18.0,16.0,5.0,4.0,4.0,7.0,9.0,18.0,0.0,0.0,2.1,3.6,3.75,2.04,3.69,3.78,2.0,3.77,3.91,,,,,,,,,,,,,,,,,
2014/15,2014-08-09,Wigan,Reading,2.0,2.0,D,M Brown,8.0,11.0,3.0,4.0,2.0,5.0,17.0,16.0,1.0,1.0,1.83,3.75,4.6,1.83,3.69,4.78,1.79,3.78,5.02,,,,,,,,,,,,,,,,,
2014/15,2014-08-09,Nott'm Forest,Blackpool,2.0,0.0,H,T Harrington,15.0,7.0,4.0,1.0,7.0,2.0,14.0,10.0,1.0,2.0,1.33,5.5,11.0,1.35,5.58,9.36,1.45,4.84,8.19,,,,,,,,,,,,,,,,,
2014/15,2014-08-10,Wolves,Norwich,1.0,0.0,H,S Hooper,14.0,12.0,3.0,1.0,3.0,5.0,8.0,10.0,0.0,3.0,2.3,3.4,3.4,2.32,3.46,3.28,2.48,3.34,3.15,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Bournemouth,Brentford,1.0,0.0,H,G Ward,16.0,17.0,5.0,4.0,13.0,6.0,15.0,6.0,1.0,3.0,1.85,3.75,4.5,1.85,3.73,4.57,1.82,3.9,4.67,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Charlton,Wigan,2.0,1.0,H,A D'Urso,12.0,4.0,5.0,1.0,3.0,6.0,12.0,11.0,0.0,1.0,3.4,3.4,2.3,3.47,3.35,2.28,3.25,3.32,2.44,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Birmingham,Brighton,1.0,0.0,H,M Brown,18.0,13.0,5.0,3.0,2.0,6.0,15.0,15.0,0.0,0.0,3.3,3.3,2.4,3.31,3.22,2.42,2.99,3.31,2.61,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Blackpool,Blackburn,1.0,2.0,A,J Adcock,16.0,11.0,4.0,4.0,7.0,5.0,15.0,13.0,2.0,3.0,5.25,3.8,1.75,5.39,3.76,1.74,4.61,3.52,1.93,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Cardiff,Huddersfield,3.0,1.0,H,K Hill,16.0,21.0,9.0,7.0,6.0,9.0,13.0,13.0,0.0,3.0,1.73,3.9,5.25,1.72,3.9,5.32,1.97,3.61,4.22,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Bolton,Nott'm Forest,2.0,2.0,D,E Ilderton,9.0,20.0,2.0,7.0,2.0,10.0,14.0,9.0,3.0,0.0,2.7,3.4,2.75,2.72,3.38,2.77,2.47,3.47,3.06,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Fulham,Millwall,0.0,1.0,A,L Mason,24.0,11.0,7.0,6.0,11.0,2.0,16.0,15.0,3.0,0.0,2.05,3.6,3.8,2.04,3.55,3.95,2.3,3.43,3.39,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Reading,Ipswich,1.0,0.0,H,S Hooper,6.0,15.0,1.0,3.0,4.0,6.0,15.0,14.0,2.0,3.0,2.3,3.4,3.4,2.27,3.38,3.46,2.19,3.49,3.64,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Rotherham,Wolves,1.0,0.0,H,G Salisbury,9.0,12.0,3.0,3.0,4.0,9.0,15.0,6.0,3.0,2.0,2.88,3.4,2.6,2.9,3.35,2.58,3.22,3.38,2.42,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Sheffield Weds,Derby,0.0,0.0,D,S Duncan,21.0,11.0,7.0,3.0,9.0,4.0,13.0,10.0,3.0,2.0,3.25,3.4,2.38,3.16,3.4,2.41,3.21,3.41,2.41,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Leeds,Middlesbrough,1.0,0.0,H,S Attwell,9.0,11.0,4.0,0.0,4.0,4.0,7.0,12.0,1.0,3.0,3.3,3.5,2.3,3.44,3.38,2.28,3.33,3.45,2.33,,,,,,,,,,,,,,,,,
2014/15,2014-08-16,Norwich,Watford,3.0,0.0,H,P Tierney,30.0,10.0,8.0,3.0,11.0,1.0,12.0,5.0,1.0,1.0,2.3,3.5,3.3,2.23,3.56,3.39,2.24,3.54,3.45,,,,,,,,,,,,,,,,,
2014/15,2014-08-19,Cardiff,Wigan,1.0,0.0,H,R Madley,10.0,12.0,3.0,1.0,6.0,8.0,11.0,9.0,1.0,0.0,2.38,3.4,3.25,2.37,3.49,3.17,2.36,3.44,3.28,,,,,,,,,,,,,,,,,
2014/15,2014-08-19,Birmingham,Ipswich,2.0,2.0,D,R East,14.0,20.0,3.0,5.0,3.0,5.0,10.0,9.0,1.0,0.0,2.75,3.4,2.75,2.77,3.34,2.74,2.63,3.35,2.92,,,,,,,,,,,,,,,,,
2014/15,2014-08-19,Blackpool,Brentford,1.0,2.0,A,M Haywood,16.0,8.0,5.0,3.0,4.0,5.0,17.0,9.0,2.0,1.0,3.5,3.4,2.25,3.51,3.39,2.24,3.53,3.41,2.25,,,,,,,,,,,,,,,,,
2014/15,2014-08-19,Bolton,Middlesbrough,1.0,2.0,A,S Martin,11.0,20.0,2.0,6.0,3.0,3.0,15.0,8.0,2.0,3.0,2.63,3.4,2.88,2.81,3.34,2.7,2.76,3.44,2.72,,,,,,,,,,,,,,,,,
