season,date,home_team,away_team,op_match_url,btts_yes_b365,btts_no_b365,btts_yes_asian,btts_no_asian
2024/25,2025-05-26,Manchester Utd,Aston Villa,https://www.oddsportal.com/football/h2h/aston-villa-0j2eUlMC/manchester-united-EXCPojim/#Aonqhgqt,,,,
2024/25,2025-05-26,Manchester Utd,Aston Villa,https://www.oddsportal.com/football/h2h/aston-villa-W00wmLO0/manchester-united-ppjDR086/#pOnfE84l,1.62,2.20,1.57,2.52
2024/25,2025-05-26,Bournemouth,Leicester,https://www.oddsportal.com/football/h2h/bournemouth-OtpNdwrc/leicester-KrrdAMyI/#44RKa9ke,1.75,2.00,1.81,2.06
2024/25,2025-05-26,Wolves,Brentford,https://www.oddsportal.com/football/h2h/brentford-0j2eUlMC/wolves-EXCPojim/#Aonqhgqt,,,,
2024/25,2025-05-26,Wolves,Brentford,https://www.oddsportal.com/football/h2h/brentford-xYe7DwID/wolves-j3Azpf5d/#4vrUQolf,1.44,2.63,1.46,2.86
2024/25,2025-05-26,Tottenham,Brighton,https://www.oddsportal.com/football/h2h/brighton-2XrRecc3/tottenham-UDg08Ohm/#OUZLS7Js,1.44,2.63,1.48,2.78
2024/25,2025-05-26,Nottingham,Chelsea,https://www.oddsportal.com/football/h2h/chelsea-4fGZN2oK/nottingham-UsushcZr/#Cj63AQ3D,1.62,2.20,1.61,2.41
2024/25,2025-05-26,Tottenham,Brighton,https://www.oddsportal.com/football/h2h/brighton-0j2eUlMC/tottenham-EXCPojim/#Aonqhgqt,,,,
2024/25,2025-05-26,Liverpool,Crystal Palace,https://www.oddsportal.com/football/h2h/crystal-palace-AovF1Mia/liverpool-lId4TMwf/#lh1OJUtR,1.53,2.38,1.57,2.50
2024/25,2025-05-26,Newcastle,Everton,https://www.oddsportal.com/football/h2h/everton-KluSTr9s/newcastle-utd-p6ahwuwJ/#4Q2eCnZ0,1.80,1.95,2.00,1.85
