season,team,game_n,ppda_rolling10,date
2014/15,Arsenal,3,6.07,2014-08-31
2014/15,Arsenal,4,6.32,2014-09-13
2014/15,Arsenal,5,6.61,2014-09-20
2014/15,Arsenal,6,6.42,2014-09-27
2014/15,Arsenal,7,7.11,2014-10-05
2014/15,Arsenal,8,7.01,2014-10-18
2014/15,Arsenal,9,6.76,2014-10-25
2014/15,Arsenal,10,6.92,2014-11-01
2014/15,Arsenal,11,7.53,2014-11-09
2014/15,Arsenal,12,7.35,2014-11-22
2014/15,Arsenal,13,7.79,2014-11-29
2014/15,Arsenal,14,7.91,2014-12-03
2014/15,Arsenal,15,7.76,2014-12-06
2014/15,Arsenal,16,8.04,2014-12-13
2014/15,Arsenal,17,8.13,2014-12-21
2014/15,Arsenal,18,8.73,2014-12-26
2014/15,Arsenal,19,9.31,2014-12-28
2014/15,Arsenal,20,9.79,2015-01-01
2014/15,Arsenal,21,9.85,2015-01-11
2014/15,Arsenal,22,10.36,2015-01-18
2014/15,Arsenal,23,11.09,2015-02-01
2014/15,Arsenal,24,11.53,2015-02-07
2014/15,Arsenal,25,11.77,2015-02-10
2014/15,Arsenal,26,11.86,2015-02-21
2014/15,Arsenal,27,11.68,2015-03-01
2014/15,Arsenal,28,11.34,2015-03-04
2014/15,Arsenal,29,10.63,2015-03-14
2014/15,Arsenal,30,10.01,2015-03-21
2014/15,Arsenal,31,9.77,2015-04-04
2014/15,Arsenal,32,9.21,2015-04-11
2014/15,Arsenal,33,7.94,2015-04-26
2014/15,Arsenal,34,7.33,2015-05-04
2014/15,Arsenal,35,7.16,2015-05-11
2014/15,Arsenal,36,7.67,2015-05-17
2014/15,Arsenal,37,7.2,2015-05-20
2014/15,Arsenal,38,7.24,2015-05-24
2014/15,Aston Villa,3,19.24,2014-08-31
2014/15,Aston Villa,4,27.93,2014-09-13
2014/15,Aston Villa,5,31.19,2014-09-20
2014/15,Aston Villa,6,34.22,2014-09-27
2014/15,Aston Villa,7,33.02,2014-10-04
2014/15,Aston Villa,8,31.05,2014-10-18
2014/15,Aston Villa,9,28.22,2014-10-27
2014/15,Aston Villa,10,26.83,2014-11-02
2014/15,Aston Villa,11,26.85,2014-11-08
2014/15,Aston Villa,12,27.38,2014-11-24
2014/15,Aston Villa,13,26.88,2014-11-29
2014/15,Aston Villa,14,22.14,2014-12-02
2014/15,Aston Villa,15,18.36,2014-12-07
2014/15,Aston Villa,16,14.97,2014-12-13
2014/15,Aston Villa,17,14.71,2014-12-20
2014/15,Aston Villa,18,14.44,2014-12-26
2014/15,Aston Villa,19,15.69,2014-12-28
2014/15,Aston Villa,20,14.74,2015-01-01
2014/15,Aston Villa,21,13.96,2015-01-10
2014/15,Aston Villa,22,12.97,2015-01-17
2014/15,Aston Villa,23,12.02,2015-02-01
2014/15,Aston Villa,24,13.15,2015-02-07
2014/15,Aston Villa,25,13.24,2015-02-10
2014/15,Aston Villa,26,12.86,2015-02-21
2014/15,Aston Villa,27,11.28,2015-02-28
2014/15,Aston Villa,28,10.64,2015-03-03
2014/15,Aston Villa,29,9.88,2015-03-14
