season,round_number,team_name,games,kicks_pg,handballs_pg,disposals_pg,marks_pg,goals_pg,behinds_pg,goal_assists_pg,inside_50s_pg,rebound_50s_pg,tackles_pg,hitouts_pg,frees_for_pg,frees_ag_pg,clearances_pg,clangers_pg,cp_pg,up_pg,eff_disposals_pg,disposal_eff_pct,cont_marks_pg,marks_i50_pg,one_pct_pg,bounces_pg,centre_cl_pg,stoppage_cl_pg,metres_gained_total,turnovers_pg,intercepts_pg,tackles_i50_pg,goal_conv_pct,kicking_ratio,mg_pg,source_game_rows,source_mix
2024,1,Adelaide Crows,23.0,,,,,12.1,10.1,,49.2,40.4,,63.5,,,37.9,,137.0,,,,,11.0,,,,,,,,9.9,0.545,,,0.0,afl_tables+footywire
2024,1,Brisbane Lions,1.0,211.0,112.0,323.0,94.0,12.0,13.0,7.0,62.0,36.0,63.0,29.0,16.0,20.0,37.0,66.0,133.0,183.0,,,10.0,16.0,33.0,2.0,,,,,,11.2,0.48,0.653250773993808,,1.0,afl_tables+footywire
2024,1,Carlton Blues,1.0,216.0,125.0,341.0,91.0,13.0,8.0,8.0,49.0,50.0,59.0,28.0,20.0,16.0,36.0,59.0,141.0,191.0,,,13.0,7.0,46.0,2.0,,,,,,11.9,0.6190476190476191,0.6334310850439883,,1.0,afl_tables+footywire
2024,1,Collingwood Magpies,1.0,205.0,145.0,350.0,81.0,11.0,16.0,7.0,60.0,35.0,60.0,49.0,20.0,16.0,40.0,62.0,123.0,219.0,,,4.0,9.0,38.0,3.0,,,,,,11.1,0.4074074074074074,0.5857142857142857,,1.0,afl_tables+footywire
2024,1,Essendon Bombers,23.0,,,,,12.0,10.5,,55.6,36.5,,59.7,,,35.5,,129.1,,,,,12.2,,,,,,,,11.3,0.5333,,,0.0,afl_tables+footywire
2024,1,Fremantle Dockers,23.0,,,,,12.4,10.8,,51.0,37.5,,58.1,,,39.8,,127.0,,,,,12.4,,,,,,,,10.7,0.5345,,,0.0,afl_tables+footywire
2024,1,Geelong Cats,25.0,,,,,14.1,10.8,,54.6,39.5,,63.6,,,39.0,,135.6,,,,,13.4,,,,,,,,10.8,0.5663,,,0.0,afl_tables+footywire
2024,1,Gold Coast Suns,1.0,240.0,124.0,364.0,118.0,14.0,15.0,11.0,61.0,30.0,39.0,28.0,16.0,15.0,44.0,57.0,139.0,225.0,,,11.0,18.0,59.0,5.0,,,,,,11.0,0.4827586206896552,0.6593406593406593,,1.0,afl_tables+footywire
2024,1,Greater Western Sydney Giants,1.0,226.0,161.0,387.0,97.0,18.0,6.0,16.0,53.0,47.0,36.0,23.0,16.0,20.0,39.0,71.0,134.0,239.0,,,9.0,13.0,51.0,3.0,,,,,,11.7,0.75,0.5839793281653747,,1.0,afl_tables+footywire
2024,1,Hawthorn Hawks,25.0,,,,,13.2,11.0,,53.9,35.8,,60.4,,,36.7,,131.7,,,,,12.8,,,,,,,,11.2,0.5455,,,0.0,afl_tables+footywire
2024,1,Melbourne Demons,1.0,205.0,148.0,353.0,63.0,9.0,10.0,5.0,51.0,52.0,65.0,38.0,24.0,21.0,34.0,67.0,145.0,206.0,,,3.0,5.0,50.0,1.0,,,,,,10.7,0.47368421052631576,0.5807365439093485,,1.0,afl_tables+footywire
2024,1,North Melbourne Kangaroos,23.0,,,,,10.6,6.8,,45.3,42.1,,58.8,,,36.9,,129.3,,,,,9.7,,,,,,,,8.4,0.6092,,,0.0,afl_tables+footywire
2024,1,Port Adelaide Power,26.0,,,,,11.9,13.0,,54.5,36.9,,64.7,,,37.5,,129.7,,,,,13.1,,,,,,,,13.2,0.4779,,,0.0,afl_tables+footywire
2024,1,Richmond Tigers,1.0,180.0,93.0,273.0,72.0,9.0,6.0,5.0,41.0,47.0,47.0,37.0,15.0,16.0,31.0,59.0,113.0,143.0,,,10.0,8.0,43.0,4.0,,,,,,8.8,0.6,0.6593406593406593,,1.0,afl_tables+footywire
