bet_id,week_ending,placed_date,placed_time,sport,season,round,home_team,away_team,market_type,selection,line,odds_taken,stake,return_amount,result,pnl,bookmaker,model_price,model_line,closing_price,closing_line,clv,source_signal_id,source_text,notes
2026-0016,2026-05-19,2026-05-15,19:33,AFL,2026,10,Sydney Swans,Collingwood Magpies,total,under,181.5,1.86,50.00,93.00,win,43.00,sportsbet,,,,,,,,Under (181.5) @ 1.86 | Total Game Points | Stake .00 | Sydney Swans v Collingwood | Fri 15 May 19:33 | +.00
2026-0017,2026-05-19,2026-05-15,19:33,AFL,2026,10,Sydney Swans,Collingwood Magpies,handicap,Collingwood Magpies,35.5,1.91,25.00,47.75,win,22.75,sportsbet,,,,,,,,Collingwood (+35.5) @ 1.91 | Line | Stake .00 | Sydney Swans v Collingwood | Fri 15 May 19:33 | +.75
2026-0018,2026-05-19,2026-05-15,18:01,NRL,2026,11,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs,total,under,50.5,1.90,48.80,0.00,loss,-48.80,sportsbet,,,,,,,,Under (50.5) @ 1.90 | Total Match Points | Stake .80 | Cronulla Sharks v Canterbury Bulldogs | Fri 15 May 18:01 | No Return
2026-0019,2026-05-19,2026-05-15,20:06,NRL,2026,11,South Sydney Rabbitohs,Dolphins,h2h,Dolphins,,1.85,50.00,92.50,win,42.50,sportsbet,,,,,,,,Dolphins @ 1.85 | Head to Head | Stake .00 | South Sydney Rabbitohs v Dolphins | Fri 15 May 20:06 | +.50
2026-0020,2026-05-19,2026-05-15,20:10,AFL,2026,10,Gold Coast Suns,Port Adelaide Power,handicap,Gold Coast Suns,-26.5,1.90,50.00,0.00,loss,-50.00,sportsbet,,,,,,,,Gold Coast SUNS (-26.5) @ 1.90 | Line | Stake .00 | Gold Coast SUNS v Port Adelaide | Fri 15 May 20:10 | No Return
2026-0021,2026-05-19,2026-05-16,13:16,AFL,2026,10,Adelaide Crows,North Melbourne Kangaroos,handicap,Adelaide Crows,-18.5,1.90,50.00,95.00,win,45.00,sportsbet,,,,,,,,Adelaide Crows (-18.5) @ 1.90 | Line | Stake .00 | Adelaide Crows v North Melbourne | Sat 16 May 13:16 | +.00
2026-0022,2026-05-19,2026-05-16,16:17,AFL,2026,10,Melbourne Demons,Hawthorn Hawks,handicap,Hawthorn Hawks,-18.5,1.91,50.00,0.00,loss,-50.00,sportsbet,,,,,,,,Hawthorn (-18.5) @ 1.91 | Line | Stake .00 | Melbourne v Hawthorn | Sat 16 May 16:17 | No Return
2026-0023,2026-05-19,2026-05-16,17:31,NRL,2026,11,Sydney Roosters,North Queensland Cowboys,handicap,North Queensland Cowboys,16.5,1.74,27.50,47.85,win,20.35,sportsbet,,,,,,,,Nth Queensland Cowboys (+16.5) @ 1.74 | Line | Stake .50 | Sydney Roosters v NQ Cowboys | Sat 16 May 17:31 | +.85
2026-0024,2026-05-19,2026-05-16,19:36,AFL,2026,10,Carlton Blues,Western Bulldogs,h2h,Carlton Blues,,2.56,25.00,64.00,win,39.00,sportsbet,,,,,,,,Carlton @ 2.56 | Head to Head | Stake .00 | Carlton v Western Bulldogs | Sat 16 May 19:36 | +.00
2026-0025,2026-05-19,2026-05-16,16:02,OTHER,2026,0,,,win,Grafterburners (5),,6.50,30.00,0.00,loss,-30.00,sportsbet,,,,,,,,Grafterburners (5) @ 6.50 | Win | Stake .00 | Doomben Race 8 | Sat 16 May 16:02 | No Return
2026-0026,2026-05-19,2026-05-17,16:06,NRL,2026,11,New Zealand Warriors,Brisbane Broncos,handicap,New Zealand Warriors,-2.5,1.91,50.00,95.50,win,45.50,sportsbet,,,,,,,,New Zealand Warriors (-2.5) @ 1.91 | Line | Stake .00 | Warriors v Brisbane Broncos | Sun 17 May 16:06 | +.50
2026-0027,2026-05-19,2026-05-17,18:26,NRL,2026,11,Penrith Panthers,St. George Illawarra Dragons,total,under,56.5,1.82,25.00,45.50,win,20.50,sportsbet,,,,,,,,Under (56.5) @ 1.82 | Total Match Points | Stake .00 | Penrith Panthers v St George/Illa Dragons | Sun 17 May 18:26 | +.50
