bet_id,week_ending,placed_date,placed_time,sport,season,round,home_team,away_team,market_type,selection,line,odds_taken,stake,return_amount,result,pnl,bookmaker,model_price,model_line,closing_price,closing_line,clv,source_signal_id,source_text,notes
2026-0028,2026-05-25,2026-05-21,,AFL,2026,11,Hawthorn Hawks,Adelaide Crows,h2h,Hawthorn Hawks,,1.41,55.00,77.55,win,22.55,sportsbet,,,,,,,,"Hawthorn Win @ 1.41 | H2H | Stake $55.00 | Hawthorn won",
2026-0029,2026-05-25,2026-05-21,,AFL,2026,11,Hawthorn Hawks,Adelaide Crows,h2h,Adelaide Crows,,2.88,25.00,0.00,loss,-25.00,sportsbet,,,,,,,,"Adelaide Crows Win @ 2.88 | H2H | Stake $25.00 | Hawthorn won",
2026-0030,2026-05-25,2026-05-21,,AFL,2026,11,Hawthorn Hawks,Adelaide Crows,handicap,Hawthorn Hawks,-15.5,1.90,25.00,0.00,loss,-25.00,sportsbet,,,,,,-15.5,,,"Hawthorn -15.5 @ 1.90 | Line | Stake $25.00 | Hawthorn won by 9",
2026-0031,2026-05-25,2026-05-21,,AFL,2026,11,Hawthorn Hawks,Adelaide Crows,handicap,Adelaide Crows,19.5,1.89,25.00,47.25,win,22.25,sportsbet,,,,,,19.5,,"Adelaide +19.5 @ 1.89 | Line | Stake $25.00 | Crows covered",
2026-0032,2026-05-25,2026-05-22,,AFL,2026,11,Richmond Tigers,Essendon Bombers,total,under,176.5,1.88,25.00,47.00,win,22.00,sportsbet,,,,,,,,"Under 176.5 @ 1.88 | Total | Stake $25.00 | Under landed",
2026-0033,2026-05-25,2026-05-22,,NRL,2026,12,Canterbury Bulldogs,Melbourne Storm,handicap,Canterbury Bulldogs,-3.5,1.90,25.00,47.50,win,22.50,sportsbet,,,-3.5,,,,"Bulldogs -3.5 @ 1.90 | Line | Stake $25.00 | Bulldogs won 26-18 covered",
2026-0034,2026-05-25,2026-05-22,,NRL,2026,12,Canterbury Bulldogs,Melbourne Storm,total,under,48.5,1.84,25.00,0.00,loss,-25.00,sportsbet,,,,,,,,"Under 48.5 @ 1.84 | Total | Stake $25.00 | Final 26-18 = 44 — under landed but wrong line",
2026-0035,2026-05-25,2026-05-22,,NRL,2026,12,Canterbury Bulldogs,Melbourne Storm,total,under,49.5,1.90,25.00,0.00,loss,-25.00,sportsbet,,,,,,,,"Under 49.5 @ 1.90 | Total | Stake $25.00",
2026-0036,2026-05-25,2026-05-23,,AFL,2026,11,Geelong Cats,Sydney Swans,handicap,Sydney Swans,10.5,1.90,25.00,0.00,loss,-25.00,sportsbet,,,,,,10.5,,"Swans +10.5 @ 1.90 | Line | Stake $25.00",
2026-0037,2026-05-25,2026-05-23,,AFL,2026,11,Collingwood Magpies,West Coast Eagles,total,under,180.5,1.87,25.00,46.75,win,21.75,sportsbet,,,,,,,,"Under 180.5 @ 1.87 | Total | Stake $25.00 | Under landed",
2026-0038,2026-05-25,2026-05-23,,NRL,2026,12,St George Illawarra Dragons,New Zealand Warriors,total,under,50.5,1.90,14.30,27.13,win,12.83,sportsbet,,,,,,,,"Under 50.5 @ 1.90 | Total | Stake $14.30",
2026-0039,2026-05-25,2026-05-23,,NRL,2026,12,Manly Sea Eagles,Gold Coast Titans,handicap,Manly Sea Eagles,-11.5,1.83,25.00,0.00,loss,-25.00,sportsbet,,,-11.5,,,,"Manly -11.5 @ 1.83 | Line | Stake $25.00",
2026-0040,2026-05-25,2026-05-23,,NRL,2026,12,Manly Sea Eagles,Gold Coast Titans,handicap,Gold Coast Titans,12.5,1.89,12.50,23.63,win,11.13,sportsbet,,,,,,12.5,,"Titans +12.5 @ 1.89 | Line | Stake $12.50 | Covered",
2026-0041,2026-05-25,2026-05-23,,NRL,2026,12,Manly Sea Eagles,Gold Coast Titans,h2h,Gold Coast Titans,,4.35,12.50,0.00,loss,-12.50,sportsbet,,,,,,,,"Titans Win @ 4.35 | H2H | Stake $12.50",
2026-0042,2026-05-25,2026-05-24,,NRL,2026,12,North Queensland Cowboys,South Sydney Rabbitohs,h2h,North Queensland Cowboys,,1.67,68.68,114.70,win,46.02,sportsbet,,,,,,,,"Cowboys Win @ 1.67 | H2H | Stake $68.68 | Triple matrix confluence",
2026-0043,2026-05-25,2026-05-24,,NRL,2026,12,North Queensland Cowboys,South Sydney Rabbitohs,h2h,North Queensland Cowboys,,1.69,25.00,42.25,win,17.25,sportsbet,,,,,,,,"Cowboys Win @ 1.69 | H2H | Stake $25.00",
2026-0044,2026-05-25,2026-05-24,,NRL,2026,12,North Queensland Cowboys,South Sydney Rabbitohs,handicap,North Queensland Cowboys,-2.5,1.90,25.00,47.50,win,22.50,sportsbet,,,-2.5,,,,"Cowboys -2.5 @ 1.90 | Line | Stake $25.00 | Cowboys covered",
