season,round,date,home_team,away_team,home_score,away_score,actual_margin_home,actual_total,market,signal,selection,model_number,model_home_fair_odds,model_away_fair_odds,open_number,close_number,open_odds,close_odds,clv,result,winner,bookmakers_surveyed
2026,8,2026-04-30,Collingwood Magpies,Hawthorn Hawks,93,93,0.0,186.0,h2h,normal,Hawthorn Hawks,,2.272,1.786,,,1.4,1.23,0.1382,push,tie,9
2026,8,2026-04-30,Collingwood Magpies,Hawthorn Hawks,93,93,0.0,186.0,h2h,ml,Collingwood Magpies,,1.144,7.968,,,2.8,4.2,-0.3333,push,tie,9
2026,8,2026-04-30,Collingwood Magpies,Hawthorn Hawks,93,93,0.0,186.0,h2h,market,Hawthorn Hawks,,,,,,1.4,1.23,0.1382,push,tie,9
2026,8,2026-04-30,Collingwood Magpies,Hawthorn Hawks,93,93,0.0,186.0,handicap,normal,Collingwood Magpies,-5.4,,,21.5,27.5,1.9,1.9,-6.0,win,tie,9
2026,8,2026-04-30,Collingwood Magpies,Hawthorn Hawks,93,93,0.0,186.0,handicap,ml,Collingwood Magpies,5.3,,,21.5,27.5,1.9,1.9,-6.0,win,tie,9
2026,8,2026-04-30,Collingwood Magpies,Hawthorn Hawks,93,93,0.0,186.0,handicap,market,Hawthorn Hawks,,,,-21.5,-27.5,1.9,1.9,6.0,loss,tie,9
2026,8,2026-04-30,Collingwood Magpies,Hawthorn Hawks,93,93,0.0,186.0,total,normal,under,175.2,,,178.5,175.5,1.9,1.8,3.0,loss,tie,9
2026,8,2026-04-30,Collingwood Magpies,Hawthorn Hawks,93,93,0.0,186.0,total,ml,under,172.4,,,178.5,175.5,1.9,1.8,3.0,loss,tie,9
2026,8,2026-04-30,Collingwood Magpies,Hawthorn Hawks,93,93,0.0,186.0,total,market,under,,,,178.5,175.5,1.9,1.8,3.0,loss,tie,9
2026,8,2026-05-01,Western Bulldogs,Fremantle Dockers,102,114,-12.0,216.0,h2h,normal,Western Bulldogs,,1.667,2.5,,,2.9,3.15,-0.0794,loss,market,9
2026,8,2026-05-01,Western Bulldogs,Fremantle Dockers,102,114,-12.0,216.0,h2h,ml,Western Bulldogs,,1.456,3.192,,,2.9,3.15,-0.0794,loss,market,9
2026,8,2026-05-01,Western Bulldogs,Fremantle Dockers,102,114,-12.0,216.0,h2h,market,Fremantle Dockers,,,,,,1.38,1.36,0.0147,win,market,9
2026,8,2026-05-01,Western Bulldogs,Fremantle Dockers,102,114,-12.0,216.0,handicap,normal,Western Bulldogs,9.1,,,20.5,19.5,1.9,1.9,1.0,win,tie,9
2026,8,2026-05-01,Western Bulldogs,Fremantle Dockers,102,114,-12.0,216.0,handicap,ml,Western Bulldogs,-5.8,,,20.5,19.5,1.9,1.9,1.0,win,tie,9
2026,8,2026-05-01,Western Bulldogs,Fremantle Dockers,102,114,-12.0,216.0,handicap,market,Western Bulldogs,,,,20.5,19.5,1.9,1.9,1.0,win,tie,9
2026,8,2026-05-01,Western Bulldogs,Fremantle Dockers,102,114,-12.0,216.0,total,normal,under,172.4,,,184.5,184.5,1.87,1.9,0.0,loss,market,9
2026,8,2026-05-01,Western Bulldogs,Fremantle Dockers,102,114,-12.0,216.0,total,ml,under,166.5,,,184.5,184.5,1.87,1.9,0.0,loss,market,9
2026,8,2026-05-01,Western Bulldogs,Fremantle Dockers,102,114,-12.0,216.0,total,market,no_move,,,,184.5,184.5,,,,,market,9
2026,8,2026-05-01,Adelaide Crows,Port Adelaide Power,76,75,1.0,151.0,h2h,normal,Adelaide Crows,,1.065,16.42,,,1.36,1.58,-0.1392,win,tie,9
2026,8,2026-05-01,Adelaide Crows,Port Adelaide Power,76,75,1.0,151.0,h2h,ml,Adelaide Crows,,1.176,6.667,,,1.36,1.58,-0.1392,win,tie,9
2026,8,2026-05-01,Adelaide Crows,Port Adelaide Power,76,75,1.0,151.0,h2h,market,Port Adelaide Power,,,,,,3.0,2.4,0.25,loss,tie,9
2026,8,2026-05-01,Adelaide Crows,Port Adelaide Power,76,75,1.0,151.0,handicap,normal,Adelaide Crows,55.7,,,-11.5,-8.5,1.9,1.95,-3.0,loss,market,9
2026,8,2026-05-01,Adelaide Crows,Port Adelaide Power,76,75,1.0,151.0,handicap,ml,Adelaide Crows,47.3,,,-11.5,-8.5,1.9,1.95,-3.0,loss,market,9
2026,8,2026-05-01,Adelaide Crows,Port Adelaide Power,76,75,1.0,151.0,handicap,market,Port Adelaide Power,,,,11.5,8.5,1.9,1.85,3.0,win,market,9
2026,8,2026-05-01,Adelaide Crows,Port Adelaide Power,76,75,1.0,151.0,total,normal,under,168.0,,,177.5,175.5,1.87,1.9,2.0,win,tie,9
2026,8,2026-05-01,Adelaide Crows,Port Adelaide Power,76,75,1.0,151.0,total,ml,under,164.1,,,177.5,175.5,1.87,1.9,2.0,win,tie,9
2026,8,2026-05-01,Adelaide Crows,Port Adelaide Power,76,75,1.0,151.0,total,market,under,,,,177.5,175.5,1.87,1.9,2.0,win,tie,9
2026,8,2026-05-02,Essendon Bombers,Brisbane Lions,79,143,-64.0,222.0,h2h,normal,Brisbane Lions,,9.066,1.124,,,1.18,1.07,0.1028,win,tie,9
2026,8,2026-05-02,Essendon Bombers,Brisbane Lions,79,143,-64.0,222.0,h2h,ml,Essendon Bombers,,1.934,2.07,,,4.5,8.5,-0.4706,loss,tie,9
2026,8,2026-05-02,Essendon Bombers,Brisbane Lions,79,143,-64.0,222.0,h2h,market,Brisbane Lions,,,,,,1.18,1.07,0.1028,win,tie,9
2026,8,2026-05-02,Essendon Bombers,Brisbane Lions,79,143,-64.0,222.0,handicap,normal,Essendon Bombers,-44.1,,,44.5,47.5,1.9,1.9,-3.0,loss,market,9
2026,8,2026-05-02,Essendon Bombers,Brisbane Lions,79,143,-64.0,222.0,handicap,ml,Essendon Bombers,-14.5,,,44.5,47.5,1.9,1.9,-3.0,loss,market,9
2026,8,2026-05-02,Essendon Bombers,Brisbane Lions,79,143,-64.0,222.0,handicap,market,Brisbane Lions,,,,-44.5,-47.5,1.9,1.9,3.0,win,market,9
2026,8,2026-05-02,Essendon Bombers,Brisbane Lions,79,143,-64.0,222.0,total,normal,under,178.8,,,183.5,191.5,1.87,1.8,-8.0,loss,market,9
2026,8,2026-05-02,Essendon Bombers,Brisbane Lions,79,143,-64.0,222.0,total,ml,under,161.8,,,183.5,191.5,1.87,1.8,-8.0,loss,market,9
