season,round,date,home_team,away_team,home_score,away_score,actual_margin_home,actual_total,market,signal,selection,model_number,model_home_fair_odds,model_away_fair_odds,open_number,close_number,open_odds,close_odds,clv,result,winner,bookmakers_surveyed
2026,12,2026-05-28,St Kilda Saints,Hawthorn Hawks,67,119,-52.0,186.0,h2h,normal,Hawthorn Hawks,,5.028,1.248,,,1.49,1.33,0.1203,win,tie,5
2026,12,2026-05-28,St Kilda Saints,Hawthorn Hawks,67,119,-52.0,186.0,h2h,ml,Hawthorn Hawks,,2.07,1.935,,,1.49,1.33,0.1203,win,tie,5
2026,12,2026-05-28,St Kilda Saints,Hawthorn Hawks,67,119,-52.0,186.0,h2h,market,Hawthorn Hawks,,,,,,1.49,1.33,0.1203,win,tie,5
2026,12,2026-05-28,St Kilda Saints,Hawthorn Hawks,67,119,-52.0,186.0,handicap,normal,Hawthorn Hawks,-30.4,,,-12.5,-20.5,1.9,1.9,8.0,win,tie,5
2026,12,2026-05-28,St Kilda Saints,Hawthorn Hawks,67,119,-52.0,186.0,handicap,ml,Hawthorn Hawks,-16.6,,,-12.5,-20.5,1.9,1.9,8.0,win,tie,5
2026,12,2026-05-28,St Kilda Saints,Hawthorn Hawks,67,119,-52.0,186.0,handicap,market,Hawthorn Hawks,,,,-12.5,-20.5,1.9,1.9,8.0,win,tie,5
2026,12,2026-05-28,St Kilda Saints,Hawthorn Hawks,67,119,-52.0,186.0,total,normal,under,177.1,,,179.5,179.5,2.02,2.06,0.0,loss,market,5
2026,12,2026-05-28,St Kilda Saints,Hawthorn Hawks,67,119,-52.0,186.0,total,ml,under,179.4,,,179.5,179.5,2.02,2.06,0.0,loss,market,5
2026,12,2026-05-28,St Kilda Saints,Hawthorn Hawks,67,119,-52.0,186.0,total,market,no_move,,,,179.5,179.5,,,,,market,5
2026,12,2026-05-29,Carlton Blues,Geelong Cats,88,84,4.0,172.0,h2h,normal,Geelong Cats,,9.074,1.124,,,1.28,1.21,0.0579,loss,ml,5
2026,12,2026-05-29,Carlton Blues,Geelong Cats,88,84,4.0,172.0,h2h,ml,Carlton Blues,,1.37,3.7,,,3.45,4.4,-0.2159,win,ml,5
2026,12,2026-05-29,Carlton Blues,Geelong Cats,88,84,4.0,172.0,h2h,market,Geelong Cats,,,,,,1.28,1.21,0.0579,loss,ml,5
2026,12,2026-05-29,Carlton Blues,Geelong Cats,88,84,4.0,172.0,handicap,normal,Geelong Cats,-44.1,,,-23.5,-26.5,1.9,1.85,3.0,loss,ml,5
2026,12,2026-05-29,Carlton Blues,Geelong Cats,88,84,4.0,172.0,handicap,ml,Carlton Blues,-2.3,,,23.5,26.5,1.9,1.95,-3.0,win,ml,5
2026,12,2026-05-29,Carlton Blues,Geelong Cats,88,84,4.0,172.0,handicap,market,Geelong Cats,,,,-23.5,-26.5,1.9,1.85,3.0,loss,ml,5
2026,12,2026-05-29,Carlton Blues,Geelong Cats,88,84,4.0,172.0,total,normal,over,186.9,,,177.5,178.5,1.82,1.8,1.0,loss,ml,5
