season,round_number,team_name,as_of_date,games,kicks_pg,handballs_pg,disposals_pg,marks_pg,goals_pg,behinds_pg,goal_assists_pg,inside_50s_pg,rebound_50s_pg,tackles_pg,hitouts_pg,frees_for_pg,frees_ag_pg,clearances_pg,clangers_pg,cp_pg,up_pg,eff_disposals_pg,disposal_eff_pct,cont_marks_pg,marks_i50_pg,one_pct_pg,bounces_pg,centre_cl_pg,stoppage_cl_pg,metres_gained_total,turnovers_pg,intercepts_pg,tackles_i50_pg,goal_conv_pct,kicking_ratio,mg_pg
2026,9,Adelaide Crows,,6.0,226.7,131.0,357.7,87.0,13.0,11.0,10.2,52.0,44.8,63.2,42.8,18.8,18.8,36.7,60.7,138.5,205.2,257.3,71.9,8.3,11.7,51.3,4.7,13.0,23.7,6437.0,73.2,75.0,11.8,0.5417,0.6338,1072.8
2026,9,Brisbane Lions,,6.0,245.7,128.3,374.0,114.7,14.2,13.6,9.8,55.8,37.7,46.3,31.5,17.3,18.2,41.7,54.7,129.8,231.8,271.5,72.6,9.3,13.8,40.3,3.2,15.5,26.2,6086.3,65.7,64.2,9.8,0.5108,0.657,1014.4
2026,9,Carlton Blues,,6.0,212.0,154.8,366.8,83.5,11.3,11.4,6.3,49.3,45.0,58.8,35.0,18.7,21.0,37.2,61.2,139.3,218.2,260.0,70.9,9.2,8.3,48.3,6.2,12.2,25.0,5902.5,69.7,68.8,10.8,0.4978,0.578,983.8
2026,9,Collingwood Magpies,,6.0,220.7,154.7,375.3,109.5,10.5,9.7,8.7,52.2,42.5,58.3,28.0,16.7,16.5,28.8,53.2,115.0,244.7,279.5,74.5,9.0,10.0,43.5,5.5,9.8,19.0,6020.7,70.0,68.0,13.2,0.5198,0.5879,1003.4
2026,9,Essendon Bombers,,6.0,204.5,154.0,358.5,93.0,12.5,10.0,9.2,46.7,40.0,51.0,27.0,19.2,17.0,29.3,51.8,118.2,229.3,271.0,75.6,7.2,10.0,30.5,9.3,12.8,16.5,5600.2,61.7,61.5,8.0,0.5556,0.5704,933.4
2026,9,Fremantle Dockers,,6.0,212.0,161.3,373.3,85.7,12.7,14.1,10.0,53.2,42.2,59.7,43.8,16.0,19.0,36.2,56.8,140.2,224.0,274.0,73.4,10.3,12.2,44.8,9.3,11.5,24.7,6192.8,68.8,69.0,9.0,0.4739,0.5679,1032.1
2026,9,Geelong Cats,,6.0,230.2,148.3,378.5,97.7,14.2,13.5,9.8,60.8,36.5,65.7,35.5,24.0,16.8,36.0,58.0,133.8,229.2,268.0,70.8,9.2,14.7,45.3,5.5,14.2,21.8,6496.5,69.2,71.3,14.2,0.5126,0.6082,1082.8
2026,9,Gold Coast Suns,,7.0,196.0,171.9,367.9,82.0,15.3,11.6,12.0,59.0,37.0,56.1,42.0,18.4,22.0,33.3,59.4,129.3,229.6,272.9,74.2,7.3,13.7,41.6,9.7,12.6,20.7,6510.6,67.7,71.6,9.9,0.5688,0.5328,930.1
2026,9,Greater Western Sydney Giants,,6.0,221.3,181.8,403.2,97.8,11.8,12.3,7.5,57.7,42.2,53.5,32.2,16.8,20.7,33.2,62.2,135.2,259.8,300.5,74.5,8.7,10.7,44.3,7.0,11.7,21.5,6434.0,70.0,73.5,12.3,0.4896,0.549,1072.3
2026,9,Hawthorn Hawks,,7.0,233.7,158.0,391.7,108.1,15.1,14.3,11.4,56.4,39.9,61.7,46.7,18.0,17.7,37.1,55.6,132.3,249.6,294.0,75.1,10.7,14.1,37.6,11.6,11.9,25.3,6390.1,62.6,70.3,13.3,0.5136,0.5966,912.9
