team_id,team,season,as_of_date,completion_rate,kick_metres_pg,errors_pg,penalties_pg,source_note
6,Sydney Roosters,2026,2026-08-25,0.79,576,10.3,5.2,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
4,Melbourne Storm,2026,2026-08-25,0.81,571,9.0,4.1,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
1,Penrith Panthers,2026,2026-08-25,0.79,618,10.6,3.9,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
2,New Zealand Warriors,2026,2026-08-25,0.83,638,9.5,4.3,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
3,Cronulla-Sutherland Sharks,2026,2026-08-25,0.82,629,10.0,5.2,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
5,Dolphins,2026,2026-08-25,0.78,549,10.7,4.8,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
7,South Sydney Rabbitohs,2026,2026-08-25,0.80,592,10.0,4.9,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
8,Newcastle Knights,2026,2026-08-25,0.77,573,10.3,4.7,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
9,Manly-Warringah Sea Eagles,2026,2026-08-25,0.79,598,10.4,4.8,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
10,North Queensland Cowboys,2026,2026-08-25,0.79,551,11.0,5.5,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
11,Canberra Raiders,2026,2026-08-25,0.80,599,10.0,5.0,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
12,Canterbury-Bankstown Bulldogs,2026,2026-08-25,0.78,603,10.9,5.1,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
13,Parramatta Eels,2026,2026-08-25,0.78,620,11.0,4.1,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
14,Gold Coast Titans,2026,2026-08-25,0.77,581,11.5,3.9,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
15,Wests Tigers,2026,2026-08-25,0.81,584,9.9,4.1,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
16,Brisbane Broncos,2026,2026-08-25,0.80,598,10.2,5.8,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
17,St. George Illawarra Dragons,2026,2026-08-25,0.79,660,10.8,4.2,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
