team,season,as_of_date,lb_pg,tb_pg,mt_pg,lbc_pg,source_note
Sydney Roosters,2026,2026-08-25,5.3,40.2,30.9,4.4,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Melbourne Storm,2026,2026-08-25,5.5,41.4,40.1,6.5,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Penrith Panthers,2026,2026-08-25,6.0,41.9,36.5,4.2,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
New Zealand Warriors,2026,2026-08-25,6.0,41.4,38.8,4.9,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Cronulla-Sutherland Sharks,2026,2026-08-25,5.5,37.3,33.2,4.9,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Dolphins,2026,2026-08-25,6.4,40.6,33.5,4.6,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
South Sydney Rabbitohs,2026,2026-08-25,7.1,40.0,41.4,4.6,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Newcastle Knights,2026,2026-08-25,6.0,40.7,39.1,4.8,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Manly-Warringah Sea Eagles,2026,2026-08-25,5.5,35.6,34.9,4.6,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
North Queensland Cowboys,2026,2026-08-25,5.5,38.2,41.5,6.1,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Canberra Raiders,2026,2026-08-25,4.6,42.0,40.2,5.6,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Canterbury-Bankstown Bulldogs,2026,2026-08-25,5.1,39.0,39.9,4.2,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Parramatta Eels,2026,2026-08-25,4.1,31.5,45.8,6.7,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Gold Coast Titans,2026,2026-08-25,5.0,35.5,39.6,5.8,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Wests Tigers,2026,2026-08-25,4.0,36.0,40.1,6.7,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
Brisbane Broncos,2026,2026-08-25,4.5,34.2,37.3,5.3,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
St. George Illawarra Dragons,2026,2026-08-25,3.8,32.0,35.0,6.0,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
