team_id,team,season,as_of_date,run_metres_pg,source_note
4,Melbourne Storm,2026,2026-08-25,1389,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
1,Penrith Panthers,2026,2026-08-25,1560,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
2,New Zealand Warriors,2026,2026-08-25,1520,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
3,Cronulla-Sutherland Sharks,2026,2026-08-25,1508,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
5,Dolphins,2026,2026-08-25,1544,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
6,Sydney Roosters,2026,2026-08-25,1529,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
7,South Sydney Rabbitohs,2026,2026-08-25,1470,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
8,Newcastle Knights,2026,2026-08-25,1434,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
9,Manly-Warringah Sea Eagles,2026,2026-08-25,1479,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
10,North Queensland Cowboys,2026,2026-08-25,1475,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
11,Canberra Raiders,2026,2026-08-25,1459,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
12,Canterbury-Bankstown Bulldogs,2026,2026-08-25,1478,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
13,Parramatta Eels,2026,2026-08-25,1372,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
14,Gold Coast Titans,2026,2026-08-25,1451,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
15,Wests Tigers,2026,2026-08-25,1411,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
16,Brisbane Broncos,2026,2026-08-25,1269,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
17,St. George Illawarra Dragons,2026,2026-08-25,1433,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
