team_id,team,season,as_of_date,fdo_pg,krm_pg,source_note
6,Sydney Roosters,2026,2026-08-25,1.8,132,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
4,Melbourne Storm,2026,2026-08-25,0.9,101,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
1,Penrith Panthers,2026,2026-08-25,1.3,119,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
2,New Zealand Warriors,2026,2026-08-25,0.7,102,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
3,Cronulla-Sutherland Sharks,2026,2026-08-25,1.6,111,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
5,Dolphins,2026,2026-08-25,1.0,125,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
7,South Sydney Rabbitohs,2026,2026-08-25,1.1,94,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
8,Newcastle Knights,2026,2026-08-25,0.9,94,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
9,Manly-Warringah Sea Eagles,2026,2026-08-25,1.0,89,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
10,North Queensland Cowboys,2026,2026-08-25,1.0,100,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
11,Canberra Raiders,2026,2026-08-25,1.3,104,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
12,Canterbury-Bankstown Bulldogs,2026,2026-08-25,1.6,137,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
13,Parramatta Eels,2026,2026-08-25,1.1,98,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
14,Gold Coast Titans,2026,2026-08-25,0.9,89,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
15,Wests Tigers,2026,2026-08-25,1.0,91,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
16,Brisbane Broncos,2026,2026-08-25,1.5,78,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
17,St. George Illawarra Dragons,2026,2026-08-25,0.8,88,foxsports.com.au/nrl/nrl-premiership/stats/teams — 2026 season averages as at R25
