year,date,market_id,home_team,away_team,pregame_home_back,pregame_away_back,pregame_home_lay,pregame_away_lay,ht_home_back,ht_away_back,ht_home_lay,ht_away_lay,ht_matched_volume,ft_home_score,ft_away_score,ft_margin,ft_total,home_won,ht_home_impl_prob,ht_away_impl_prob,pregame_home_impl_prob,pregame_away_impl_prob,home_price_drift,away_price_drift,home_prob_shift,away_prob_shift,ht_deficit,deficit_band,ht_disposal_diff,ht_inside50_diff,ht_clearance_diff,ht_score_shot_diff,ft_score_diff,away_won,ht_home_score,ht_away_score,ht_home_goals,ht_home_behinds,ht_away_goals,ht_away_behinds,ft_home_score_afl,ft_away_score_afl,ht_score_diff,ht_total_score,ht_leader
2022,16/03/2022,193084018,Melbourne,Western Bulldogs,1.7,2.38,1.74,2.4,1.94,1.84,2.2,1.98,311774.61,97.0,71.0,26.0,168.0,1,0.5154639175257733,0.5434782608695652,0.5882352941176471,0.4201680672268907,-0.24,0.5399999999999998,-0.0727713765918738,0.1233101936426744,,,,,,,26.0,0,42.0,51.0,6.0,6.0,8.0,3.0,97.0,71.0,-9.0,93.0,away
2022,17/03/2022,193084488,Carlton,Richmond,2.56,1.63,2.6,1.64,1.91,2.0,1.93,2.1,122955.94,101.0,76.0,25.0,177.0,1,0.5235602094240838,0.5,0.390625,0.6134969325153374,0.6500000000000001,-0.3700000000000001,0.1329352094240837,-0.1134969325153374,,,,,,,25.0,0,39.0,31.0,5.0,9.0,4.0,7.0,101.0,76.0,8.0,70.0,home
2022,18/03/2022,193084958,St Kilda,Collingwood,1.73,2.34,1.74,2.36,2.74,1.52,2.84,1.56,191843.22,85.0,102.0,-17.0,187.0,0,0.364963503649635,0.6578947368421053,0.5780346820809249,0.4273504273504274,-1.0100000000000002,0.8199999999999998,-0.2130711784312898,0.2305443094916779,,,,,,,-17.0,1,36.0,51.0,5.0,6.0,7.0,9.0,85.0,102.0,-15.0,87.0,away
2022,19/03/2022,193085428,Geelong,Essendon,1.72,2.34,1.85,2.38,1.01,36.0,1.02,100.0,156675.38,138.0,72.0,66.0,210.0,1,0.99009900990099,0.0277777777777777,0.5813953488372093,0.4273504273504274,0.71,-33.66,0.4087036610637807,-0.3995726495726496,,,,,,,66.0,0,81.0,21.0,12.0,9.0,3.0,3.0,138.0,72.0,60.0,102.0,home
2022,19/03/2022,193085898,GWS,Sydney,2.08,1.9,2.1,1.92,2.06,1.92,2.08,1.93,2098.75,92.0,112.0,-20.0,204.0,0,0.4854368932038835,0.5208333333333334,0.4807692307692307,0.5263157894736842,0.02,-0.02,0.0046676624346527,-0.0054824561403508,,,,,,,-20.0,1,67.0,58.0,10.0,7.0,9.0,4.0,92.0,112.0,9.0,125.0,home
2022,19/03/2022,193086368,Brisbane,Port Adelaide,1.38,3.55,1.39,3.6,1.62,2.42,1.72,2.7,196741.09,80.0,69.0,11.0,149.0,1,0.6172839506172839,0.4132231404958678,0.7246376811594204,0.2816901408450704,-0.2400000000000002,1.13,-0.1073537305421364,0.1315329996507973,,,,,,,11.0,0,30.0,34.0,4.0,6.0,5.0,4.0,80.0,69.0,-4.0,64.0,away
2022,20/03/2022,193086838,Hawthorn,North Melbourne,1.82,2.2,1.83,2.22,2.0,1.66,4.5,1.79,87122.39,78.0,58.0,20.0,136.0,1,0.5,0.6024096385542169,0.5494505494505494,0.4545454545454545,-0.1799999999999999,0.5400000000000003,-0.0494505494505493,0.1478641840087624,,,,,,,20.0,0,31.0,38.0,4.0,7.0,5.0,8.0,78.0,58.0,-7.0,69.0,away
2022,20/03/2022,193087308,Adelaide,Fremantle,1.77,2.22,1.81,2.26,4.8,1.21,5.8,1.23,111075.96,82.0,83.0,-1.0,165.0,0,0.2083333333333333,0.8264462809917356,0.5649717514124294,0.4504504504504504,-3.03,1.0100000000000002,-0.356638418079096,0.3759958305412851,,,,,,,-1.0,1,32.0,57.0,5.0,2.0,8.0,9.0,82.0,83.0,-25.0,89.0,away
2022,20/03/2022,193087778,West Coast,Gold Coast,2.14,1.87,2.18,1.94,1.81,2.1,1.93,2.36,237892.96,80.0,107.0,-27.0,187.0,0,0.5524861878453039,0.4761904761904761,0.4672897196261682,0.53475935828877,0.33,-0.2299999999999999,0.0851964682191356,-0.0585688820982938,,,,,,,-27.0,1,45.0,36.0,7.0,3.0,5.0,6.0,80.0,107.0,9.0,81.0,home
2022,24/03/2022,196277424,Western Bulldogs,Carlton,1.56,2.74,1.57,2.78,4.0,1.23,5.0,1.25,280628.41,90.0,102.0,-12.0,192.0,0,0.25,0.8130081300813008,0.641025641025641,0.364963503649635,-2.44,1.5100000000000002,-0.3910256410256409,0.4480446264316657,,,,,,,-12.0,1,45.0,76.0,7.0,3.0,12.0,4.0,90.0,102.0,-31.0,121.0,away
