sport,date,season,home_team,away_team,home_odds_open,home_odds_close,away_odds_open,away_odds_close,total_open,total_close,who_shortened,totals_direction,fav_side,elo_gap_proxy,home_move_pct,away_move_pct,result_margin
AFL,2026-08-02,2026,Essendon,Adelaide,8.5,7.5,1.06,1.09,172.5,177.5,HOME,OVERS,AWAY,-0.7782,-11.76,2.83,-72.0
AFL,2026-08-02,2026,Gold Coast,Melbourne,2.08,2.05,1.73,1.77,181.5,185.5,HOME,OVERS,AWAY,-0.0919,-1.44,2.31,-9.0
AFL,2026-08-02,2026,Richmond,West Coast,1.87,2.15,1.9,1.7,167.5,166.5,AWAY,UNDERS,HOME,0.008,14.97,-10.53,11.0
AFL,2026-08-01,2026,Carlton,Brisbane,3.7,3.35,1.27,1.33,179.5,184.5,HOME,OVERS,AWAY,-0.4889,-9.46,4.72,76.0
AFL,2026-08-01,2026,Port Adelaide,GWS Giants,1.93,2.0,1.81,1.8,168.5,168.5,AWAY,EVEN,AWAY,-0.0321,3.63,-0.55,-12.0
AFL,2026-08-01,2026,Hawthorn,North Melbourne,1.18,1.08,4.5,8.0,174.5,182.5,HOME,OVERS,HOME,0.5845,-8.47,77.78,16.0
AFL,2026-08-01,2026,St Kilda,Sydney,2.15,2.45,1.64,1.55,183.5,184.5,AWAY,OVERS,AWAY,-0.1346,13.95,-5.49,-19.0
AFL,2026-07-31,2026,Fremantle,Western Bulldogs,1.18,1.08,4.5,8.0,164.5,173.5,HOME,OVERS,HOME,0.5845,-8.47,77.78,37.0
AFL,2026-07-30,2026,Collingwood,Geelong,1.87,2.1,1.87,1.74,171.5,175.5,AWAY,OVERS,AWAY,0.0,12.3,-6.95,-25.0
AFL,2026-07-26,2026,North Melbourne,St Kilda,2.5,2.75,1.49,1.45,176.5,178.5,AWAY,OVERS,AWAY,-0.2531,10.0,-2.68,-31.0
AFL,2026-07-26,2026,Brisbane,Port Adelaide,1.12,1.07,5.75,8.5,188.5,190.5,HOME,OVERS,HOME,0.6739,-4.46,47.83,59.0
AFL,2026-07-25,2026,Western Bulldogs,Richmond,1.13,1.09,5.5,7.5,172.5,177.5,HOME,OVERS,HOME,0.6591,-3.54,36.36,57.0
AFL,2026-07-25,2026,GWS Giants,Sydney,1.98,2.65,1.77,1.48,184.5,185.5,AWAY,OVERS,AWAY,-0.056,33.84,-16.38,-51.0
AFL,2026-07-25,2026,Hawthorn,Essendon,1.02,1.02,11.0,14.0,169.5,178.5,BOTH_OR_NEITHER,OVERS,HOME,0.8303,0.0,27.27,93.0
AFL,2026-07-25,2026,Carlton,Gold Coast,1.64,1.65,2.15,2.25,170.5,172.5,BOTH_OR_NEITHER,OVERS,HOME,0.1346,0.61,4.65,13.0
AFL,2026-07-24,2026,Fremantle,West Coast,1.05,1.04,8.5,11.0,171.5,172.5,HOME,OVERS,HOME,0.7801,-0.95,29.41,70.0
AFL,2026-07-24,2026,Melbourne,Geelong,1.94,1.95,1.8,1.85,176.5,177.5,BOTH_OR_NEITHER,OVERS,AWAY,-0.0374,0.52,2.78,-20.0
AFL,2026-07-23,2026,Adelaide,Collingwood,1.42,1.36,2.75,3.2,163.5,165.5,HOME,OVERS,HOME,0.3189,-4.23,16.36,-34.0
AFL,2026-07-19,2026,Essendon,GWS Giants,6.5,6.5,1.1,1.11,178.5,180.5,BOTH_OR_NEITHER,OVERS,AWAY,-0.7105,0.0,0.91,3.0
AFL,2026-07-19,2026,Gold Coast,Western Bulldogs,1.88,1.67,1.88,2.2,170.5,165.5,HOME,UNDERS,AWAY,0.0,-11.17,17.02,-9.0
AFL,2026-07-19,2026,Richmond,Hawthorn,9.5,10.0,1.05,1.05,173.5,183.5,BOTH_OR_NEITHER,OVERS,AWAY,-0.8009,5.26,0.0,-70.0
AFL,2026-07-18,2026,West Coast,Brisbane,6.25,7.0,1.1,1.1,169.5,179.5,BOTH_OR_NEITHER,OVERS,AWAY,-0.7007,12.0,0.0,-24.0
AFL,2026-07-18,2026,Collingwood,Carlton,1.59,1.7,2.25,2.15,170.5,167.5,AWAY,UNDERS,HOME,0.1719,6.92,-4.44,21.0
AFL,2026-07-18,2026,North Melbourne,Melbourne,2.75,2.9,1.43,1.42,178.5,184.5,AWAY,OVERS,AWAY,-0.3158,5.45,-0.7,-16.0
AFL,2026-07-18,2026,Port Adelaide,Fremantle,6.5,8.5,1.11,1.07,171.5,172.5,AWAY,OVERS,AWAY,-0.7083,30.77,-3.6,-28.0
AFL,2026-07-17,2026,Sydney,Adelaide,1.51,1.41,2.5,2.9,179.5,174.5,HOME,UNDERS,HOME,0.2469,-6.62,16.0,-16.0
AFL,2026-07-16,2026,Geelong,St Kilda,1.29,1.42,3.4,2.85,181.5,176.5,AWAY,UNDERS,HOME,0.4499,10.08,-16.18,27.0
AFL,2026-07-12,2026,Brisbane,Essendon,1.01,1.02,15.0,14.0,187.5,187.5,AWAY,EVEN,HOME,0.8738,0.99,-6.67,90.0
AFL,2026-07-12,2026,Melbourne,Richmond,1.1,1.1,7.0,7.0,173.5,173.5,BOTH_OR_NEITHER,EVEN,HOME,0.7284,0.0,0.0,46.0
AFL,2026-07-12,2026,Western Bulldogs,West Coast,1.13,1.13,5.5,6.0,175.5,175.5,BOTH_OR_NEITHER,EVEN,HOME,0.6591,0.0,9.09,16.0
AFL,2026-07-11,2026,Adelaide,Gold Coast,1.42,1.29,2.85,3.6,165.5,165.5,HOME,EVEN,HOME,0.3349,-9.15,26.32,79.0
AFL,2026-07-11,2026,Carlton,Hawthorn,2.7,2.3,1.43,1.62,172.5,172.5,HOME,EVEN,AWAY,-0.3075,-14.81,13.29,-64.0
AFL,2026-07-11,2026,GWS Giants,Geelong,2.3,2.15,1.58,1.7,184.5,184.5,HOME,EVEN,AWAY,-0.1856,-6.52,7.59,13.0
AFL,2026-07-11,2026,St Kilda,Port Adelaide,1.65,1.55,2.25,2.45,171.5,171.5,HOME,EVEN,HOME,0.1538,-6.06,8.89,14.0
AFL,2026-07-10,2026,Collingwood,North Melbourne,1.45,1.39,2.6,3.0,174.5,174.5,HOME,EVEN,HOME,0.284,-4.14,15.38,4.0
AFL,2026-07-09,2026,Fremantle,Sydney,1.41,1.43,2.75,2.85,176.5,176.5,BOTH_OR_NEITHER,EVEN,HOME,0.3221,1.42,3.64,38.0
AFL,2026-07-05,2026,Port Adelaide,North Melbourne,1.42,1.44,2.85,2.8,172.5,171.5,AWAY,UNDERS,HOME,0.3349,1.41,-1.75,21.0
AFL,2026-07-05,2026,Essendon,St Kilda,4.15,4.2,1.23,1.23,178.5,175.5,BOTH_OR_NEITHER,UNDERS,AWAY,-0.5428,1.2,0.0,-67.0
AFL,2026-07-04,2026,Richmond,Carlton,6.0,5.8,1.13,1.14,167.5,166.5,HOME,UNDERS,AWAY,-0.683,-3.33,0.88,-2.0
AFL,2026-07-04,2026,Gold Coast,Collingwood,1.6,1.62,2.35,2.3,173.5,171.5,AWAY,UNDERS,HOME,0.1899,1.25,-2.13,-6.0
AFL,2026-07-04,2026,GWS Giants,Fremantle,3.3,3.9,1.33,1.26,178.5,177.5,AWAY,UNDERS,AWAY,-0.4255,18.18,-5.26,21.0
AFL,2026-07-04,2026,Hawthorn,Melbourne,1.3,1.42,3.5,2.9,171.5,175.5,AWAY,OVERS,HOME,0.4583,9.23,-17.14,-35.0
AFL,2026-07-03,2026,West Coast,Adelaide,3.9,4.85,1.23,1.18,172.5,170.5,AWAY,UNDERS,AWAY,-0.5205,24.36,-4.07,-25.0
AFL,2026-07-03,2026,Sydney,Western Bulldogs,1.32,1.44,3.2,2.8,183.5,187.5,AWAY,OVERS,HOME,0.4159,9.09,-12.5,35.0
AFL,2026-07-02,2026,Geelong,Brisbane,1.37,1.47,2.95,2.7,173.5,167.5,AWAY,UNDERS,HOME,0.3657,7.3,-8.47,-22.0
AFL,2026-06-28,2026,Fremantle,Gold Coast,1.2,1.18,4.5,4.5,159.5,167.5,HOME,OVERS,HOME,0.5789,-1.67,0.0,51.0
AFL,2026-06-28,2026,North Melbourne,Essendon,1.45,1.45,2.75,2.75,169.5,174.5,BOTH_OR_NEITHER,OVERS,HOME,0.3095,0.0,0.0,14.0
AFL,2026-06-27,2026,Port Adelaide,Adelaide,2.6,3.7,1.45,1.25,166.5,160.5,AWAY,UNDERS,AWAY,-0.284,42.31,-13.79,26.0
AFL,2026-06-27,2026,Collingwood,Richmond,1.13,1.11,5.5,6.5,170.5,164.5,HOME,UNDERS,HOME,0.6591,-1.77,18.18,34.0
AFL,2026-06-27,2026,Carlton,West Coast,1.21,1.13,4.1,6.0,174.5,174.5,HOME,EVEN,HOME,0.5443,-6.61,46.34,53.0
AFL,2026-06-26,2026,Hawthorn,GWS Giants,1.33,1.26,3.15,3.8,172.5,172.5,HOME,EVEN,HOME,0.4062,-5.26,20.63,14.0
AFL,2026-06-25,2026,Brisbane,Sydney,1.8,1.85,1.95,1.95,184.5,182.5,BOTH_OR_NEITHER,UNDERS,HOME,0.04,2.78,0.0,43.0
AFL,2026-06-21,2026,St Kilda,Western Bulldogs,1.95,1.8,1.85,2.0,185.5,183.5,HOME,UNDERS,AWAY,-0.0263,-7.69,8.11,-22.0
AFL,2026-06-21,2026,Richmond,North Melbourne,2.95,3.6,1.37,1.29,176.5,174.5,AWAY,UNDERS,AWAY,-0.3657,22.03,-5.84,-25.0
AFL,2026-06-20,2026,Collingwood,Port Adelaide,1.39,1.55,2.85,2.45,163.5,153.5,AWAY,UNDERS,HOME,0.3443,11.51,-14.04,26.0
AFL,2026-06-20,2026,GWS Giants,Carlton,1.43,1.29,2.7,3.6,185.5,182.5,HOME,UNDERS,HOME,0.3075,-9.79,33.33,-23.0
AFL,2026-06-20,2026,Adelaide,Melbourne,1.4,1.34,2.8,3.25,178.5,180.5,HOME,OVERS,HOME,0.3333,-4.29,16.07,17.0
AFL,2026-06-19,2026,Gold Coast,Hawthorn,2.05,2.35,1.73,1.6,182.5,177.5,AWAY,UNDERS,AWAY,-0.0847,14.63,-7.51,-16.0
AFL,2026-06-18,2026,Fremantle,Geelong,1.49,1.33,2.5,3.3,178.5,177.5,HOME,UNDERS,HOME,0.2531,-10.74,32.0,9.0
AFL,2026-06-14,2026,St Kilda,GWS Giants,1.96,1.95,1.78,1.85,183.5,185.5,HOME,OVERS,AWAY,-0.0481,-0.51,3.93,8.0
AFL,2026-06-14,2026,Richmond,Brisbane,8.0,10.0,1.06,1.05,180.5,185.5,AWAY,OVERS,AWAY,-0.766,25.0,-0.94,-35.0
AFL,2026-06-13,2026,Port Adelaide,Sydney,3.0,2.8,1.36,1.44,165.5,164.5,HOME,UNDERS,AWAY,-0.3761,-6.67,5.88,-3.0
AFL,2026-06-13,2026,North Melbourne,West Coast,1.63,1.45,2.2,2.75,165.5,176.5,HOME,OVERS,HOME,0.1488,-11.04,25.0,1.0
AFL,2026-06-13,2026,Melbourne,Essendon,1.17,1.18,4.65,4.9,163.5,160.5,BOTH_OR_NEITHER,UNDERS,HOME,0.5979,0.85,5.38,45.0
AFL,2026-06-12,2026,Geelong,Gold Coast,1.34,1.21,3.1,4.4,178.5,180.5,HOME,OVERS,HOME,0.3964,-9.7,41.94,45.0
AFL,2026-06-11,2026,Western Bulldogs,Adelaide,1.74,1.65,2.0,2.25,180.5,180.5,HOME,EVEN,HOME,0.0695,-5.17,12.5,-57.0
AFL,2026-06-08,2026,Collingwood,Melbourne,2.0,1.9,1.8,1.9,182.5,177.5,HOME,UNDERS,AWAY,-0.0526,-5.0,5.56,-8.0
AFL,2026-06-07,2026,Essendon,Carlton,4.5,5.0,1.2,1.17,173.5,168.5,AWAY,UNDERS,AWAY,-0.5789,11.11,-2.5,-5.0
AFL,2026-06-07,2026,Sydney,St Kilda,1.24,1.19,4.0,4.75,185.5,186.5,HOME,OVERS,HOME,0.5267,-4.03,18.75,2.0
AFL,2026-06-06,2026,West Coast,Port Adelaide,2.45,2.2,1.55,1.67,172.5,166.5,HOME,UNDERS,AWAY,-0.225,-10.2,7.74,-6.0
AFL,2026-06-06,2026,Gold Coast,Brisbane,1.72,1.5,2.1,2.6,188.5,186.5,HOME,UNDERS,HOME,0.0995,-12.79,23.81,-31.0
AFL,2026-06-06,2026,North Melbourne,Fremantle,3.65,4.0,1.28,1.25,178.5,180.5,AWAY,OVERS,AWAY,-0.4807,9.59,-2.34,-124.0
AFL,2026-06-05,2026,Hawthorn,Western Bulldogs,1.32,1.5,3.2,2.6,175.5,177.5,AWAY,OVERS,HOME,0.4159,13.64,-18.75,-6.0
AFL,2026-06-04,2026,Adelaide,Geelong,2.35,2.6,1.54,1.5,165.5,166.5,AWAY,OVERS,AWAY,-0.2082,10.64,-2.6,1.0
AFL,2026-05-31,2026,West Coast,Essendon,1.5,1.44,2.55,2.8,155.5,141.5,HOME,UNDERS,HOME,0.2593,-4.0,9.8,30.0
AFL,2026-05-31,2026,Melbourne,GWS Giants,1.69,2.2,2.1,1.67,177.5,190.5,AWAY,OVERS,HOME,0.1082,30.18,-20.48,-49.0
AFL,2026-05-30,2026,Western Bulldogs,Collingwood,1.77,1.6,1.98,2.35,178.5,176.5,HOME,UNDERS,HOME,0.056,-9.6,18.69,4.0
AFL,2026-05-30,2026,Brisbane,Fremantle,1.49,1.58,2.5,2.4,182.5,185.5,AWAY,OVERS,HOME,0.2531,6.04,-4.0,-25.0
