season,round,week_ending,date,home_team,away_team,market,rules_model,ml_model,market_open,market_close,rules_vs_open,rules_vs_close,ml_vs_open,ml_vs_close,actual,rules_vs_actual,ml_vs_actual
2026,9,2026-05-12,2026-05-07,Fremantle Dockers,Hawthorn Hawks,h2h,55.1,76.0,54.9,58.8,+0.20,-3.70,+21.10,+17.20,1.0,+54.10,+75.00
2026,9,2026-05-12,2026-05-07,Fremantle Dockers,Hawthorn Hawks,handicap,4.6,-3.9,,,,,,,15.0,-10.40,-18.90
2026,9,2026-05-12,2026-05-07,Fremantle Dockers,Hawthorn Hawks,total,184.8,148.1,176.5,176.5,+8.30,+8.30,-28.40,-28.40,161.0,+23.80,-12.90
2026,9,2026-05-12,2026-05-08,Brisbane Lions,Carlton Blues,h2h,95.4,98.3,87.7,90.9,+7.70,+4.50,+10.60,+7.40,1.0,+94.40,+97.30
2026,9,2026-05-12,2026-05-08,Brisbane Lions,Carlton Blues,handicap,60.8,65.6,,,,,,,11.0,+49.80,+54.60
2026,9,2026-05-12,2026-05-08,Brisbane Lions,Carlton Blues,total,183.6,195.7,186.5,186.5,-2.90,-2.90,+9.20,+9.20,189.0,-5.40,+6.70
2026,9,2026-05-12,2026-05-08,Port Adelaide Power,Western Bulldogs,h2h,34.0,64.8,43.8,44.4,-9.80,-10.40,+21.00,+20.40,0.0,+34.00,+64.80
2026,9,2026-05-12,2026-05-08,Port Adelaide Power,Western Bulldogs,handicap,14.8,18.1,,,,,,,-2.0,+16.80,+20.10
2026,9,2026-05-12,2026-05-08,Port Adelaide Power,Western Bulldogs,total,172.1,167.8,175.5,175.5,-3.40,-3.40,-7.70,-7.70,146.0,+26.10,+21.80
2026,9,2026-05-12,2026-05-09,Geelong Cats,Collingwood Magpies,h2h,74.0,63.8,67.1,67.6,+6.90,+6.40,-3.30,-3.80,1.0,+73.00,+62.80
2026,9,2026-05-12,2026-05-09,Geelong Cats,Collingwood Magpies,handicap,23.2,-8.4,-12.5,-13.5,+35.70,+36.70,+4.10,+5.10,54.0,-30.80,-62.40
2026,9,2026-05-12,2026-05-09,Geelong Cats,Collingwood Magpies,total,174.8,174.3,177.5,174.5,-2.70,+0.30,-3.20,-0.20,190.0,-15.20,-15.70
2026,9,2026-05-12,2026-05-09,Gold Coast Suns,St Kilda Saints,h2h,91.3,91.2,70.9,74.6,+20.40,+16.70,+20.30,+16.60,1.0,+90.30,+90.20
2026,9,2026-05-12,2026-05-09,Gold Coast Suns,St Kilda Saints,handicap,48.9,50.8,-15.5,-20.5,+64.40,+69.40,+66.30,+71.30,29.0,+19.90,+21.80
2026,9,2026-05-12,2026-05-09,Gold Coast Suns,St Kilda Saints,total,180.2,162.1,192.5,191.5,-12.30,-11.30,-30.40,-29.40,149.0,+31.20,+13.10
2026,9,2026-05-12,2026-05-09,Greater Western Sydney Giants,Essendon Bombers,h2h,89.5,94.4,85.7,85.7,+3.80,+3.80,+8.70,+8.70,1.0,+88.50,+93.40
2026,9,2026-05-12,2026-05-09,Greater Western Sydney Giants,Essendon Bombers,handicap,-45.2,-42.7,-45.5,-43.5,+0.30,-1.70,+2.80,+0.80,14.0,-59.20,-56.70
2026,9,2026-05-12,2026-05-09,Greater Western Sydney Giants,Essendon Bombers,total,174.3,187.2,190.5,190.5,-16.20,-16.20,-3.30,-3.30,192.0,-17.70,-4.80
2026,9,2026-05-12,2026-05-09,North Melbourne Kangaroos,Sydney Swans,h2h,27.5,29.2,27.0,29.9,+0.50,-2.40,+2.20,-0.70,0.0,+27.50,+29.20
2026,9,2026-05-12,2026-05-09,North Melbourne Kangaroos,Sydney Swans,handicap,-21.6,-4.2,27.5,22.5,-49.10,-44.10,-31.70,-26.70,-8.0,-13.60,+3.80
2026,9,2026-05-12,2026-05-09,North Melbourne Kangaroos,Sydney Swans,total,203.0,182.8,192.5,190.5,+10.50,+12.50,-9.70,-7.70,202.0,+1.00,-19.20
2026,9,2026-05-12,2026-05-10,Melbourne Demons,West Coast Eagles,h2h,89.5,96.6,89.3,90.9,+0.20,-1.40,+7.30,+5.70,1.0,+88.50,+95.60
2026,9,2026-05-12,2026-05-10,Melbourne Demons,West Coast Eagles,handicap,45.2,41.9,,,,,,,32.0,+13.20,+9.90
2026,9,2026-05-12,2026-05-10,Melbourne Demons,West Coast Eagles,total,167.2,192.9,195.5,195.5,-28.30,-28.30,-2.60,-2.60,166.0,+1.20,+26.90
2026,9,2026-05-12,2026-05-10,Richmond Tigers,Adelaide Crows,h2h,7.1,9.5,12.3,11.5,-5.20,-4.40,-2.80,-2.00,0.0,+7.10,+9.50
2026,9,2026-05-12,2026-05-10,Richmond Tigers,Adelaide Crows,handicap,52.9,-22.6,35.5,38.5,+17.40,+14.40,-58.10,-61.10,-37.0,+89.90,+14.40
2026,9,2026-05-12,2026-05-10,Richmond Tigers,Adelaide Crows,total,150.0,165.3,180.5,179.5,-30.50,-29.50,-15.20,-14.20,159.0,-9.00,+6.30
