date,season,home_team,away_team,home_score,away_score,overtime,playoff,neutral,h2h_home_open,h2h_home_close,h2h_away_open,h2h_away_close,spread_home_open,spread_home_close,spread_away_open,spread_away_close,spread_home_odds_open,spread_home_odds_close,spread_away_odds_open,spread_away_odds_close,total_line_open,total_line_close,total_over_open,total_over_close,total_under_open,total_under_close
2026-02-08,2025,NE,SEA,13,29,,Y,Y,2.85,4.7,1.43,1.18,3.5,7.5,-3.5,-7.5,2.0,1.92,1.8,1.82,45.5,29.5,1.84,1.88,2.05,1.85
2026-01-25,2025,SEA,LA,31,27,,Y,,1.71,1.7,2.15,2.15,-1.5,-1.5,1.5,1.5,1.81,1.8,2.0,2.0,47.5,45.5,1.9,1.88,2.05,2.1
2026-01-25,2025,DEN,NE,7,10,,Y,,3.05,2.7,1.38,1.47,4.5,3.5,-4.5,-3.5,1.95,1.91,1.86,1.89,40.5,42.5,1.86,1.82,2.1,2.05
2026-01-18,2025,NE,HOU,28,16,,Y,,1.64,1.54,2.25,2.5,-2.5,-3.5,2.5,3.5,1.83,2.0,1.98,1.8,39.5,40.5,1.81,1.82,2.1,2.15
2026-01-18,2025,CHI,LA,17,20,Y,Y,,2.6,2.7,1.5,1.47,3.5,3.5,-3.5,-3.5,1.91,1.91,1.89,1.89,51.5,48.5,1.97,1.82,2.1,2.1
2026-01-17,2025,DEN,BUF,33,30,Y,Y,,2.05,1.77,1.77,2.1,1.5,-1.5,-1.5,1.5,1.93,1.93,1.88,1.88,45.5,44.5,1.83,1.86,2.1,2.1
2026-01-17,2025,SEA,SF,41,6,,Y,,1.31,1.32,3.5,3.4,-6.5,-6.5,6.5,6.5,1.87,1.82,1.94,1.99,45.5,44.5,1.87,1.95,2.05,2.6
2026-01-12,2025,PIT,HOU,6,30,,Y,,2.5,2.3,1.54,1.62,3.5,8.5,-3.5,-8.5,1.83,1.36,1.98,3.15,38.5,37.5,1.86,1.87,2.05,2.1
2026-01-11,2025,JAX,BUF,24,27,,Y,,2.0,1.79,1.8,2.05,1.5,-1.5,-1.5,1.5,1.88,1.91,1.93,1.89,49.5,51.5,1.82,1.93,2.1,2.05
2026-01-11,2025,PHI,SF,19,23,,Y,,1.56,1.41,2.45,2.95,2.5,-4.5,-2.5,4.5,1.43,1.89,2.85,1.91,45.5,43.5,1.81,1.82,2.1,2.15
