team,injury_burden,players_out,players_questionable,injury_report_rows
ARI,3.28,3,1,7
ATL,8.6,4,1,12
BAL,1.9849999999999999,2,1,5
BUF,0.98,0,3,3
CAR,0.85,1,0,3
CHI,2.17,0,4,6
CIN,0.75,0,0,7
CLE,1.5699999999999998,1,1,4
DAL,0.8,1,0,4
DEN,0.0,0,0,1
DET,0.2975,0,1,8
GB,1.8875,1,3,8
HOU,0.0,0,0,4
IND,0.85,1,0,9
JAX,0.27999999999999997,0,1,4
KC,2.1,2,0,11
LA,1.0,1,0,7
LAC,1.35,1,1,6
LV,1.0,1,0,2
MIA,0.0,0,0,4
MIN,0.0,0,0,5
NE,2.0,2,0,3
NO,2.9299999999999997,3,1,5
NYG,0.385,0,1,6
NYJ,3.45,2,0,7
PHI,1.85,2,0,2
PIT,0.35,0,1,1
SEA,1.5325,1,2,8
SF,1.0125,1,1,11
TB,2.66,0,1,7
TEN,0.85,1,0,2
WAS,0.0,0,0,10
