game_id,gameday,gametime,home_team,away_team,spread_line,total_line
2026_02_DET_BUF,2026-09-17,20:15,BUF,DET,3.0,52.5
2026_02_CAR_ATL,2026-09-20,13:00,ATL,CAR,1.5,43.5
2026_02_NO_BAL,2026-09-20,13:00,BAL,NO,7.5,46.5
2026_02_MIN_CHI,2026-09-20,13:00,CHI,MIN,3.5,45.5
2026_02_CIN_HOU,2026-09-20,13:00,HOU,CIN,2.5,46.5
2026_02_PIT_NE,2026-09-20,13:00,NE,PIT,4.5,43.5
2026_02_GB_NYJ,2026-09-20,13:00,NYJ,GB,-5.5,42.5
2026_02_CLE_TB,2026-09-20,13:00,TB,CLE,5.5,42.5
2026_02_PHI_TEN,2026-09-20,13:00,TEN,PHI,-4.5,42.5
2026_02_JAX_DEN,2026-09-20,16:05,DEN,JAX,2.5,43.5
2026_02_LV_LAC,2026-09-20,16:05,LAC,LV,8.5,42.5
2026_02_SEA_ARI,2026-09-20,16:25,ARI,SEA,-10.0,44.5
2026_02_WAS_DAL,2026-09-20,16:25,DAL,WAS,4.5,51.5
2026_02_MIA_SF,2026-09-20,16:25,SF,MIA,10.5,46.5
2026_02_IND_KC,2026-09-20,20:20,KC,IND,6.5,47.5
2026_02_NYG_LA,2026-09-21,20:15,LA,NYG,8.5,48.5
