match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source_x,source_published_at_utc,Date,home_team,away_team,home_xg,away_xg,xg_source,p_home,p_draw,p_away,engine,season_key,date_key,home_odds,draw_odds,away_odds,closing_status,source_y,source,market_home_prob,market_draw_prob,market_away_prob,model_edge_home,model_edge_draw,model_edge_away,model_pick,market_pick,model_correct,market_correct,max_edge,value_pick,value_win,flat_return
ucl-2012-13-002,2012-13,knockout_phase,,2012-09-18T00:00:00+00:00,date_only,dinamo-zagreb,porto,Dinamo Zagreb (CRO),FC Porto (POR),0,2,openfootball,2012-09-18T00:00:00+00:00,2012-09-18 00:00:00+00:00,dinamo-zagreb,fc-porto,0.0,2.0,goals_fallback,0.0100965174768319,0.030681293847347,0.9592221886758212,shared_xg_dixon_coles,2012-13,2012-09-18,4.1173,3.3388,1.9365,confirmed_archive_closing,BeatTheBookie,,0.2293934151657227,0.2828805284119535,0.4877260564223239,-0.2192968976888908,-0.2521992345646064,0.4714961322534973,2,2,True,True,0.4714961322534973,2,True,0.9365000000000001
ucl-2012-13-014,2012-13,knockout_phase,,2012-09-18T00:00:00+00:00,date_only,montpellier-hsc,arsenal,Montpellier HSC (FRA),Arsenal FC (ENG),1,2,openfootball,2012-09-18T00:00:00+00:00,2012-09-18 00:00:00+00:00,montpellier-hsc,arsenal-fc,1.0,2.0,goals_fallback,0.4971504432643944,0.2625337221036525,0.2403158346319532,shared_xg_dixon_coles,2012-13,2012-09-18,2.9819,3.2362,2.4146,confirmed_archive_closing,BeatTheBookie,,0.3168200461861701,0.2919243853045363,0.3912555685092936,0.1803303970782243,-0.0293906632008837,-0.1509397338773404,0,2,False,True,0.1803303970782243,0,False,-1.0
ucl-2012-13-025,2012-13,knockout_phase,,2012-09-18T00:00:00+00:00,date_only,ac-milan,rsc-anderlecht,AC Milan (ITA),RSC Anderlecht (BEL),0,0,openfootball,2012-09-18T00:00:00+00:00,2012-09-18 00:00:00+00:00,ac-milan,rsc-anderlecht,0.0,0.0,goals_fallback,0.9134678784271204,0.0601234325936337,0.0264086889792457,shared_xg_dixon_coles,2012-13,2012-09-18,1.5677,3.8158,6.3192,confirmed_archive_closing,BeatTheBookie,,0.6027983401596729,0.2476563126653176,0.1495453471750093,0.3106695382674475,-0.1875328800716839,-0.1231366581957636,0,0,False,False,0.3106695382674475,0,False,-1.0
ucl-2012-13-026,2012-13,knockout_phase,,2012-09-18T00:00:00+00:00,date_only,m-laga,zenit-st-petersburg,Málaga CF (ESP),Zenit St. Petersburg (RUS),3,0,openfootball,2012-09-18T00:00:00+00:00,2012-09-18 00:00:00+00:00,m-laga-cf,zenit-st-petersburg,3.0,0.0,goals_fallback,0.6446956348976082,0.2110412039333193,0.1442631611690724,shared_xg_dixon_coles,2012-13,2012-09-18,2.1642,3.3077,3.3962,confirmed_archive_closing,BeatTheBookie,,0.4363890660135849,0.2855256573046529,0.2780852766817621,0.2083065688840232,-0.0744844533713336,-0.1338221155126897,0,0,True,True,0.20830656888402327,0,True,1.1642000000000001
ucl-2012-13-037,2012-13,knockout_phase,,2012-09-18T00:00:00+00:00,date_only,real-madrid,manchester-city,Real Madrid (ESP),Manchester City (ENG),3,2,openfootball,2012-09-18T00:00:00+00:00,2012-09-18 00:00:00+00:00,real-madrid,manchester-city,3.0,2.0,goals_fallback,0.3093630535841734,0.2072533857466259,0.4833835606692004,shared_xg_dixon_coles,2012-13,2012-09-18,1.5473,4.1785,5.8358,confirmed_archive_closing,BeatTheBookie,,0.6114563714842818,0.2264225065448437,0.1621211219708744,-0.3020933179001084,-0.0191691207982177,0.3212624386983259,2,0,False,True,0.32126243869832605,2,False,-1.0
ucl-2012-13-097,2012-13,knockout_phase,,2013-02-12T00:00:00+00:00,date_only,celtic,juventus,Celtic FC (SCO),Juventus (ITA),0,3,openfootball,2013-02-12T00:00:00+00:00,2013-02-12 00:00:00+00:00,celtic-fc,juventus,0.0,3.0,goals_fallback,0.4940989883521178,0.2664108117089271,0.2394901999389549,shared_xg_dixon_coles,2012-13,2013-02-12,4.5563,3.4807,1.8389,confirmed_archive_closing,BeatTheBookie,,0.2089100315080223,0.2734670544890401,0.5176229140029377,0.2851889568440955,-0.0070562427801129,-0.2781327140639827,0,2,False,True,0.2851889568440955,0,False,-1.0
ucl-2012-13-098,2012-13,knockout_phase,,2013-02-12T00:00:00+00:00,date_only,valencia,paris-saint-germain,Valencia CF (ESP),Paris Saint-Germain (FRA),1,2,openfootball,2013-02-12T00:00:00+00:00,2013-02-12 00:00:00+00:00,valencia-cf,paris-saint-germain,1.0,2.0,goals_fallback,0.8120599150702379,0.1283571955808562,0.0595828893489061,shared_xg_dixon_coles,2012-13,2013-02-12,2.4311,3.2378,3.0089,confirmed_archive_closing,BeatTheBookie,,0.3908052845740608,0.2934358908295754,0.3157588245963638,0.4212546304961771,-0.1650786952487191,-0.2561759352474577,0,0,False,False,0.4212546304961771,0,False,-1.0
ucl-2013-14-001,2013-14,knockout_phase,,2013-09-17T00:00:00+00:00,date_only,manchester-united,bayer-leverkusen,Manchester United (ENG),Bayer Leverkusen (GER),4,2,openfootball,2013-09-17T00:00:00+00:00,2013-09-17 00:00:00+00:00,manchester-united,bayer-leverkusen,4.0,2.0,goals_fallback,0.8162700137292461,0.1261709971901249,0.0575589890806287,shared_xg_dixon_coles,2013-14,2013-09-17,1.8208,3.528,4.58,confirmed_archive_closing,BeatTheBookie,,0.5225604068011865,0.2696933074556691,0.2077462857431442,0.2937096069280596,-0.1435223102655442,-0.1501872966625155,0,0,True,True,0.2937096069280596,0,True,0.8208
ucl-2013-14-013,2013-14,knockout_phase,,2013-09-17T00:00:00+00:00,date_only,galatasaray,real-madrid,Galatasaray (TUR),Real Madrid (ESP),1,6,openfootball,2013-09-17T00:00:00+00:00,2013-09-17 00:00:00+00:00,galatasaray,real-madrid,1.0,6.0,goals_fallback,0.3007464179564864,0.2432358531946095,0.456017728848904,shared_xg_dixon_coles,2013-14,2013-09-17,5.0596,3.8726,1.6893,confirmed_archive_closing,BeatTheBookie,,0.1886223331950509,0.2464374211211278,0.5649402456838214,0.1121240847614354,-0.0032015679265183,-0.1089225168349173,2,2,True,True,0.11212408476143548,0,False,-1.0
ucl-2013-14-025,2013-14,knockout_phase,,2013-09-17T00:00:00+00:00,date_only,olympiakos,paris-saint-germain,Olympiakos Piraeus (GRE),Paris Saint-Germain (FRA),1,4,openfootball,2013-09-17T00:00:00+00:00,2013-09-17 00:00:00+00:00,olympiakos-piraeus,paris-saint-germain,1.0,4.0,goals_fallback,0.603771774743629,0.2173356009927196,0.1788926242636514,shared_xg_dixon_coles,2013-14,2013-09-17,3.4363,3.2704,2.2007,confirmed_archive_closing,BeatTheBookie,,0.276840713663095,0.2908842173313642,0.4322750690055408,0.3269310610805339,-0.0735486163386446,-0.2533824447418894,0,2,False,True,0.326931061080534,0,False,-1.0
