season,club_id,final_position,qualification_bucket,format,rules_version
2024-25,liverpool-fc,1,top8,single_league_phase,ucl-2026-27-regulations-v1
2024-25,fc-barcelona,2,top8,single_league_phase,ucl-2026-27-regulations-v1
2024-25,arsenal-fc,3,top8,single_league_phase,ucl-2026-27-regulations-v1
2024-25,fc-internazionale-milano,4,top8,single_league_phase,ucl-2026-27-regulations-v1
2024-25,club-atl-tico-de-madrid,5,top8,single_league_phase,ucl-2026-27-regulations-v1
2024-25,bayer-04-leverkusen,6,top8,single_league_phase,ucl-2026-27-regulations-v1
2024-25,lille-osc,7,top8,single_league_phase,ucl-2026-27-regulations-v1
2024-25,aston-villa-fc,8,top8,single_league_phase,ucl-2026-27-regulations-v1
2024-25,atalanta-bc,9,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,borussia-dortmund,10,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,real-madrid-cf,11,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,fc-bayern-m-nchen,12,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,ac-milan,13,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,psv,14,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,paris-saint-germain-fc,15,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,sport-lisboa-e-benfica,16,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,as-monaco-fc,17,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,stade-brestois-29,18,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,feyenoord-rotterdam,19,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,juventus-fc,20,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,celtic-fc,21,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,manchester-city-fc,22,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,sporting-clube-de-portugal,23,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,club-brugge-kv,24,playoff9_24,single_league_phase,ucl-2026-27-regulations-v1
2024-25,gnk-dinamo-zagreb,25,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,vfb-stuttgart,26,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,fk-shakhtar-donetsk,27,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,bologna-fc-1909,28,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,fk-crvena-zvezda,29,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,sk-sturm-graz,30,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,ac-sparta-praha,31,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,rb-leipzig,32,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,girona-fc,33,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,fc-red-bull-salzburg,34,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,k-slovan-bratislava,35,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2024-25,bsc-young-boys,36,eliminated25_36,single_league_phase,ucl-2026-27-regulations-v1
2025-26,arsenal-fc,1,top8,single_league_phase,ucl-2026-27-regulations-v1
2025-26,fc-bayern-m-nchen,2,top8,single_league_phase,ucl-2026-27-regulations-v1
2025-26,liverpool-fc,3,top8,single_league_phase,ucl-2026-27-regulations-v1
2025-26,tottenham-hotspur-fc,4,top8,single_league_phase,ucl-2026-27-regulations-v1
2025-26,fc-barcelona,5,top8,single_league_phase,ucl-2026-27-regulations-v1
2025-26,chelsea-fc,6,top8,single_league_phase,ucl-2026-27-regulations-v1
2025-26,sporting-clube-de-portugal,7,top8,single_league_phase,ucl-2026-27-regulations-v1
