season,club_id,top8_probability,top24_probability,expected_position,top8_actual,top24_actual,simulations
2024-25,ac-milan,0.1985,0.6805,18.4105,0,1,2000
2024-25,ac-sparta-praha,0.16,0.6175,20.268,0,0,2000
2024-25,arsenal-fc,0.418,0.857,12.78,1,1,2000
2024-25,as-monaco-fc,0.172,0.6755,19.1385,0,1,2000
2024-25,aston-villa-fc,0.2895,0.7735,15.867,1,1,2000
2024-25,atalanta-bc,0.2085,0.6985,18.118,0,1,2000
2024-25,bayer-04-leverkusen,0.193,0.6725,18.811,1,1,2000
2024-25,bologna-fc-1909,0.0995,0.5145,22.651,0,0,2000
2024-25,borussia-dortmund,0.4215,0.8725,12.4545,0,1,2000
2024-25,bsc-young-boys,0.0585,0.4225,24.8525,0,0,2000
2024-25,celtic-fc,0.052,0.3635,25.836,0,1,2000
2024-25,club-atl-tico-de-madrid,0.339,0.813,14.3125,1,1,2000
2024-25,club-brugge-kv,0.105,0.5105,22.8025,0,1,2000
2024-25,fc-barcelona,0.682,0.969,7.3055,1,1,2000
2024-25,fc-bayern-m-nchen,0.33,0.8105,14.746,0,1,2000
2024-25,fc-internazionale-milano,0.2965,0.7935,15.4345,1,1,2000
2024-25,fc-red-bull-salzburg,0.081,0.477,23.7515,0,0,2000
2024-25,feyenoord-rotterdam,0.1565,0.613,20.2605,0,1,2000
2024-25,fk-crvena-zvezda,0.074,0.428,24.395,0,0,2000
2024-25,fk-shakhtar-donetsk,0.1475,0.62,20.156,0,0,2000
2024-25,girona-fc,0.108,0.5295,22.2135,0,0,2000
2024-25,gnk-dinamo-zagreb,0.1585,0.647,19.6765,0,0,2000
2024-25,juventus-fc,0.243,0.715,17.5425,0,1,2000
2024-25,k-slovan-bratislava,0.1095,0.5555,21.8805,0,0,2000
2024-25,lille-osc,0.067,0.4445,24.3645,1,1,2000
2024-25,liverpool-fc,0.683,0.974,7.1055,1,1,2000
2024-25,manchester-city-fc,0.376,0.8395,13.5505,0,1,2000
2024-25,paris-saint-germain-fc,0.191,0.682,18.741,0,1,2000
2024-25,psv,0.172,0.6395,19.604,0,1,2000
2024-25,rb-leipzig,0.207,0.718,17.741,0,0,2000
2024-25,real-madrid-cf,0.364,0.857,13.3845,0,1,2000
2024-25,sk-sturm-graz,0.1335,0.5945,20.855,0,0,2000
2024-25,sport-lisboa-e-benfica,0.1145,0.546,21.883,0,1,2000
2024-25,sporting-clube-de-portugal,0.223,0.72,17.662,0,1,2000
2024-25,stade-brestois-29,0.1665,0.653,19.361,0,1,2000
2024-25,vfb-stuttgart,0.201,0.7025,18.084,0,0,2000
2025-26,afc-ajax,0.2135,0.7275,17.566,0,0,2000
2025-26,arsenal-fc,0.5275,0.922,10.259,1,1,2000
2025-26,as-monaco-fc,0.157,0.613,20.316,0,1,2000
2025-26,atalanta-bc,0.1935,0.7025,18.283,0,1,2000
2025-26,athletic-club,0.083,0.4935,23.245,0,0,2000
2025-26,bayer-04-leverkusen,0.203,0.7085,18.1045,0,1,2000
2025-26,borussia-dortmund,0.486,0.92,10.7815,0,1,2000
2025-26,chelsea-fc,0.5435,0.9175,10.0575,1,1,2000
2025-26,club-atl-tico-de-madrid,0.1945,0.7015,18.384,0,1,2000
2025-26,club-brugge-kv,0.0535,0.447,24.513,0,1,2000
2025-26,eintracht-frankfurt,0.071,0.456,24.105,0,0,2000
2025-26,fc-barcelona,0.657,0.9695,7.6225,1,1,2000
2025-26,fc-bayern-m-nchen,0.291,0.8005,15.1555,1,1,2000
2025-26,fc-internazionale-milano,0.2965,0.8055,15.1095,0,1,2000
2025-26,fc-k-benhavn,0.0675,0.4175,24.801,0,0,2000
2025-26,fk-bod-glimt,0.1115,0.5625,21.746,0,1,2000
2025-26,fk-kairat,0.098,0.531,22.4635,0,0,2000
2025-26,galatasaray-sk,0.1005,0.5365,22.2525,0,1,2000
2025-26,juventus-fc,0.158,0.6525,19.346,0,1,2000
2025-26,liverpool-fc,0.633,0.9535,8.3005,1,1,2000
2025-26,manchester-city-fc,0.243,0.755,16.7055,1,1,2000
2025-26,newcastle-united-fc,0.1075,0.5795,21.396,0,1,2000
2025-26,olympique-de-marseille,0.1155,0.573,21.501,0,0,2000
2025-26,pae-olympiakos-sfp,0.0855,0.516,22.929,0,1,2000
2025-26,paphos-fc,0.128,0.632,20.438,0,0,2000
2025-26,paris-saint-germain-fc,0.3415,0.836,14.0795,0,1,2000
2025-26,psv,0.134,0.6075,20.631,0,0,2000
2025-26,qaraba-a-dam-fk,0.127,0.5955,20.919,0,1,2000
2025-26,real-madrid-cf,0.5005,0.911,10.7465,0,1,2000
2025-26,royale-union-saint-gilloise,0.1205,0.5305,22.1425,0,0,2000
2025-26,sk-slavia-praha,0.076,0.4975,23.335,0,0,2000
2025-26,sport-lisboa-e-benfica,0.079,0.4615,23.729,0,1,2000
2025-26,sporting-clube-de-portugal,0.1285,0.603,20.72,1,1,2000
2025-26,ssc-napoli,0.36,0.8275,14.068,0,0,2000
2025-26,tottenham-hotspur-fc,0.211,0.6965,18.103,1,1,2000
2025-26,villarreal-cf,0.1035,0.54,22.1455,0,0,2000
