odds_club_id,candidate_rank,model_club_id,similarity,manual_decision
aalborg,1,rb-salzburg,0.5556,
aalborg,2,nk-maribor,0.4706,
aalborg,3,trabzonspor,0.4444,
ac-milan,1,ac-milan,1.0,
ac-milan,2,fc-midtjylland,0.6364,
ac-milan,3,as-roma,0.5333,
aek-athens-fc,1,aek-athen,0.9474,
aek-athens-fc,2,fk-astana,0.5263,
aek-athens-fc,3,stade-rennais,0.5217,
aik-swe,1,austria-wien,0.5263,
aik-swe,2,aek-athen,0.5,
aik-swe,3,arsenal-fc,0.4286,
ajax,1,afc-ajax,0.6667,
ajax,2,m-laga-cf,0.4,
ajax,3,as-roma,0.3636,
ajax-ned,1,afc-ajax,0.6667,
ajax-ned,2,m-laga-cf,0.4,
ajax-ned,3,as-roma,0.3636,
aktobe,1,aek-athen,0.5333,
aktobe,2,shakhtar-donetsk,0.4545,
aktobe,3,viktoria-plze,0.4211,
alashkert-arm,1,galatasaray,0.5,
alashkert-arm,2,atalanta-bc,0.4762,
alashkert-arm,3,atalanta,0.4762,
anderlecht,1,rsc-anderlecht,0.8333,
anderlecht,2,manchester-city-fc,0.48,
anderlecht,3,manchester-city,0.48,
anorthosis,1,fc-porto,0.5333,
anorthosis,2,paphos-fc,0.5,
anorthosis,3,rangers-fc,0.4706,
apoel,1,apoel-nikosia,0.5556,
apoel,2,paphos-fc,0.5455,
apoel,3,ssc-napoli,0.5333,
apoel-cyp,1,apoel-nikosia,0.5556,
apoel-cyp,2,paphos-fc,0.5455,
apoel-cyp,3,ssc-napoli,0.5333,
ararat-armenia-arm,1,paris-saint-germain-fc,0.4324,
ararat-armenia-arm,2,paris-saint-germain,0.4324,
ararat-armenia-arm,3,qaraba-a-dam-fk,0.4242,
arsenal,1,arsenal-fc,1.0,
arsenal,2,villarreal-cf,0.5882,
arsenal,3,valencia-cf,0.5333,
arsenal-eng,1,arsenal-fc,1.0,
arsenal-eng,2,villarreal-cf,0.5882,
arsenal-eng,3,valencia-cf,0.5333,
as-roma,1,as-roma,1.0,
as-roma,2,lazio-roma,0.7059,
as-roma,3,as-monaco-fc,0.625,
aston-villa,1,aston-villa-fc,1.0,
aston-villa,2,sevilla-fc,0.6667,
aston-villa,3,ac-milan,0.5263,
atalanta,1,atalanta-bc,1.0,
atalanta,2,atalanta,1.0,
atalanta,3,galatasaray,0.5263,
ath-bilbao,1,athletic-club,1.0,
ath-bilbao,2,atl-tico-madrid,0.5,
ath-bilbao,3,cfr-cluj,0.4762,
ath-bilbao-esp,1,athletic-club,1.0,
ath-bilbao-esp,2,atl-tico-madrid,0.5,
ath-bilbao-esp,3,cfr-cluj,0.4762,
atl-madrid,1,atl-tico-madrid,0.9333,
atl-madrid,2,club-atl-tico-de-madrid,0.7368,
atl-madrid,3,real-madrid-cf,0.6923,
austria-vienna,1,austria-wien,0.8462,
austria-vienna,2,aston-villa-fc,0.56,
austria-vienna,3,fk-astana,0.5217,
auxerre,1,villarreal-cf,0.4706,
auxerre,2,bayer-leverkusen,0.4348,
auxerre,3,rangers-fc,0.4286,
az-alkmaar-ned,1,atalanta-bc,0.5556,
az-alkmaar-ned,2,atalanta,0.5556,
az-alkmaar-ned,3,lazio-roma,0.5,
b-monchengladbach,1,bor-m-nchengladbach,0.8889,
b-monchengladbach,2,bayern-m-nchen,0.5161,
b-monchengladbach,3,fc-bayern-m-nchen,0.4706,
b36-torshavn,1,bate-borisov,0.5,
b36-torshavn,2,fc-nordsj-lland,0.4444,
b36-torshavn,3,be-ikta,0.4211,
barcelona,1,fc-barcelona,0.8571,
barcelona,2,arsenal-fc,0.625,
barcelona,3,girona-fc,0.5333,
basaksehir,1,i-stanbul-ba-ak-ehir,0.5333,
basaksehir,2,bayer-leverkusen,0.3846,
basaksehir,3,rb-salzburg,0.381,
basel,1,arsenal-fc,0.6667,
basel,2,fc-basel-1893,0.5556,
basel,3,sevilla-fc,0.5,
basel-sui,1,arsenal-fc,0.6667,
basel-sui,2,fc-basel-1893,0.5556,
basel-sui,3,sevilla-fc,0.5,
bate,1,bate-borisov,0.5,
bate,2,aek-athen,0.4615,
bate,3,fc-barcelona,0.375,
bate-blr,1,bate-borisov,0.7,
bate-blr,2,bayer-leverkusen,0.5,
bate-blr,3,athletic-club,0.4762,
bayer-leverkusen,1,bayer-leverkusen,1.0,
bayer-leverkusen,2,bayer-04-leverkusen,0.9143,
bayer-leverkusen,3,bayern-m-nchen,0.5333,
bayer-leverkusen-ger,1,bayer-leverkusen,1.0,
bayer-leverkusen-ger,2,bayer-04-leverkusen,0.9143,
bayer-leverkusen-ger,3,bayern-m-nchen,0.5333,
bayern-munich,1,bayern-m-nchen,0.8148,
bayern-munich,2,fc-bayern-m-nchen,0.7333,
bayern-munich,3,manchester-united-fc,0.4667,
beitar-jerusalem,1,bayer-leverkusen,0.5625,
beitar-jerusalem,2,bayer-04-leverkusen,0.5143,
beitar-jerusalem,3,inter,0.4667,
benfica,1,sl-benfica,0.8235,
benfica,2,be-ikta,0.5714,
benfica,3,valencia-cf,0.5333,
benfica-por,1,sl-benfica,0.8235,
benfica-por,2,be-ikta,0.5714,
benfica-por,3,valencia-cf,0.5333,
besiktas,1,be-ikta,0.8,
besiktas,2,sl-benfica,0.4444,
besiktas,3,cska-moskva,0.4211,
besiktas-tur,1,be-ikta,0.8,
besiktas-tur,2,sl-benfica,0.4444,
besiktas-tur,3,cska-moskva,0.4211,
betis,1,celtic-fc,0.5455,
betis,2,be-ikta,0.5,
betis,3,bate-borisov,0.4706,
birkirkara,1,be-ikta,0.4706,
birkirkara,2,villarreal-cf,0.4,
birkirkara,3,girona-fc,0.375,
bodo-glimt-nor,1,fk-bod-glimt,0.8182,
bodo-glimt-nor,2,be-ikta,0.4706,
bodo-glimt-nor,3,o-elul-gala-i,0.4348,
bolnisi,1,apoel-nikosia,0.6,
bolnisi,2,rb-leipzig,0.4706,
bolnisi,3,trabzonspor,0.4444,
bologna,1,bologna-fc-1909,0.6364,
bologna,2,fc-barcelona,0.5263,
bologna,3,m-laga-cf,0.4615,
borac-banja-luka-bih,1,ac-sparta-praha,0.4571,
borac-banja-luka-bih,2,fc-bayern-m-nchen,0.4324,
borac-banja-luka-bih,3,afc-ajax,0.4286,
bordeaux,1,borussia-dortmund,0.4,
bordeaux,2,be-ikta,0.4,
bordeaux,3,arsenal-fc,0.4,
braga,1,m-laga-cf,0.5455,
braga,2,sporting-braga,0.5263,
braga,3,rangers-fc,0.5,
brann,1,rangers-fc,0.5,
brann,2,bayern-m-nchen,0.4211,
brann,3,trabzonspor,0.375,
brest,1,rangers-fc,0.5,
brest,2,be-ikta,0.5,
brest,3,stade-brestois-29,0.4545,
brondby,1,bsc-young-boys,0.4762,
brondby,2,girona-fc,0.4615,
brondby,3,fc-barcelona,0.4211,
brondby-den,1,bsc-young-boys,0.4762,
brondby-den,2,girona-fc,0.4615,
brondby-den,3,fc-barcelona,0.4211,
buducnost,1,bsc-young-boys,0.4348,
buducnost,2,borussia-dortmund,0.3846,
buducnost,3,juventus-fc,0.3529,
buducnost-mne,1,bayern-m-nchen,0.4444,
buducnost-mne,2,fc-nordsj-lland,0.4286,
buducnost-mne,3,dinamo-kiev,0.4167,
bursaspor,1,trabzonspor,0.5,
bursaspor,2,fk-krasnodar,0.4762,
bursaspor,3,sporting-cp,0.4706,
celje-slo,1,chelsea-fc,0.5,
celje-slo,2,real-sociedad,0.4545,
celje-slo,3,lille-osc,0.4444,
celta-vigo,1,celtic-fc,0.625,
celta-vigo,2,chelsea-fc,0.4706,
celta-vigo,3,maccabi-tel-aviv,0.4615,
celtic,1,celtic-fc,1.0,
celtic,2,chelsea-fc,0.4615,
celtic,3,athletic-club,0.4211,
celtic-sco,1,celtic-fc,1.0,
celtic-sco,2,chelsea-fc,0.4615,
celtic-sco,3,athletic-club,0.4211,
cfr-cluj,1,cfr-cluj,1.0,
cfr-cluj,2,athletic-club,0.4762,
cfr-cluj,3,rb-salzburg,0.4211,
cfr-cluj-rou,1,cfr-cluj,1.0,
cfr-cluj-rou,2,athletic-club,0.4762,
cfr-cluj-rou,3,rb-salzburg,0.4211,
chelsea,1,chelsea-fc,1.0,
chelsea,2,celtic-fc,0.4615,
chelsea,3,manchester-city-fc,0.4545,
chievo,1,chelsea-fc,0.4615,
chievo,2,liverpool-fc,0.4,
chievo,3,fc-sheriff,0.375,
club-brugge-kv,1,club-brugge-kv,1.0,
club-brugge-kv,2,krc-genk,0.4545,
club-brugge-kv,3,sporting-clube-de-braga,0.4324,
club-brugge-kv-bel,1,club-brugge-kv,1.0,
club-brugge-kv-bel,2,krc-genk,0.4545,
club-brugge-kv-bel,3,sporting-clube-de-braga,0.4324,
connahs-q-wal,1,girona-fc,0.4,
connahs-q-wal,2,tottenham-hotspur-fc,0.3846,
connahs-q-wal,3,tottenham-hotspur,0.3846,
cork-city,1,leicester-city,0.6087,
cork-city,2,manchester-city-fc,0.5833,
cork-city,3,manchester-city,0.5833,
crvena-zvezda,1,crvena-zvezda,1.0,
crvena-zvezda,2,fk-crvena-zvezda,0.8966,
crvena-zvezda,3,real-madrid-cf,0.4167,
crvena-zvezda-srb,1,crvena-zvezda,1.0,
crvena-zvezda-srb,2,fk-crvena-zvezda,0.8966,
crvena-zvezda-srb,3,real-madrid-cf,0.4167,
cska-moscow,1,cska-moskva,0.7273,
cska-moscow,2,as-monaco-fc,0.6,
cska-moscow,3,as-monaco,0.6,
cska-moscow-rus,1,cska-moskva,0.7273,
cska-moscow-rus,2,as-monaco-fc,0.6,
cska-moscow-rus,3,as-monaco,0.6,
d-zagreb,1,dinamo-zagreb,1.0,
d-zagreb,2,gnk-dinamo-zagreb,0.8667,
d-zagreb,3,dinamo-kiev,0.6667,
d-zagreb-cro,1,dinamo-zagreb,1.0,
d-zagreb-cro,2,gnk-dinamo-zagreb,0.8667,
d-zagreb-cro,3,dinamo-kiev,0.6667,
debrecen,1,krc-genk,0.5,
debrecen,2,fc-barcelona,0.5,
debrecen,3,stade-rennais,0.4762,
dep-la-coruna,1,sporting-clube-de-portugal,0.4889,
dep-la-coruna,2,sport-lisboa-e-benfica,0.4878,
dep-la-coruna,3,sporting-braga,0.4848,
din-bucuresti,1,fc-steaua-bucure-ti,0.5625,
din-bucuresti,2,stade-brestois-29,0.5333,
din-bucuresti,3,dinamo-zagreb,0.4615,
dinamo-tbilisi,1,dinamo-kiev,0.64,
dinamo-tbilisi,2,dinamo-zagreb,0.5926,
dinamo-tbilisi,3,gnk-dinamo-zagreb,0.5161,
dinamo-tbilisi-geo,1,dinamo-kiev,0.6207,
dinamo-tbilisi-geo,2,dinamo-zagreb,0.5161,
dinamo-tbilisi-geo,3,gnk-dinamo-zagreb,0.4571,
dinamo-tirana,1,dinamo-kiev,0.6667,
dinamo-tirana,2,dinamo-zagreb,0.6154,
dinamo-tirana,3,gnk-dinamo-zagreb,0.5333,
djurgarden,1,arsenal-fc,0.4706,
djurgarden,2,austria-wien,0.4545,
djurgarden,3,krc-genk,0.4444,
djurgarden-swe,1,juventus-fc,0.4545,
djurgarden-swe,2,juventus,0.4545,
djurgarden-swe,3,austria-wien,0.3846,
domzale,1,dinamo-zagreb,0.5,
domzale,2,malm-ff,0.4286,
domzale,3,as-roma,0.4286,
dortmund,1,borussia-dortmund,1.0,
dortmund,2,austria-wien,0.4138,
dortmund,3,sporting-cp,0.4,
drita-kos,1,spartak-moskva,0.5217,
drita-kos,2,dinamo-kiev,0.5,
drita-kos,3,qaraba-fk,0.4444,
drogheda,1,real-sociedad,0.4762,
drogheda,2,feyenoord-rotterdam,0.4444,
drogheda,3,girona-fc,0.4286,
dudelange,1,rangers-fc,0.5,
dudelange,2,m-laga-cf,0.4,
dudelange,3,sevilla-fc,0.375,
dudelange-lux,1,rangers-fc,0.4,
dudelange-lux,2,juventus-fc,0.381,
dudelange-lux,3,juventus,0.381,
dundalk-irl,1,dinamo-kiev,0.4444,
dundalk-irl,2,arsenal-fc,0.4286,
dundalk-irl,3,ssc-napoli,0.3529,
dyn-kyiv,1,dinamo-kiev,1.0,
dyn-kyiv,2,dinamo-zagreb,0.6667,
dyn-kyiv,3,gnk-dinamo-zagreb,0.5714,
dyn-kyiv-ukr,1,dinamo-kiev,1.0,
dyn-kyiv-ukr,2,dinamo-zagreb,0.6667,
dyn-kyiv-ukr,3,gnk-dinamo-zagreb,0.5714,
dynamo-brest-blr,1,dinamo-zagreb,0.6207,
dynamo-brest-blr,2,gnk-dinamo-zagreb,0.5455,
dynamo-brest-blr,3,dinamo-kiev,0.5185,
eintracht-frankfurt,1,eintracht-frankfurt,1.0,
eintracht-frankfurt,2,manchester-united-fc,0.3889,
eintracht-frankfurt,3,manchester-united,0.3889,
ekranas,1,rangers-fc,0.5714,
ekranas,2,fk-krasnodar,0.5263,
ekranas,3,stade-rennais,0.5,
elfsborg,1,vfl-wolfsburg,0.5714,
elfsborg,2,sporting-cp,0.5,
elfsborg,3,fc-red-bull-salzburg,0.4286,
europa-fc-gib,1,bologna-fc-1909,0.4286,
europa-fc-gib,2,austria-wien,0.4,
europa-fc-gib,3,1-fc-union-berlin,0.4,
everton,1,liverpool-fc,0.5,
everton,2,fc-porto,0.5,
everton,3,girona-fc,0.4615,
fbk-kaunas,1,fk-kairat,0.6316,
fbk-kaunas,2,fk-astana,0.6316,
fbk-kaunas,3,fk-krasnodar,0.5455,
fc-astana-kaz,1,fk-astana,0.8889,
fc-astana-kaz,2,atalanta-bc,0.5882,
fc-astana-kaz,3,atalanta,0.5882,
fc-copenhagen,1,fc-k-benhavn,0.64,
fc-copenhagen,2,fc-barcelona,0.56,
fc-copenhagen,3,fc-schalke-04,0.5385,
fc-copenhagen-den,1,fc-k-benhavn,0.64,
fc-copenhagen-den,2,fc-barcelona,0.56,
fc-copenhagen-den,3,fc-schalke-04,0.5385,
fc-porto,1,fc-porto,1.0,
fc-porto,2,sporting-cp,0.6154,
fc-porto,3,liverpool-fc,0.4286,
fc-santa-coloma,1,fc-barcelona,0.5926,
fc-santa-coloma,2,ac-sparta-praha,0.5333,
fc-santa-coloma,3,fk-astana,0.5,
fc-santa-coloma-and,1,fc-nordsj-lland,0.5294,
fc-santa-coloma-and,2,ac-sparta-praha,0.5294,
fc-santa-coloma-and,3,fc-barcelona,0.5161,
