club_id,season,as_of_utc,attack,defence,league_adjustment,uefa_prior,matches,source,source_published_at_utc,external_uefa_prior_available,external_domestic_strength_available
1-fc-union-berlin,all-history,2026-09-03T00:00:00Z,-0.43363598507486073,0.0183491386681964,0.0,0.3333333333333333,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
1899-hoffenheim,all-history,2026-09-03T00:00:00Z,0.10536051565782614,0.32850406697203605,0.0,0.5,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
ac-milan,all-history,2026-09-03T00:00:00Z,-0.09650563720909862,-0.09650563720909862,0.0,1.3166666666666667,60,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
ac-sparta-praha,all-history,2026-09-03T00:00:00Z,-0.5232481437645479,0.4883527679139322,0.0,0.5,8,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
aek-athen,all-history,2026-09-03T00:00:00Z,-1.2809338454620645,0.2595111954850846,0.0,0.0,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
afc-ajax,all-history,2026-09-03T00:00:00Z,0.1237096543260227,0.14172815982870104,0.0,1.3571428571428572,70,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
apoel-nikosia,all-history,2026-09-03T00:00:00Z,-0.7055697005585027,0.3930425881096072,0.0,0.6818181818181818,22,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
arsenal-fc,all-history,2026-09-03T00:00:00Z,0.3411577527405955,-0.163768148898207,0.0,1.8505747126436782,87,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
as-monaco,all-history,2026-09-03T00:00:00Z,-0.24603737118006233,0.14172815982870104,0.0,1.1176470588235294,34,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
as-monaco-fc,all-history,2026-09-03T00:00:00Z,-0.023851215822180024,0.21977086683557043,0.0,1.25,20,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
as-roma,all-history,2026-09-03T00:00:00Z,0.1237096543260227,0.30603121111997733,0.0,1.2647058823529411,34,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
aston-villa-fc,all-history,2026-09-03T00:00:00Z,0.23889190828234888,-0.37421256460406,0.0,2.0833333333333335,12,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
atalanta,all-history,2026-09-03T00:00:00Z,0.19459164938576878,0.26520921659972224,0.0,1.3043478260869565,23,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
atalanta-bc,all-history,2026-09-03T00:00:00Z,0.18540322333136275,0.0771896386911299,0.0,1.4090909090909092,22,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
athletic-club,all-history,2026-09-03T00:00:00Z,-0.3646431135879093,-0.028170876966696335,0.0,1.0714285714285714,14,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
atl-tico-madrid,all-history,2026-09-03T00:00:00Z,0.0378393147823309,-0.289848092283149,0.0,1.694736842105263,95,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
austria-wien,all-history,2026-09-03T00:00:00Z,-0.5877866649021192,0.0183491386681964,0.0,0.8333333333333334,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
bate-borisov,all-history,2026-09-03T00:00:00Z,-0.6137621513053798,0.6314536115546053,0.0,0.6666666666666666,24,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
bayer-04-leverkusen,all-history,2026-09-03T00:00:00Z,-0.012422519998557322,-0.07696104113612844,0.0,1.5,22,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
bayer-leverkusen,all-history,2026-09-03T00:00:00Z,-0.10821358464023284,0.11809954143525599,0.0,1.22,50,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
bayern-m-nchen,all-history,2026-09-03T00:00:00Z,0.6265031063947493,-0.36119228443017626,0.0,2.2406015037593985,133,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
be-ikta,all-history,2026-09-03T00:00:00Z,-0.1722712209404531,0.4590005559014046,0.0,1.05,20,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
bologna-fc-1909,all-history,2026-09-03T00:00:00Z,-0.9932517730102834,-0.30010459245033816,0.0,0.75,8,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
bor-m-nchengladbach,all-history,2026-09-03T00:00:00Z,0.010050335853501286,0.2464391139177318,0.0,0.9,20,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
borussia-dortmund,all-history,2026-09-03T00:00:00Z,0.2508154885175307,-0.0067567824628798736,0.0,1.5923076923076922,130,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
bsc-young-boys,all-history,2026-09-03T00:00:00Z,-0.5412666492672262,0.49482528241954954,0.0,0.5,26,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
celtic-fc,all-history,2026-09-03T00:00:00Z,-0.3619799961684257,0.4792202843506596,0.0,0.7916666666666666,48,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
cfr-cluj,all-history,2026-09-03T00:00:00Z,-0.07696104113612844,-0.30010459245033816,0.0,1.6666666666666667,6,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
chelsea-fc,all-history,2026-09-03T00:00:00Z,0.33097015946722946,-0.22006188477680177,0.0,1.820754716981132,106,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
club-atl-tico-de-madrid,all-history,2026-09-03T00:00:00Z,0.48114985561987395,0.17318311199658742,0.0,1.7222222222222223,36,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
club-brugge-kv,all-history,2026-09-03T00:00:00Z,-0.22254635810446366,0.3263512136109349,0.0,1.0,60,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
crvena-zvezda,all-history,2026-09-03T00:00:00Z,-0.7419373447293772,0.6984242376607891,0.0,0.5833333333333334,12,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
cska-moskva,all-history,2026-09-03T00:00:00Z,-0.17750227035800592,0.2900946188571648,0.0,0.9090909090909091,44,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
dinamo-kiev,all-history,2026-09-03T00:00:00Z,-0.4591692870800255,0.04473589384139152,0.0,0.84375,32,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
dinamo-zagreb,all-history,2026-09-03T00:00:00Z,-0.8466482988184081,0.562118918153541,0.0,0.3611111111111111,36,ucl_observed_provisional,2026-09-03T00:00:00Z,False,False
