date,home_slug,away_slug,score,home_odds,draw_odds,away_odds
31.05.2025,PSG,Inter,5:0,2.10,3.50,3.57
07.05.2025,PSG,Arsenal,2:1,2.32,3.51,3.06
06.05.2025,Inter,Barcelona,4:3,2.57,3.70,2.58
30.04.2025,Barcelona,Inter,3:3,1.71,4.12,4.65
29.04.2025,Arsenal,PSG,0:1,2.16,3.46,3.40
16.04.2025,Inter,Bayern Munich,2:2,2.67,3.75,2.48
16.04.2025,Real Madrid,Arsenal,1:2,1.78,4.07,4.23
15.04.2025,Aston Villa,PSG,3:2,3.26,3.83,2.12
15.04.2025,Dortmund,Barcelona,3:1,3.40,4.13,1.98
09.04.2025,Barcelona,Dortmund,4:0,1.33,5.83,8.22
09.04.2025,PSG,Aston Villa,3:1,1.51,4.52,6.12
08.04.2025,Arsenal,Real Madrid,3:0,2.11,3.54,3.47
08.04.2025,Bayern Munich,Inter,1:2,1.92,3.62,4.07
12.03.2025,Arsenal,PSV,2:2,1.51,4.43,6.31
12.03.2025,Aston Villa,Club Brugge KV,3:0,1.76,3.97,4.49
12.03.2025,Atl. Madrid,Real Madrid,1:1,2.72,3.48,2.57
12.03.2025,Lille,Dortmund,1:2,2.69,3.32,2.68
11.03.2025,Barcelona,Benfica,3:1,1.45,5.24,6.12
11.03.2025,Bayer Leverkusen,Bayern Munich,0:2,2.86,3.69,2.37
11.03.2025,Inter,Feyenoord,2:1,1.35,5.19,8.86
11.03.2025,Liverpool,PSG,0:2,2.30,3.94,2.81
05.03.2025,Bayern Munich,Bayer Leverkusen,3:0,1.75,3.82,4.71
05.03.2025,Benfica,Barcelona,0:1,3.87,4.20,1.81
05.03.2025,Feyenoord,Inter,0:2,5.80,4.02,1.60
05.03.2025,PSG,Liverpool,0:1,2.44,3.47,2.86
04.03.2025,Club Brugge KV,Aston Villa,1:3,3.10,3.30,2.40
04.03.2025,Dortmund,Lille,1:1,1.59,4.07,5.87
04.03.2025,PSV,Arsenal,1:7,4.14,3.45,1.95
04.03.2025,Real Madrid,Atl. Madrid,2:1,1.88,3.68,4.12
19.02.2025,Dortmund,Sporting CP,0:0,1.72,4.09,4.61
19.02.2025,PSG,Brest,7:0,1.14,9.15,18.73
19.02.2025,PSV,Juventus,3:1,2.23,3.61,3.12
19.02.2025,Real Madrid,Manchester City,3:1,1.84,4.24,3.77
18.02.2025,AC Milan,Feyenoord,1:1,1.28,6.14,10.23
18.02.2025,Atalanta,Club Brugge KV,1:3,1.47,4.64,6.75
18.02.2025,Bayern Munich,Celtic,1:1,1.18,7.86,14.83
18.02.2025,Benfica,Monaco,3:3,1.86,4.05,3.84
12.02.2025,Celtic,Bayern Munich,1:2,7.31,5.27,1.39
12.02.2025,Club Brugge KV,Atalanta,2:1,3.31,3.28,2.29
12.02.2025,Feyenoord,AC Milan,1:0,4.17,3.91,1.82
12.02.2025,Monaco,Benfica,0:1,2.50,3.53,2.76
11.02.2025,Brest,PSG,0:3,10.16,5.71,1.30
11.02.2025,Juventus,PSV,2:1,1.89,3.66,4.12
11.02.2025,Manchester City,Real Madrid,2:3,1.98,3.94,3.51
11.02.2025,Sporting CP,Dortmund,0:3,2.60,3.28,2.82
29.01.2025,Aston Villa,Celtic,4:2,1.55,4.56,5.45
29.01.2025,Barcelona,Atalanta,2:2,1.68,4.39,4.48
29.01.2025,Bayer Leverkusen,Sparta Prague,2:0,1.12,9.78,19.91
29.01.2025,Bayern Munich,Slovan Bratislava,3:1,1.02,27.91,53.00
29.01.2025,Brest,Real Madrid,0:3,7.23,5.23,1.39
