match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,Date,home_team,away_team,home_xg,away_xg,xg_source,p_home,p_draw,p_away,engine,kickoff_utc_fix,home_odds,draw_odds,away_odds,qH,qD,qA,eH,eD,eA,bet,edge,actual,odds,profit
ucl-2024-25-001,2024-25,league_phase,Matchday 1,2024-09-17T00:00:00Z,date_only,bsc-young-boys,aston-villa-fc,BSC Young Boys (SUI),Aston Villa FC (ENG),0,3,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,bsc-young-boys,aston-villa-fc,0.0,3.0,goals_fallback,0.5782036771324194,0.2176136189857417,0.2041827038818386,shared_xg_dixon_coles,2024-09-17T00:00:00Z,5.33,4.16,1.62,0.17948895505851392,0.22997022366872097,0.590540821272765,0.39871472207390546,-0.012356604682979277,-0.3863581173909264,H,0.39871472207390546,A,5.33,-1.0
ucl-2024-25-002,2024-25,league_phase,Matchday 1,2025-02-11T00:00:00Z,date_only,juventus-fc,psv,Juventus FC (ITA),PSV (NED),3,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,juventus-fc,psv,3.0,1.0,goals_fallback,0.4044194913052163,0.2603480413477608,0.3352324673470228,shared_xg_dixon_coles,2025-02-11T00:00:00Z,1.89,3.66,4.12,0.5062954531719013,0.261447652047785,0.2322568947803139,-0.10187596186668496,-0.0010996107000241784,0.10297557256670889,A,0.10297557256670889,H,4.12,-1.0
ucl-2024-25-003,2024-25,league_phase,Matchday 1,2024-09-17T00:00:00Z,date_only,sporting-clube-de-portugal,lille-osc,Sporting Clube de Portugal (POR),Lille OSC (FRA),2,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,sporting-clube-de-portugal,lille-osc,2.0,0.0,goals_fallback,0.3105603901504334,0.2554388050949999,0.4340008047545665,shared_xg_dixon_coles,2024-09-17T00:00:00Z,1.51,4.37,6.5,0.6337756338314142,0.21899341123236507,0.14723095493622085,-0.3232152436809808,0.03644539386263482,0.28676984981834563,A,0.28676984981834563,H,6.5,-1.0
ucl-2024-25-004,2024-25,league_phase,Matchday 1,2024-09-17T00:00:00Z,date_only,fc-bayern-m-nchen,gnk-dinamo-zagreb,FC Bayern München (GER),GNK Dinamo Zagreb (CRO),9,2,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,fc-bayern-m-nchen,gnk-dinamo-zagreb,9.0,2.0,goals_fallback,0.7702298070763677,0.1541307335754897,0.0756394593481426,shared_xg_dixon_coles,2024-09-17T00:00:00Z,1.1,10.95,23.82,0.8721161176423383,0.08760983830197007,0.04027404405569152,-0.10188631056597064,0.06652089527351963,0.03536541529245108,D,0.06652089527351963,H,10.95,-1.0
ucl-2024-25-005,2024-25,league_phase,Matchday 1,2024-09-17T00:00:00Z,date_only,real-madrid-cf,vfb-stuttgart,Real Madrid CF (ESP),VfB Stuttgart (GER),3,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,real-madrid-cf,vfb-stuttgart,3.0,1.0,goals_fallback,0.8701461170513318,0.088472588766961,0.0413812941817072,shared_xg_dixon_coles,2024-09-17T00:00:00Z,1.31,6.07,8.64,0.7312957279449598,0.15782494293375574,0.11087932912128441,0.13885038910637204,-0.06935235416679474,-0.06949803493957721,H,0.13885038910637204,H,1.31,0.31000000000000005
ucl-2024-25-006,2024-25,league_phase,Matchday 1,2024-09-17T00:00:00Z,date_only,ac-milan,liverpool-fc,AC Milan (ITA),Liverpool FC (ENG),1,3,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,ac-milan,liverpool-fc,1.0,3.0,goals_fallback,0.1867052295317683,0.1997405857198758,0.6135541847483558,shared_xg_dixon_coles,2024-09-17T00:00:00Z,3.62,3.74,1.98,0.2634215057129442,0.2549694787916732,0.4816090154953828,-0.07671627618117591,-0.0552288930717974,0.13194516925297295,A,0.13194516925297295,A,1.98,0.98
ucl-2024-25-007,2024-25,league_phase,Matchday 1,2024-09-18T00:00:00Z,date_only,bologna-fc-1909,fk-shakhtar-donetsk,Bologna FC 1909 (ITA),FK Shakhtar Donetsk (UKR),0,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,bologna-fc-1909,fk-shakhtar-donetsk,0.0,0.0,goals_fallback,0.2045744718928248,0.1669377843552919,0.6284877437518834,shared_xg_dixon_coles,2024-09-18T00:00:00Z,1.91,3.58,4.08,0.49958614084892433,0.26653897458699594,0.23387488456407976,-0.29501166895609954,-0.09960119023170402,0.39461285918780364,A,0.39461285918780364,D,4.08,-1.0
ucl-2024-25-008,2024-25,league_phase,Matchday 1,2024-09-18T00:00:00Z,date_only,ac-sparta-praha,fc-red-bull-salzburg,AC Sparta Praha (CZE),FC Red Bull Salzburg (AUT),3,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,ac-sparta-praha,fc-red-bull-salzburg,3.0,0.0,goals_fallback,0.5663223816374893,0.2333183546095252,0.2003592637529854,shared_xg_dixon_coles,2024-09-18T00:00:00Z,2.21,3.64,3.11,0.43145221225784075,0.2619531288708319,0.30659465887132736,0.13487016937964852,-0.028634774261306672,-0.10623539511834196,H,0.13487016937964852,H,2.21,1.21
ucl-2024-25-009,2024-25,league_phase,Matchday 1,2024-09-18T00:00:00Z,date_only,manchester-city-fc,fc-internazionale-milano,Manchester City FC (ENG),FC Internazionale Milano (ITA),0,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,manchester-city-fc,fc-internazionale-milano,0.0,0.0,goals_fallback,0.5957204171151066,0.183576522883678,0.2207030600012153,shared_xg_dixon_coles,2024-09-18T00:00:00Z,1.37,5.09,8.11,0.6953704187224895,0.18716256849701585,0.11746701278049454,-0.09965000160738291,-0.003586045613337835,0.10323604722072077,A,0.10323604722072077,D,8.11,-1.0
ucl-2024-25-010,2024-25,league_phase,Matchday 1,2024-09-18T00:00:00Z,date_only,paris-saint-germain-fc,girona-fc,Paris Saint-Germain FC (FRA),Girona FC (ESP),1,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,paris-saint-germain-fc,girona-fc,1.0,0.0,goals_fallback,0.813573399355997,0.1150057181450497,0.0714208824989533,shared_xg_dixon_coles,2024-09-18T00:00:00Z,1.29,6.04,9.8,0.7433790137845115,0.15876803440099668,0.09785295181449181,0.0701943855714855,-0.04376231625594698,-0.026432069315538514,H,0.0701943855714855,H,1.29,0.29000000000000004
ucl-2024-25-011,2024-25,league_phase,Matchday 1,2024-09-18T00:00:00Z,date_only,club-brugge-kv,borussia-dortmund,Club Brugge KV (BEL),Borussia Dortmund (GER),0,3,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,club-brugge-kv,borussia-dortmund,0.0,3.0,goals_fallback,0.1045661572264028,0.2083488342650716,0.6870850085085255,shared_xg_dixon_coles,2024-09-18T00:00:00Z,3.22,3.58,2.2,0.29734668297618505,0.2674458992132167,0.43520741781059813,-0.19278052574978224,-0.05909706494814512,0.25187759069792737,A,0.25187759069792737,A,2.2,1.2000000000000002
ucl-2024-25-012,2024-25,league_phase,Matchday 1,2024-09-18T00:00:00Z,date_only,celtic-fc,k-slovan-bratislava,Celtic FC (SCO),ŠK Slovan Bratislava (SVK),5,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,celtic-fc,k-slovan-bratislava,5.0,1.0,goals_fallback,0.3295165683843883,0.2477169959129464,0.422766435702665,shared_xg_dixon_coles,2024-09-18T00:00:00Z,1.22,6.54,13.18,0.7817943034186019,0.1458393043074456,0.07236639227395253,-0.4522777350342136,0.10187769160550081,0.35040004342871245,A,0.35040004342871245,H,13.18,-1.0
ucl-2024-25-013,2024-25,league_phase,Matchday 1,2024-09-19T00:00:00Z,date_only,feyenoord-rotterdam,bayer-04-leverkusen,Feyenoord Rotterdam (NED),Bayer 04 Leverkusen (GER),0,4,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,feyenoord-rotterdam,bayer-04-leverkusen,0.0,4.0,goals_fallback,0.5774312062455533,0.2042969085831376,0.2182718851713091,shared_xg_dixon_coles,2024-09-19T00:00:00Z,4.79,4.18,1.68,0.20011512661077518,0.2293185302549314,0.5705663431342936,0.37731607963477815,-0.02502162167179381,-0.3522944579629844,H,0.37731607963477815,A,4.79,-1.0
ucl-2024-25-015,2024-25,league_phase,Matchday 1,2024-09-19T00:00:00Z,date_only,as-monaco-fc,fc-barcelona,AS Monaco FC (MCO),FC Barcelona (ESP),2,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,as-monaco-fc,fc-barcelona,2.0,1.0,goals_fallback,0.2157032406634863,0.2347959994940711,0.5495007598424426,shared_xg_dixon_coles,2024-09-19T00:00:00Z,4.34,4.21,1.73,0.2202861817928857,0.22708836792900808,0.5526254502781064,-0.004582941129399387,0.007707631565063017,-0.0031246904356637684,D,0.007707631565063017,H,4.21,-1.0
ucl-2024-25-017,2024-25,league_phase,Matchday 1,2024-09-19T00:00:00Z,date_only,atalanta-bc,arsenal-fc,Atalanta BC (ITA),Arsenal FC (ENG),0,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,atalanta-bc,arsenal-fc,0.0,0.0,goals_fallback,0.3194470564119653,0.2943961131945758,0.3861568303934589,shared_xg_dixon_coles,2024-09-19T00:00:00Z,4.02,3.65,1.92,0.2383722116777894,0.2625359701218392,0.4990918182003715,0.0810748447341759,0.0318601430727366,-0.11293498780691263,H,0.0810748447341759,D,4.02,-1.0
ucl-2024-25-018,2024-25,league_phase,Matchday 1,2024-09-19T00:00:00Z,date_only,club-atl-tico-de-madrid,rb-leipzig,Club Atlético de Madrid (ESP),RB Leipzig (GER),2,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,club-atl-tico-de-madrid,rb-leipzig,2.0,1.0,goals_fallback,0.5187011149297879,0.1444950495335908,0.3368038355366211,shared_xg_dixon_coles,2024-09-19T00:00:00Z,1.71,3.99,4.76,0.5593419506462985,0.23971797884841364,0.20094007050528792,-0.04064083571651067,-0.09522292931482285,0.13586376503133316,A,0.13586376503133316,H,4.76,-1.0
ucl-2024-25-019,2024-25,league_phase,Matchday 2,2024-10-01T00:00:00Z,date_only,vfb-stuttgart,ac-sparta-praha,VfB Stuttgart (GER),AC Sparta Praha (CZE),1,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,vfb-stuttgart,ac-sparta-praha,1.0,1.0,goals_fallback,0.4343184256200734,0.2667650813994401,0.2989164929804863,shared_xg_dixon_coles,2024-10-01T00:00:00Z,1.39,5.2,7.32,0.6862483503645423,0.18343946288590648,0.13031218674955106,-0.25192992474446896,0.08332561851353362,0.16860430623093522,A,0.16860430623093522,D,7.32,-1.0
ucl-2024-25-021,2024-25,league_phase,Matchday 2,2024-10-01T00:00:00Z,date_only,k-slovan-bratislava,manchester-city-fc,ŠK Slovan Bratislava (SVK),Manchester City FC (ENG),0,4,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,k-slovan-bratislava,manchester-city-fc,0.0,4.0,goals_fallback,0.0973292126811171,0.1099327309007158,0.7927380564181671,shared_xg_dixon_coles,2024-10-01T00:00:00Z,40.42,15.57,1.05,0.02375790349744067,0.06167594472489092,0.9145661517776683,0.07357130918367644,0.04825678617582488,-0.12182809535950123,H,0.07357130918367644,A,40.42,-1.0
ucl-2024-25-022,2024-25,league_phase,Matchday 2,2024-10-01T00:00:00Z,date_only,borussia-dortmund,celtic-fc,Borussia Dortmund (GER),Celtic FC (SCO),7,1,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,borussia-dortmund,celtic-fc,7.0,1.0,goals_fallback,0.9161814934723016,0.0683297147335845,0.015488791794114,shared_xg_dixon_coles,2024-10-01T00:00:00Z,1.46,4.96,6.27,0.6547889251500157,0.19274028845141594,0.1524707863985683,0.26139256832228586,-0.12441057371783144,-0.1369819946044543,H,0.26139256832228586,H,1.46,0.45999999999999996
ucl-2024-25-023,2024-25,league_phase,Matchday 2,2024-10-01T00:00:00Z,date_only,fc-barcelona,bsc-young-boys,FC Barcelona (ESP),BSC Young Boys (SUI),5,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,fc-barcelona,bsc-young-boys,5.0,0.0,goals_fallback,0.8702391315605182,0.0901487377905635,0.0396121306489181,shared_xg_dixon_coles,2024-10-01T00:00:00Z,1.06,13.77,31.72,0.9005793356670607,0.06932564239702865,0.03009502193591061,-0.03034020410654248,0.020823095393534843,0.009517108713007493,D,0.020823095393534843,H,13.77,-1.0
ucl-2024-25-025,2024-25,league_phase,Matchday 2,2024-10-01T00:00:00Z,date_only,bayer-04-leverkusen,ac-milan,Bayer 04 Leverkusen (GER),AC Milan (ITA),1,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,bayer-04-leverkusen,ac-milan,1.0,0.0,goals_fallback,0.2362058702107615,0.2758382880785807,0.4879558417106577,shared_xg_dixon_coles,2024-10-01T00:00:00Z,1.66,4.34,4.71,0.5763921002470083,0.22046333788249625,0.20314456187049548,-0.34018623003624676,0.05537495019608443,0.2848112798401622,A,0.2848112798401622,H,4.71,-1.0
ucl-2024-25-026,2024-25,league_phase,Matchday 2,2025-04-29T00:00:00Z,date_only,arsenal-fc,paris-saint-germain-fc,Arsenal FC (ENG),Paris Saint-Germain FC (FRA),2,0,openfootball,2024-09-17T00:00:00+00:00,2024-09-17 00:00:00+00:00,arsenal-fc,paris-saint-germain-fc,2.0,0.0,goals_fallback,0.674221937767244,0.1343229996914378,0.1914550625413182,shared_xg_dixon_coles,2025-04-29T00:00:00Z,2.16,3.46,3.4,0.4425617720528485,0.2762813374665182,0.2811568904806332,0.23166016571439552,-0.14195833777508038,-0.089701827939315,H,0.23166016571439552,H,2.16,1.1600000000000001
