match_id,date,home_slug,away_slug,home_odds,draw_odds,away_odds
ucl-2024-25-001,17.09.2024,Young Boys,Aston Villa,5.33,4.16,1.62
ucl-2024-25-002,11.02.2025,Juventus,PSV,1.89,3.66,4.12
ucl-2024-25-003,17.09.2024,Sporting CP,Lille,1.51,4.37,6.5
ucl-2024-25-004,17.09.2024,Bayern Munich,Din. Zagreb,1.1,10.95,23.82
ucl-2024-25-005,17.09.2024,Real Madrid,Stuttgart,1.31,6.07,8.64
ucl-2024-25-006,17.09.2024,AC Milan,Liverpool,3.62,3.74,1.98
ucl-2024-25-007,18.09.2024,Bologna,Shakhtar Donetsk,1.91,3.58,4.08
ucl-2024-25-008,18.09.2024,Sparta Prague,Salzburg,2.21,3.64,3.11
ucl-2024-25-009,18.09.2024,Manchester City,Inter,1.37,5.09,8.11
ucl-2024-25-010,18.09.2024,PSG,Girona,1.29,6.04,9.8
ucl-2024-25-011,18.09.2024,Club Brugge KV,Dortmund,3.22,3.58,2.2
ucl-2024-25-012,18.09.2024,Celtic,Slovan Bratislava,1.22,6.54,13.18
ucl-2024-25-013,19.09.2024,Feyenoord,Bayer Leverkusen,4.79,4.18,1.68
ucl-2024-25-014,,,,,,
ucl-2024-25-015,19.09.2024,Monaco,Barcelona,4.34,4.21,1.73
ucl-2024-25-016,,,,,,
ucl-2024-25-017,19.09.2024,Atalanta,Arsenal,4.02,3.65,1.92
ucl-2024-25-018,19.09.2024,Atl. Madrid,RB Leipzig,1.71,3.99,4.76
ucl-2024-25-019,01.10.2024,Stuttgart,Sparta Prague,1.39,5.2,7.32
ucl-2024-25-020,,,,,,
ucl-2024-25-021,01.10.2024,Slovan Bratislava,Manchester City,40.42,15.57,1.05
ucl-2024-25-022,01.10.2024,Dortmund,Celtic,1.46,4.96,6.27
ucl-2024-25-023,01.10.2024,Barcelona,Young Boys,1.06,13.77,31.72
ucl-2024-25-024,,,,,,
ucl-2024-25-025,01.10.2024,Bayer Leverkusen,AC Milan,1.66,4.34,4.71
ucl-2024-25-026,29.04.2025,Arsenal,PSG,2.16,3.46,3.4
ucl-2024-25-027,01.10.2024,PSV,Sporting CP,3.21,3.67,2.18
ucl-2024-25-028,02.10.2024,Girona,Feyenoord,1.93,3.69,3.87
ucl-2024-25-029,02.10.2024,Shakhtar Donetsk,Atalanta,6.13,4.05,1.57
ucl-2024-25-030,02.10.2024,Aston Villa,Bayern Munich,4.62,4.15,1.7
ucl-2024-25-031,02.10.2024,Sturm Graz,Club Brugge KV,4.35,4.06,1.75
ucl-2024-25-032,02.10.2024,Liverpool,Bologna,1.15,8.29,17.73
ucl-2024-25-033,02.10.2024,RB Leipzig,Juventus,2.43,3.27,3.06
