path,event_id,bookmaker,over25,over_created,under25,under_created,error
/football/europe/champions-league-2024-2025/ac-milan-club-brugge/pUDKcnzf/,pUDKcnzf,888sport,1.44,"22,10,2024,17,41",2.70,"22,10,2024,17,41",
/football/europe/champions-league-2024-2025/ac-milan-club-brugge/pUDKcnzf/,pUDKcnzf,bet365,1.44,"22,10,2024,17,35",2.75,"22,10,2024,17,35",
/football/europe/champions-league-2024-2025/ac-milan-club-brugge/pUDKcnzf/,pUDKcnzf,betfair,1.45,"22,10,2024,16,41",2.75,"22,10,2024,16,41",
/football/europe/champions-league-2024-2025/ac-milan-club-brugge/pUDKcnzf/,pUDKcnzf,betinasia,1.47,"22,10,2024,17,33",2.77,"22,10,2024,17,42",
/football/europe/champions-league-2024-2025/ac-milan-club-brugge/pUDKcnzf/,pUDKcnzf,betway,1.45,"22,10,2024,17,01",2.70,"22,10,2024,17,01",
/football/europe/champions-league-2024-2025/ac-milan-club-brugge/pUDKcnzf/,pUDKcnzf,bwin,1.44,"22,10,2024,16,42",2.60,"22,10,2024,17,32",
/football/europe/champions-league-2024-2025/ac-milan-club-brugge/pUDKcnzf/,pUDKcnzf,unibet,1.45,"22,10,2024,17,32",2.75,"22,10,2024,17,32",
/football/europe/champions-league-2024-2025/ac-milan-club-brugge/pUDKcnzf/,pUDKcnzf,betfair exchange,1.50,"22,10,2024,17,42",2.75,"22,10,2024,17,42",
/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/,K4iJZumB,1xbet,1.34,"11,12,2024,20,48",3.35,"11,12,2024,20,48",
/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/,K4iJZumB,888sport,1.36,"11,12,2024,19,25",3.00,"11,12,2024,19,25",
/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/,K4iJZumB,betfair,1.36,"11,12,2024,19,07",3.20,"11,12,2024,19,07",
/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/,K4iJZumB,betinasia,1.34,"11,12,2024,20,44",3.32,"11,12,2024,20,59",
/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/,K4iJZumB,betsafe,1.36,"11,12,2024,20,56",3.30,"11,12,2024,20,56",
/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/,K4iJZumB,betsson,1.36,"11,12,2024,20,56",3.30,"11,12,2024,20,56",
/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/,K4iJZumB,bwin,1.34,"11,12,2024,19,57",3.00,"11,12,2024,18,42",
/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/,K4iJZumB,duelbits,1.35,"11,12,2024,18,57",3.10,"11,12,2024,18,57",
/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/,K4iJZumB,unibet,1.32,"11,12,2024,20,54",3.40,"11,12,2024,20,54",
/football/europe/champions-league-2024-2025/ac-milan-crvena-zvezda/K4iJZumB/,K4iJZumB,betfair exchange,1.37,"11,12,2024,20,57",3.42,"11,12,2024,20,57",
/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/,CIzpxJ25,betinasia,1.48,"18,02,2025,18,42",2.69,"18,02,2025,18,42",
/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/,CIzpxJ25,bets.io,1.49,"18,02,2025,18,41",2.75,"18,02,2025,18,33",
/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/,CIzpxJ25,betsafe,1.49,"18,02,2025,18,44",2.71,"18,02,2025,18,44",
/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/,CIzpxJ25,betsson,1.49,"18,02,2025,18,43",2.71,"18,02,2025,18,43",
/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/,CIzpxJ25,betway,1.48,"18,02,2025,17,10",2.60,"18,02,2025,17,10",
/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/,CIzpxJ25,bwin,1.47,"18,02,2025,18,04",2.50,"18,02,2025,18,04",
/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/,CIzpxJ25,cloudbet,1.48,"18,02,2025,18,40",2.68,"18,02,2025,18,42",
/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/,CIzpxJ25,duelbits,1.48,"18,02,2025,17,40",2.65,"18,02,2025,17,40",
/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/,CIzpxJ25,unibet,1.46,"18,02,2025,18,44",2.75,"18,02,2025,18,34",
/football/europe/champions-league-2024-2025/ac-milan-feyenoord/CIzpxJ25/,CIzpxJ25,betfair exchange,1.52,"18,02,2025,18,41",2.69,"18,02,2025,18,41",
/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/,C2WcScuo,888sport,1.73,"22,01,2025,20,02",2.10,"22,01,2025,20,02",
/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/,C2WcScuo,bet365,1.73,"22,01,2025,20,59",2.10,"22,01,2025,20,59",
/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/,C2WcScuo,betinasia,1.73,"22,01,2025,20,52",2.26,"22,01,2025,20,58",
/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/,C2WcScuo,betsafe,1.70,"22,01,2025,20,54",2.21,"22,01,2025,20,59",
/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/,C2WcScuo,betsson,1.70,"22,01,2025,20,50",2.22,"22,01,2025,20,50",
/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/,C2WcScuo,betway,1.67,"22,01,2025,20,52",2.20,"22,01,2025,20,52",
/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/,C2WcScuo,bwin,1.68,"22,01,2025,20,29",2.05,"22,01,2025,19,54",
/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/,C2WcScuo,duelbits,1.74,"22,01,2025,20,09",2.13,"22,01,2025,20,09",
/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/,C2WcScuo,unibet,1.68,"22,01,2025,20,53",2.18,"22,01,2025,20,53",
/football/europe/champions-league-2024-2025/ac-milan-girona/C2WcScuo/,C2WcScuo,betfair exchange,1.74,"22,01,2025,20,50",2.20,"22,01,2025,20,50",
/football/europe/champions-league-2024-2025/ac-milan-liverpool/OQ7EPt7D/,OQ7EPt7D,888sport,1.53,"17,09,2024,16,29",2.45,"17,09,2024,16,29",
/football/europe/champions-league-2024-2025/ac-milan-liverpool/OQ7EPt7D/,OQ7EPt7D,bet365,1.57,"17,09,2024,16,30",2.38,"17,09,2024,16,30",
