match_id,league,match_date,home_team,home_score,away_team,away_score,avg_odds_home_win,avg_odds_draw,avg_odds_away_win,n_odds_home_win,n_odds_draw,n_odds_away_win,source,closing_status,timestamps_present
175042,Europe: Champions League,2005-02-22,Bayern Munich,3,Arsenal,1,2.1786,3.1571,3.1571,7,7,7,BeatTheBookie,confirmed_archive_closing,False
175043,Europe: Champions League,2005-02-22,Liverpool,3,Bayer Leverkusen,1,2.125,3.125,3.3438,8,8,8,BeatTheBookie,confirmed_archive_closing,False
175044,Europe: Champions League,2005-02-22,PSV,1,Monaco,0,2.0575,3.1538,3.4438,8,8,8,BeatTheBookie,confirmed_archive_closing,False
175045,Europe: Champions League,2005-02-22,Real Madrid,1,Juventus,0,1.9329,3.1786,3.8114,7,7,7,BeatTheBookie,confirmed_archive_closing,False
175077,Europe: Champions League,2005-02-23,Barcelona,2,Chelsea,1,1.9114,3.1714,3.8929,7,7,7,BeatTheBookie,confirmed_archive_closing,False
175078,Europe: Champions League,2005-02-23,FC Porto,1,Inter,1,2.8888,3.0038,2.3925,8,8,8,BeatTheBookie,confirmed_archive_closing,False
175079,Europe: Champions League,2005-02-23,Manchester United,0,AC Milan,1,1.965,3.0625,3.8425,8,8,8,BeatTheBookie,confirmed_archive_closing,False
175080,Europe: Champions League,2005-02-23,Werder Bremen,0,Lyon,3,2.0643,3.1571,3.4571,7,7,7,BeatTheBookie,confirmed_archive_closing,False
176751,Europe: Champions League,2005-03-08,AC Milan,1,Manchester United,0,2.11,3.0989,3.3,9,9,9,BeatTheBookie,confirmed_archive_closing,False
176752,Europe: Champions League,2005-03-08,Chelsea,4,Barcelona,2,2.009,3.226,3.443,10,10,10,BeatTheBookie,confirmed_archive_closing,False
176753,Europe: Champions League,2005-03-08,Lyon,7,Werder Bremen,2,1.953,3.326,3.497,10,10,10,BeatTheBookie,confirmed_archive_closing,False
176799,Europe: Champions League,2005-03-09,Arsenal,1,Bayern Munich,0,1.83,3.304,4.047,10,10,10,BeatTheBookie,confirmed_archive_closing,False
176800,Europe: Champions League,2005-03-09,Bayer Leverkusen,1,Liverpool,3,1.8467,3.3189,3.93,9,9,9,BeatTheBookie,confirmed_archive_closing,False
176801,Europe: Champions League,2005-03-09,Juventus,1,Real Madrid,0,2.059,3.184,3.379,10,10,10,BeatTheBookie,confirmed_archive_closing,False
176802,Europe: Champions League,2005-03-09,Monaco,0,PSV,2,1.855,3.216,4.062,10,10,10,BeatTheBookie,confirmed_archive_closing,False
177787,Europe: Champions League,2005-03-15,Inter,3,FC Porto,1,1.5044,3.5144,6.73,9,9,9,BeatTheBookie,confirmed_archive_closing,False
180908,Europe: Champions League,2005-04-05,Liverpool,2,Juventus,1,2.699,2.925,2.587,10,10,10,BeatTheBookie,confirmed_archive_closing,False
180909,Europe: Champions League,2005-04-05,Lyon,1,PSV,1,1.687,3.311,4.896,10,10,10,BeatTheBookie,confirmed_archive_closing,False
180997,Europe: Champions League,2005-04-06,AC Milan,2,Inter,0,2.056,2.87,3.813,10,10,10,BeatTheBookie,confirmed_archive_closing,False
180998,Europe: Champions League,2005-04-06,Chelsea,4,Bayern Munich,2,1.645,3.351,5.199,10,10,10,BeatTheBookie,confirmed_archive_closing,False
182199,Europe: Champions League,2005-04-12,Bayern Munich,3,Chelsea,2,2.21,3.26,2.977,10,10,10,BeatTheBookie,confirmed_archive_closing,False
182278,Europe: Champions League,2005-04-13,Juventus,0,Liverpool,0,1.439,3.784,7.297,10,10,10,BeatTheBookie,confirmed_archive_closing,False
182279,Europe: Champions League,2005-04-13,PSV,1,Lyon,1,2.2889,3.1944,2.9256,9,9,9,BeatTheBookie,confirmed_archive_closing,False
