match_id,matchDate,homeTeam,awayTeam,xbetClose1FT,xbetCloseXFT,xbetClose2FT,xbetCloseOver25,xbetCloseUnder25
ucl-2025-26-001,16-09-25 18:45,Ath Bilbao,Arsenal,5.93,3.55,1.69,2.21,1.69
ucl-2025-26-002,16-09-25 18:45,PSV,Royale Union SG,1.83,3.84,4.26,1.54,2.5
ucl-2025-26-003,16-09-25 21:00,Juventus,Dortmund,2.0,3.5,3.9,1.88,2.01
ucl-2025-26-004,16-09-25 21:00,Benfica,Qarabag,1.21,7.79,11.9,1.33,3.4
ucl-2025-26-005,16-09-25 21:00,Tottenham,Villarreal,1.86,3.74,4.19,1.8,2.1
ucl-2025-26-006,16-09-25 21:00,Real Madrid,Marseille,1.38,5.33,7.56,1.43,2.9
ucl-2025-26-007,17-09-25 18:45,Slavia Prague,Bodo/Glimt,1.97,3.94,3.56,1.62,2.34
ucl-2025-26-008,17-09-25 18:45,Olympiacos Piraeus,Pafos,1.41,4.83,8.14,1.73,2.21
ucl-2025-26-009,17-09-25 21:00,Ajax,Inter,5.28,4.14,1.64,1.63,2.3
ucl-2025-26-010,17-09-25 21:00,Liverpool,Atl. Madrid,1.47,4.56,7.09,1.6,2.38
ucl-2025-26-011,17-09-25 21:00,PSG,Atalanta,1.39,5.08,8.02,1.5,2.63
ucl-2025-26-012,17-09-25 21:00,Bayern Munich,Chelsea,1.83,4.07,4.03,1.54,2.53
ucl-2025-26-013,18-09-25 18:45,FC Copenhagen,Bayer Leverkusen,3.33,3.28,2.29,2.09,1.81
ucl-2025-26-014,18-09-25 18:45,Club Brugge KV,Monaco,2.23,3.54,3.23,1.58,2.42
ucl-2025-26-015,18-09-25 21:00,Newcastle,Barcelona,2.46,3.78,2.7,1.54,2.48
ucl-2025-26-016,18-09-25 21:00,Manchester City,Napoli,1.56,4.25,6.04,1.64,2.29
ucl-2025-26-017,18-09-25 21:00,Eintracht Frankfurt,Galatasaray,2.33,3.74,2.9,1.46,2.77
ucl-2025-26-018,18-09-25 21:00,Sporting CP,Kairat Almaty,1.08,14.2,23.0,1.28,3.81
ucl-2025-26-019,30-09-25 18:45,Atalanta,Club Brugge KV,1.73,4.19,4.66,1.42,2.9
ucl-2025-26-020,30-09-25 18:45,Kairat Almaty,Real Madrid,29.0,14.1,1.08,1.23,4.21
ucl-2025-26-021,30-09-25 21:00,Galatasaray,Liverpool,5.46,4.62,1.58,1.35,3.19
ucl-2025-26-022,30-09-25 21:00,Atl. Madrid,Eintracht Frankfurt,1.44,5.39,6.67,1.35,3.2
ucl-2025-26-023,30-09-25 21:00,Marseille,Ajax,1.59,4.31,5.9,1.58,2.38
ucl-2025-26-024,30-09-25 21:00,Bodo/Glimt,Tottenham,3.38,3.68,2.16,1.71,2.21
ucl-2025-26-025,30-09-25 21:00,Pafos,Bayern Munich,24.0,10.1,1.12,1.27,3.75
ucl-2025-26-026,30-09-25 21:00,Chelsea,Benfica,1.68,3.87,5.61,1.78,2.1
ucl-2025-26-027,30-09-25 21:00,Inter,Slavia Prague,1.29,6.08,11.1,1.45,2.75
ucl-2025-26-028,01-10-25 18:45,Qarabag,FC Copenhagen,3.74,3.42,2.13,1.96,1.9
ucl-2025-26-029,01-10-25 18:45,Royale Union SG,Newcastle,4.49,3.71,1.86,1.84,2.03
ucl-2025-26-030,01-10-25 21:00,Dortmund,Ath Bilbao,1.75,3.78,5.1,1.95,1.91
ucl-2025-26-031,01-10-25 21:00,Barcelona,PSG,1.67,4.6,4.66,1.32,3.4
ucl-2025-26-032,01-10-25 21:00,Monaco,Manchester City,8.21,5.64,1.37,1.33,3.37
ucl-2025-26-033,01-10-25 21:00,Bayer Leverkusen,PSV,1.94,3.97,3.77,1.53,2.5
ucl-2025-26-034,01-10-25 21:00,Arsenal,Olympiacos Piraeus,1.18,7.74,17.6,1.57,2.42
ucl-2025-26-035,01-10-25 21:00,Villarreal,Juventus,2.51,3.37,2.98,1.95,1.91
ucl-2025-26-036,01-10-25 21:00,Napoli,Sporting CP,1.9,3.58,4.47,1.86,2.0
ucl-2025-26-037,21-10-25 18:45,Barcelona,Olympiacos Piraeus,1.26,7.21,9.86,1.36,3.16
ucl-2025-26-038,21-10-25 18:45,Kairat Almaty,Pafos,3.25,3.46,2.3,2.08,1.8
ucl-2025-26-039,21-10-25 21:00,Royale Union SG,Inter,5.44,3.84,1.7,1.95,1.91
ucl-2025-26-040,21-10-25 21:00,FC Copenhagen,Dortmund,4.85,3.69,1.81,1.86,2.0
ucl-2025-26-041,21-10-25 21:00,Bayer Leverkusen,PSG,5.23,4.04,1.69,1.45,2.77
