quote_id,market_id,season_source,match_date,kickoff_source,home_name,away_name,home_club_id,away_club_id,home_goals,away_goals,home_odds,draw_odds,away_odds,source,closing_status,market_type
kaggle-ucl-4149,kaggle-ucl-4149,2003-2004,26 May 2004  - Play Offs,19:45,Monaco,FC Porto,monaco,fc-porto,0.0,3.0,2.9,3.04,2.31,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4150,kaggle-ucl-4150,2003-2004,05 May 2004  - Play Offs,19:45,Chelsea,Monaco,chelsea,monaco,2.0,2.0,1.66,3.3,4.9,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4151,kaggle-ucl-4151,2003-2004,04 May 2004  - Play Offs,19:45,Dep. La Coruna,FC Porto,dep-la-coruna,fc-porto,0.0,1.0,1.77,3.2,4.31,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4152,kaggle-ucl-4152,2003-2004,21 Apr 2004  - Play Offs,19:45,FC Porto,Dep. La Coruna,fc-porto,dep-la-coruna,0.0,0.0,2.29,3.1,2.93,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4153,kaggle-ucl-4153,2003-2004,20 Apr 2004  - Play Offs,19:45,Monaco,Chelsea,monaco,chelsea,3.0,1.0,2.39,3.07,2.74,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4154,kaggle-ucl-4154,2003-2004,07 Apr 2004  - Play Offs,19:45,Dep. La Coruna,AC Milan,dep-la-coruna,ac-milan,4.0,0.0,2.12,3.15,3.14,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4155,kaggle-ucl-4155,2003-2004,07 Apr 2004  - Play Offs,19:45,Lyon,FC Porto,lyon,fc-porto,2.0,2.0,1.95,3.13,3.57,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4156,kaggle-ucl-4156,2003-2004,06 Apr 2004  - Play Offs,19:45,Arsenal,Chelsea,arsenal,chelsea,1.0,2.0,1.88,3.1,3.9,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4157,kaggle-ucl-4157,2003-2004,06 Apr 2004  - Play Offs,19:45,Monaco,Real Madrid,monaco,real-madrid,3.0,1.0,2.53,3.18,2.5,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4158,kaggle-ucl-4158,2003-2004,24 Mar 2004  - Play Offs,20:45,Chelsea,Arsenal,chelsea,arsenal,1.0,1.0,2.53,3.1,2.57,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4159,kaggle-ucl-4159,2003-2004,24 Mar 2004  - Play Offs,20:45,Real Madrid,Monaco,real-madrid,monaco,4.0,2.0,1.48,3.48,7.45,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4160,kaggle-ucl-4160,2003-2004,23 Mar 2004  - Play Offs,20:45,AC Milan,Dep. La Coruna,ac-milan,dep-la-coruna,4.0,1.0,1.7,3.28,4.67,kaggle_rayeenjlassi,unverified_static_close,h2h
kaggle-ucl-4161,kaggle-ucl-4161,2003-2004,23 Mar 2004  - Play Offs,20:45,FC Porto,Lyon,fc-porto,lyon,2.0,0.0,1.95,3.03,3.73,kaggle_rayeenjlassi,unverified_static_close,h2h
