season,match_id,p_model,market_prob,p_blend,bet,edge,odds,actual,profit
2024-25,ucl-2024-25-038,0.551111111111111,0.6563245823389022,0.6037178467250066,Under,0.052606735613895506,2.75,Over,-1
2024-25,ucl-2024-25-104,0.545016077170418,0.7142857142857143,0.6296508957280662,Under,0.0846348185576481,3.35,Over,-1
2024-25,ucl-2024-25-153,0.545016077170418,0.645083932853717,0.5950500050120675,Under,0.050033927841649506,2.69,Under,1.69
2024-25,ucl-2024-25-123,0.545016077170418,0.5483028720626633,0.5466594746165406,Under,0.0016433974461225742,2.1,Under,1.1
2024-25,ucl-2024-25-006,0.551111111111111,0.6025316455696202,0.5768213783403656,Under,0.025710267229254624,2.38,Over,-1
2024-25,ucl-2024-25-124,0.6564102564102564,0.7017543859649122,0.6790823211875843,Under,0.022672064777328027,3.2,Over,-1
2024-25,ucl-2024-25-106,0.6564102564102564,0.6368038740920097,0.6466070652511331,Over,0.009803191159123426,1.5,Over,0.5
2024-25,ucl-2024-25-026,0.6564102564102564,0.5,0.5782051282051281,Over,0.07820512820512815,1.91,Under,-1
2024-25,ucl-2024-25-026,0.6564102564102564,0.49487179487179483,0.5756410256410256,Over,0.08076923076923076,1.97,Under,-1
2024-25,ucl-2024-25-176,0.6564102564102564,0.5263157894736842,0.5913630229419703,Over,0.06504723346828611,1.8,Over,0.8
2024-25,ucl-2024-25-177,0.6564102564102564,0.5263157894736842,0.5913630229419703,Over,0.06504723346828611,1.8,Over,0.8
2024-25,ucl-2024-25-044,0.6923076923076923,0.6563245823389022,0.6743161373232973,Over,0.017991554984395086,1.44,Under,-1
2024-25,ucl-2024-25-030,0.545016077170418,0.6157635467980296,0.5803898119842238,Under,0.03537373481380568,2.5,Under,1.5
2024-25,ucl-2024-25-039,0.545016077170418,0.5,0.522508038585209,Over,0.022508038585209,1.95,Under,-1
2024-25,ucl-2024-25-129,0.545016077170418,0.6368038740920097,0.5909099756312138,Under,0.045893898460795834,2.63,Over,-1
2024-25,ucl-2024-25-174,0.56,0.5483028720626633,0.5541514360313317,Over,0.0058485639686683966,1.73,Over,0.73
2024-25,ucl-2024-25-085,0.545016077170418,0.413265306122449,0.47914069164643347,Over,0.06587538552398448,2.3,Under,-1
2024-25,ucl-2024-25-181,0.6198347107438017,0.6025316455696202,0.611183178156711,Over,0.008651532587090727,1.57,Over,0.5700000000000001
2024-25,ucl-2024-25-017,0.545016077170418,0.47948717948717956,0.5122516283287988,Over,0.03276444884161922,2.03,Under,-1
2024-25,ucl-2024-25-047,0.545016077170418,0.6946902654867257,0.6198531713285719,Under,0.07483709415815382,3.14,Under,2.14
2024-25,ucl-2024-25-156,0.56,0.5483028720626633,0.5541514360313317,Over,0.0058485639686683966,1.73,Over,0.73
2024-25,ucl-2024-25-095,0.6198347107438017,0.5883838383838383,0.60410927456382,Over,0.015725436179981678,1.63,Over,0.6299999999999999
2024-25,ucl-2024-25-110,0.545016077170418,0.6157635467980296,0.5803898119842238,Under,0.03537373481380568,2.5,Over,-1
2024-25,ucl-2024-25-114,0.6564102564102564,0.4516971279373368,0.5540536921737966,Over,0.10235656423645983,2.1,Over,1.1
2024-25,ucl-2024-25-052,0.6564102564102564,0.5483028720626633,0.6023565642364599,Over,0.05405369217379663,1.73,Over,0.73
2024-25,ucl-2024-25-018,0.6923076923076923,0.586734693877551,0.6395211930926217,Over,0.052786499215070726,1.62,Over,0.6200000000000001
2024-25,ucl-2024-25-175,0.99,0.5263157894736842,0.7581578947368421,Over,0.23184210526315796,1.8,Over,0.8
2024-25,ucl-2024-25-100,0.6564102564102564,0.7801801801801801,0.7182952182952183,Under,0.06188496188496195,4.33,Over,-1
2024-25,ucl-2024-25-136,0.6198347107438017,0.744047619047619,0.6819411648957103,Under,0.06210645415190874,3.75,Over,-1
2024-25,ucl-2024-25-049,0.551111111111111,0.7017543859649122,0.6264327485380117,Under,0.07532163742690062,3.2,Over,-1
2024-25,ucl-2024-25-169,0.99,0.7240663900414936,0.8570331950207468,Over,0.13296680497925317,1.33,Over,0.33000000000000007
2024-25,ucl-2024-25-078,0.6198347107438017,0.6818181818181818,0.6508264462809917,Under,0.030991735537190146,3.0,Over,-1
2024-25,ucl-2024-25-180,0.551111111111111,0.7188160676532769,0.6349635893821939,Under,0.08385247827108305,3.4,Over,-1
2024-25,ucl-2024-25-136,0.6198347107438017,0.6167076167076166,0.6182711637257092,Over,0.0015635470180925815,1.56,Over,0.56
2024-25,ucl-2024-25-023,0.56,0.8283132530120482,0.6941566265060242,Under,0.13415662650602403,5.5,Over,-1
