match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc
ucl-2011-12-001,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,manchester-city,ssc-napoli,Manchester City (ENG),SSC Napoli (ITA),1,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-002,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,villarreal-cf,bayern-m-nchen,Villarreal CF (ESP),Bayern München (GER),0,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-003,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,bayern-m-nchen,manchester-city,Bayern München (GER),Manchester City (ENG),2,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-004,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,ssc-napoli,villarreal-cf,SSC Napoli (ITA),Villarreal CF (ESP),2,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-005,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,manchester-city,villarreal-cf,Manchester City (ENG),Villarreal CF (ESP),2,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-006,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,ssc-napoli,bayern-m-nchen,SSC Napoli (ITA),Bayern München (GER),1,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-007,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,bayern-m-nchen,ssc-napoli,Bayern München (GER),SSC Napoli (ITA),3,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-008,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,villarreal-cf,manchester-city,Villarreal CF (ESP),Manchester City (ENG),0,3,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-009,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,bayern-m-nchen,villarreal-cf,Bayern München (GER),Villarreal CF (ESP),3,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-010,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,ssc-napoli,manchester-city,SSC Napoli (ITA),Manchester City (ENG),2,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-011,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,manchester-city,bayern-m-nchen,Manchester City (ENG),Bayern München (GER),2,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-012,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,villarreal-cf,ssc-napoli,Villarreal CF (ESP),SSC Napoli (ITA),0,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-013,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,lille-osc,cska-moskva,Lille OSC (FRA),CSKA Moskva (RUS),2,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-014,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,inter,trabzonspor,Inter (ITA),Trabzonspor (TUR),0,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-015,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,cska-moskva,inter,CSKA Moskva (RUS),Inter (ITA),2,3,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-016,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,trabzonspor,lille-osc,Trabzonspor (TUR),Lille OSC (FRA),1,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-017,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,cska-moskva,trabzonspor,CSKA Moskva (RUS),Trabzonspor (TUR),3,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-018,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,lille-osc,inter,Lille OSC (FRA),Inter (ITA),0,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-019,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,trabzonspor,cska-moskva,Trabzonspor (TUR),CSKA Moskva (RUS),0,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-020,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,inter,lille-osc,Inter (ITA),Lille OSC (FRA),2,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-021,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,cska-moskva,lille-osc,CSKA Moskva (RUS),Lille OSC (FRA),0,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-022,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,trabzonspor,inter,Trabzonspor (TUR),Inter (ITA),1,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-023,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,inter,cska-moskva,Inter (ITA),CSKA Moskva (RUS),1,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-024,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,lille-osc,trabzonspor,Lille OSC (FRA),Trabzonspor (TUR),0,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-025,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,fc-basel-1893,o-elul-gala-i,FC Basel 1893 (SUI),Oţelul Galaţi (ROU),2,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-026,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,sl-benfica,manchester-united,SL Benfica (POR),Manchester United (ENG),1,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-027,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,manchester-united,fc-basel-1893,Manchester United (ENG),FC Basel 1893 (SUI),3,3,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-028,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,o-elul-gala-i,sl-benfica,Oţelul Galaţi (ROU),SL Benfica (POR),0,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-029,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,fc-basel-1893,sl-benfica,FC Basel 1893 (SUI),SL Benfica (POR),0,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-030,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,o-elul-gala-i,manchester-united,Oţelul Galaţi (ROU),Manchester United (ENG),0,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-031,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,manchester-united,o-elul-gala-i,Manchester United (ENG),Oţelul Galaţi (ROU),2,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-032,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,sl-benfica,fc-basel-1893,SL Benfica (POR),FC Basel 1893 (SUI),1,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-033,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,manchester-united,sl-benfica,Manchester United (ENG),SL Benfica (POR),2,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-034,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,o-elul-gala-i,fc-basel-1893,Oţelul Galaţi (ROU),FC Basel 1893 (SUI),2,3,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-035,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,fc-basel-1893,manchester-united,FC Basel 1893 (SUI),Manchester United (ENG),2,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-036,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,sl-benfica,o-elul-gala-i,SL Benfica (POR),Oţelul Galaţi (ROU),1,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-037,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,afc-ajax,olympique-lyonnais,AFC Ajax (NED),Olympique Lyonnais (FRA),0,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-038,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,dinamo-zagreb,real-madrid,Dinamo Zagreb (CRO),Real Madrid (ESP),0,1,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-039,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,olympique-lyonnais,dinamo-zagreb,Olympique Lyonnais (FRA),Dinamo Zagreb (CRO),2,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-040,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,real-madrid,afc-ajax,Real Madrid (ESP),AFC Ajax (NED),3,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-041,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,dinamo-zagreb,afc-ajax,Dinamo Zagreb (CRO),AFC Ajax (NED),0,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-042,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,real-madrid,olympique-lyonnais,Real Madrid (ESP),Olympique Lyonnais (FRA),4,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-043,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,afc-ajax,dinamo-zagreb,AFC Ajax (NED),Dinamo Zagreb (CRO),4,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-044,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,olympique-lyonnais,real-madrid,Olympique Lyonnais (FRA),Real Madrid (ESP),0,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-045,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,olympique-lyonnais,afc-ajax,Olympique Lyonnais (FRA),AFC Ajax (NED),0,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-046,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,real-madrid,dinamo-zagreb,Real Madrid (ESP),Dinamo Zagreb (CRO),6,2,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-047,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,afc-ajax,real-madrid,AFC Ajax (NED),Real Madrid (ESP),0,3,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-048,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,dinamo-zagreb,olympique-lyonnais,Dinamo Zagreb (CRO),Olympique Lyonnais (FRA),1,7,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-049,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,chelsea-fc,bayer-leverkusen,Chelsea FC (ENG),Bayer Leverkusen (GER),2,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-050,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,krc-genk,valencia-cf,KRC Genk (BEL),Valencia CF (ESP),0,0,openfootball,2011-09-14T00:00:00+00:00
ucl-2011-12-051,2011-12,knockout_phase,,2011-09-14T00:00:00+00:00,date_only,bayer-leverkusen,krc-genk,Bayer Leverkusen (GER),KRC Genk (BEL),2,0,openfootball,2011-09-14T00:00:00+00:00
