match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,hk,ak,kickoff_utc_original,date_repair_source
ucl-2024-25-001,2024-25,league_phase,Matchday 1,2024-09-17T16:45:00+00:00,date_only,bsc-young-boys,aston-villa-fc,BSC Young Boys (SUI),Aston Villa FC (ENG),0,3,openfootball,2024-09-17T00:00:00+00:00,young-boys,aston-villa,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-002,2024-25,league_phase,Matchday 1,2024-09-17T16:45:00+00:00,date_only,juventus-fc,psv,Juventus FC (ITA),PSV (NED),3,1,openfootball,2024-09-17T00:00:00+00:00,juventus,psv,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-003,2024-25,league_phase,Matchday 1,2024-09-17T19:00:00+00:00,date_only,sporting-clube-de-portugal,lille-osc,Sporting Clube de Portugal (POR),Lille OSC (FRA),2,0,openfootball,2024-09-17T00:00:00+00:00,sporting-clube-de-portugal,lille,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-004,2024-25,league_phase,Matchday 1,2024-09-17T19:00:00+00:00,date_only,fc-bayern-m-nchen,gnk-dinamo-zagreb,FC Bayern München (GER),GNK Dinamo Zagreb (CRO),9,2,openfootball,2024-09-17T00:00:00+00:00,bayern-munchen,dinamo-zagreb,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-005,2024-25,league_phase,Matchday 1,2024-09-17T19:00:00+00:00,date_only,real-madrid-cf,vfb-stuttgart,Real Madrid CF (ESP),VfB Stuttgart (GER),3,1,openfootball,2024-09-17T00:00:00+00:00,real-madrid,vfb-stuttgart,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-006,2024-25,league_phase,Matchday 1,2024-09-17T19:00:00+00:00,date_only,ac-milan,liverpool-fc,AC Milan (ITA),Liverpool FC (ENG),1,3,openfootball,2024-09-17T00:00:00+00:00,ac-milan,liverpool,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-007,2024-25,league_phase,Matchday 1,2024-09-18T16:45:00+00:00,date_only,bologna-fc-1909,fk-shakhtar-donetsk,Bologna FC 1909 (ITA),FK Shakhtar Donetsk (UKR),0,0,openfootball,2024-09-17T00:00:00+00:00,bologna,shakhtar-donetsk,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-008,2024-25,league_phase,Matchday 1,2024-09-18T16:45:00+00:00,date_only,ac-sparta-praha,fc-red-bull-salzburg,AC Sparta Praha (CZE),FC Red Bull Salzburg (AUT),3,0,openfootball,2024-09-17T00:00:00+00:00,ac-sparta-praha,red-bull-salzburg,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-009,2024-25,league_phase,Matchday 1,2024-09-18T19:00:00+00:00,date_only,manchester-city-fc,fc-internazionale-milano,Manchester City FC (ENG),FC Internazionale Milano (ITA),0,0,openfootball,2024-09-17T00:00:00+00:00,manchester-city,internazionale,2024-09-17T00:00:00+00:00,sofascore_event
ucl-2024-25-010,2024-25,league_phase,Matchday 1,2024-09-18T19:00:00+00:00,date_only,paris-saint-germain-fc,girona-fc,Paris Saint-Germain FC (FRA),Girona FC (ESP),1,0,openfootball,2024-09-17T00:00:00+00:00,paris-saint-germain,girona,2024-09-17T00:00:00+00:00,sofascore_event
