match_id,season,stage,matchday,kickoff_utc,kickoff_precision,home_club_id,away_club_id,home_name_source,away_name_source,home_goals,away_goals,source,source_published_at_utc,home_xg,away_xg,xg_source,sofascore_event_id,mapping_day_difference,mapping_score,_merge,kickoff_utc_parsed
ucl-2024-25-026,2024-25,league_phase,Matchday 2,2024-09-17T00:00:00+00:00,date_only,arsenal-fc,paris-saint-germain-fc,Arsenal FC (ENG),Paris Saint-Germain FC (FRA),2,0,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-027,2024-25,league_phase,Matchday 2,2024-09-17T00:00:00+00:00,date_only,psv,sporting-clube-de-portugal,PSV (NED),Sporting Clube de Portugal (POR),1,1,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-034,2024-25,league_phase,Matchday 2,2024-09-17T00:00:00+00:00,date_only,sport-lisboa-e-benfica,club-atl-tico-de-madrid,Sport Lisboa e Benfica (POR),Club Atlético de Madrid (ESP),4,0,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-041,2024-25,league_phase,Matchday 3,2024-09-17T00:00:00+00:00,date_only,sk-sturm-graz,sporting-clube-de-portugal,SK Sturm Graz (AUT),Sporting Clube de Portugal (POR),0,2,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-042,2024-25,league_phase,Matchday 3,2024-09-17T00:00:00+00:00,date_only,paris-saint-germain-fc,psv,Paris Saint-Germain FC (FRA),PSV (NED),1,1,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-053,2024-25,league_phase,Matchday 3,2024-09-17T00:00:00+00:00,date_only,sport-lisboa-e-benfica,feyenoord-rotterdam,Sport Lisboa e Benfica (POR),Feyenoord Rotterdam (NED),1,3,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-056,2024-25,league_phase,Matchday 4,2024-09-17T00:00:00+00:00,date_only,psv,girona-fc,PSV (NED),Girona FC (ESP),4,0,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-057,2024-25,league_phase,Matchday 4,2024-09-17T00:00:00+00:00,date_only,sporting-clube-de-portugal,manchester-city-fc,Sporting Clube de Portugal (POR),Manchester City FC (ENG),4,1,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-064,2024-25,league_phase,Matchday 4,2024-09-17T00:00:00+00:00,date_only,club-brugge-kv,aston-villa-fc,Club Brugge KV (BEL),Aston Villa FC (ENG),1,0,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-072,2024-25,league_phase,Matchday 4,2024-09-17T00:00:00+00:00,date_only,fc-bayern-m-nchen,sport-lisboa-e-benfica,FC Bayern München (GER),Sport Lisboa e Benfica (POR),1,0,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-075,2024-25,league_phase,Matchday 5,2024-09-17T00:00:00+00:00,date_only,sporting-clube-de-portugal,arsenal-fc,Sporting Clube de Portugal (POR),Arsenal FC (ENG),1,5,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-084,2024-25,league_phase,Matchday 5,2024-09-17T00:00:00+00:00,date_only,as-monaco-fc,sport-lisboa-e-benfica,AS Monaco FC (MCO),Sport Lisboa e Benfica (POR),2,3,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-090,2024-25,league_phase,Matchday 5,2024-09-17T00:00:00+00:00,date_only,psv,fk-shakhtar-donetsk,PSV (NED),FK Shakhtar Donetsk (UKR),3,2,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-093,2024-25,league_phase,Matchday 6,2024-09-17T00:00:00+00:00,date_only,stade-brestois-29,psv,Stade Brestois 29 (FRA),PSV (NED),1,0,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-097,2024-25,league_phase,Matchday 6,2024-09-17T00:00:00+00:00,date_only,club-brugge-kv,sporting-clube-de-portugal,Club Brugge KV (BEL),Sporting Clube de Portugal (POR),2,1,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-103,2024-25,league_phase,Matchday 6,2024-09-17T00:00:00+00:00,date_only,borussia-dortmund,fc-barcelona,Borussia Dortmund (GER),FC Barcelona (ESP),2,3,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
ucl-2024-25-105,2024-25,league_phase,Matchday 6,2024-09-17T00:00:00+00:00,date_only,sport-lisboa-e-benfica,bologna-fc-1909,Sport Lisboa e Benfica (POR),Bologna FC 1909 (ITA),0,0,openfootball,2024-09-17T00:00:00+00:00,,,,,,,left_only,2024-09-17 00:00:00+00:00
