match_id,season,sofascore_event_id,ballPossession_home,ballPossession_away,expectedGoals_home,expectedGoals_away,bigChanceCreated_home,bigChanceCreated_away,cornerKicks_home,cornerKicks_away,fouls_home,fouls_away,yellowCards_home,yellowCards_away,shotsOnGoal_home,shotsOnGoal_away,accuratePasses_home,accuratePasses_away,redCards_home,redCards_away
ucl-2024-25-001,2024-25,12764526,47,53,0.59,2.04,0.0,1.0,3,6,14,12,4.0,1.0,5,7,302,349,,
ucl-2024-25-002,2024-25,12764285,44,56,2.92,1.04,6.0,2.0,2,4,7,6,,,6,5,401,530,,
ucl-2024-25-003,2024-25,12764496,50,50,1.62,0.41,1.0,1.0,3,2,17,18,2.0,5.0,5,2,399,391,0.0,1.0
ucl-2024-25-004,2024-25,12764072,70,30,6.25,0.7,8.0,2.0,12,0,8,6,0.0,1.0,19,3,705,263,,
ucl-2024-25-005,2024-25,12764442,46,54,2.61,1.94,3.0,3.0,10,6,13,9,4.0,1.0,8,7,373,454,,
ucl-2024-25-006,2024-25,12763940,49,51,0.61,3.09,0.0,5.0,2,5,9,12,2.0,2.0,2,11,372,399,,
ucl-2024-25-007,2024-25,12764143,48,52,1.17,0.87,2.0,1.0,8,3,13,12,2.0,4.0,4,1,391,436,,
ucl-2024-25-008,2024-25,12764489,29,71,2.55,0.58,4.0,0.0,4,2,11,13,1.0,2.0,6,1,169,554,,
ucl-2024-25-009,2024-25,12764343,60,40,2.35,0.75,4.0,0.0,4,3,12,9,1.0,0.0,5,4,597,376,,
ucl-2024-25-010,2024-25,12764383,64,36,2.1,0.25,3.0,1.0,5,1,8,18,1.0,3.0,5,1,587,288,,
ucl-2024-25-011,2024-25,12764194,37,63,1.3,1.88,2.0,2.0,5,3,11,4,1.0,1.0,5,6,358,678,,
ucl-2024-25-012,2024-25,12764175,61,39,3.79,0.51,9.0,0.0,11,4,16,10,2.0,3.0,11,2,506,303,,
ucl-2024-25-013,2024-25,12764229,51,49,0.79,1.73,1.0,2.0,6,2,4,8,1.0,0.0,3,5,459,456,,
ucl-2024-25-014,2024-25,12764213,55,45,1.02,1.27,1.0,1.0,7,1,12,11,2.0,3.0,3,3,384,299,,
ucl-2024-25-015,2024-25,12764362,56,44,1.32,0.41,2.0,0.0,10,0,16,14,4.0,3.0,8,1,364,273,0.0,1.0
ucl-2024-25-016,2024-25,12764167,57,43,2.09,0.48,5.0,1.0,6,1,14,23,3.0,6.0,5,2,292,223,0.0,1.0
ucl-2024-25-017,2024-25,12763970,54,46,1.2,0.78,2.0,2.0,4,2,7,10,1.0,0.0,2,2,414,362,,
ucl-2024-25-018,2024-25,12763995,52,48,1.75,0.71,3.0,1.0,8,2,13,13,3.0,4.0,4,3,477,441,,
ucl-2024-25-019,2024-25,12764523,77,23,1.71,1.0,3.0,2.0,10,0,10,12,1.0,1.0,10,3,602,131,,
ucl-2024-25-020,2024-25,12764453,52,48,1.62,2.02,2.0,3.0,4,0,17,11,3.0,2.0,7,6,374,341,,
ucl-2024-25-021,2024-25,12764476,24,76,0.1,3.72,0.0,8.0,0,15,2,8,,,0,14,164,698,,
ucl-2024-25-022,2024-25,12764149,53,47,2.6,2.13,3.0,2.0,8,4,16,6,2.0,2.0,13,2,437,390,,
ucl-2024-25-023,2024-25,12764029,70,30,3.64,0.78,5.0,2.0,9,3,9,10,0.0,2.0,8,1,609,223,,
ucl-2024-25-024,2024-25,12764267,52,48,2.79,0.52,8.0,0.0,2,2,11,8,2.0,1.0,7,3,489,442,,
ucl-2024-25-025,2024-25,12764036,50,50,1.82,1.0,2.0,1.0,5,4,15,4,2.0,3.0,9,5,518,497,,
ucl-2024-25-028,2024-25,12764244,66,34,2.3,1.86,3.0,3.0,11,0,11,15,6.0,3.0,7,2,515,241,,
ucl-2024-25-029,2024-25,12764462,47,53,0.29,2.6,1.0,5.0,3,5,6,8,1.0,2.0,0,5,354,420,,
ucl-2024-25-030,2024-25,12763956,30,70,0.4,1.55,1.0,1.0,1,11,8,12,3.0,2.0,2,7,216,590,,
ucl-2024-25-031,2024-25,12764499,38,62,0.4,0.68,0.0,1.0,4,5,14,13,5.0,1.0,1,4,321,585,,
ucl-2024-25-032,2024-25,12764320,51,49,1.21,0.59,1.0,1.0,5,3,10,8,4.0,2.0,4,2,370,341,,
ucl-2024-25-033,2024-25,12764419,45,55,3.37,1.2,7.0,3.0,8,2,4,14,1.0,2.0,7,5,335,443,0.0,1.0
ucl-2024-25-035,2024-25,12764228,38,62,0.99,2.07,1.0,4.0,2,4,16,16,5.0,2.0,3,5,228,423,,
ucl-2024-25-036,2024-25,12764304,42,58,1.19,2.18,3.0,5.0,2,3,12,14,2.0,5.0,3,6,367,522,,
ucl-2024-25-037,2024-25,12764370,70,30,3.33,1.01,6.0,1.0,8,5,16,8,1.0,1.0,8,2,487,156,,
ucl-2024-25-038,2024-25,12763924,62,38,1.22,0.57,1.0,0.0,5,3,7,9,4.0,3.0,5,5,634,361,0.0,1.0
ucl-2024-25-039,2024-25,12763957,53,47,1.18,0.86,1.0,2.0,5,4,13,9,1.0,4.0,6,4,388,327,,
ucl-2024-25-040,2024-25,12764255,64,36,1.72,0.44,2.0,0.0,7,6,19,18,1.0,3.0,7,2,505,250,,
ucl-2024-25-043,2024-25,12764435,52,48,3.55,1.58,7.0,2.0,11,4,10,11,1.0,0.0,10,7,467,441,,
ucl-2024-25-044,2024-25,12763955,56,44,1.82,0.7,3.0,0.0,5,3,7,10,2.0,1.0,5,1,543,414,,
ucl-2024-25-045,2024-25,12764289,49,51,0.25,2.52,0.0,3.0,4,10,11,13,2.0,2.0,1,10,367,379,1.0,0.0
ucl-2024-25-046,2024-25,12764162,41,59,0.46,1.03,0.0,1.0,2,6,10,12,2.0,4.0,3,3,380,573,,
ucl-2024-25-047,2024-25,12763972,66,34,2.38,0.26,3.0,0.0,7,4,5,9,0.0,1.0,6,2,548,263,,
ucl-2024-25-048,2024-25,12764532,42,58,0.92,3.27,0.0,7.0,5,1,20,7,4.0,1.0,2,6,305,473,,
ucl-2024-25-049,2024-25,12764014,40,60,2.23,1.04,4.0,2.0,5,5,11,10,0.0,2.0,4,3,307,494,,
ucl-2024-25-050,2024-25,12764347,80,20,2.93,0.23,5.0,0.0,7,1,5,4,1.0,1.0,10,1,716,136,,
ucl-2024-25-051,2024-25,12764425,43,57,0.77,2.31,2.0,4.0,5,7,9,7,2.0,1.0,6,8,368,524,,
ucl-2024-25-052,2024-25,12763988,62,38,2.35,1.3,5.0,2.0,6,5,9,11,3.0,2.0,6,3,472,254,,
ucl-2024-25-054,2024-25,12764456,49,51,1.17,1.71,1.0,2.0,7,5,10,10,3.0,1.0,2,5,384,406,1.0,0.0
ucl-2024-25-055,2024-25,12764474,60,40,1.74,1.61,2.0,2.0,11,3,6,13,2.0,2.0,7,5,434,282,,
ucl-2024-25-058,2024-25,12764139,47,53,0.46,0.97,0.0,2.0,3,6,16,14,3.0,2.0,2,4,246,314,,
ucl-2024-25-059,2024-25,12764155,66,34,1.99,0.6,4.0,1.0,11,3,9,15,1.0,0.0,8,1,535,243,,
ucl-2024-25-060,2024-25,12764316,47,53,3.79,0.8,5.0,1.0,1,3,15,10,0.0,2.0,8,4,411,452,,
ucl-2024-25-061,2024-25,12764432,57,43,2.66,2.45,3.0,3.0,8,5,11,9,4.0,2.0,10,9,476,354,,
ucl-2024-25-062,2024-25,12764172,60,40,1.79,1.28,2.0,4.0,7,8,7,13,0.0,1.0,5,3,590,360,,
ucl-2024-25-063,2024-25,12764301,34,66,0.77,1.46,1.0,1.0,1,5,13,6,1.0,1.0,3,3,261,560,,
ucl-2024-25-065,2024-25,12764468,49,51,1.96,0.95,3.0,1.0,9,2,13,12,1.0,3.0,6,1,344,375,,
ucl-2024-25-066,2024-25,12764482,50,50,0.52,1.6,1.0,3.0,3,6,9,7,1.0,1.0,1,7,286,296,,
ucl-2024-25-067,2024-25,12764513,55,45,0.97,2.27,2.0,2.0,4,3,8,17,2.0,3.0,1,4,461,366,,
ucl-2024-25-068,2024-25,12764263,37,63,1.19,1.8,1.0,3.0,0,13,12,21,2.0,2.0,1,4,243,437,,
ucl-2024-25-069,2024-25,12764375,71,29,2.12,0.67,3.0,2.0,6,0,9,11,0.0,1.0,9,3,793,260,,
ucl-2024-25-070,2024-25,12764236,58,42,0.77,1.82,0.0,2.0,4,3,15,13,1.0,2.0,4,3,460,314,1.0,0.0
ucl-2024-25-071,2024-25,12764209,30,70,0.31,3.63,1.0,5.0,1,7,4,12,2.0,0.0,2,9,209,601,,
ucl-2024-25-073,2024-25,12764471,34,66,1.51,1.88,2.0,3.0,4,8,15,12,3.0,3.0,3,5,224,505,1.0,0.0
ucl-2024-25-074,2024-25,12764481,40,60,0.22,3.11,1.0,5.0,0,6,12,9,1.0,1.0,2,10,387,603,,
ucl-2024-25-076,2024-25,12764527,45,55,0.81,2.54,1.0,4.0,7,9,16,7,2.0,1.0,1,10,288,383,,
ucl-2024-25-077,2024-25,12764080,57,43,2.41,0.77,5.0,2.0,4,3,13,10,3.0,5.0,7,3,487,332,0.0,1.0
