[2026-08-09 11:05:00] ht_gameday_runner --sport afl --season 2026
Round 22: 3 game(s) today, first KO 13:10, last KO 19:20, poller stops 21:50

AFL Halftime Scraper — R22 2026
Polling every 30s. Ctrl+C to stop.

[11:05:01] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
[11:05:31] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
[11:06:01] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
[11:06:31] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
[11:07:02] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
[11:07:32] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
[11:08:02] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
[11:08:32] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
[11:09:02] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
[11:09:33] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
[11:10:03] No halftime games yet. States: [('Western Bulldogs vs North Melbourne', 'Full Time', 100), ('Brisbane Lions vs Hawthorn', 'Full Time', 100), ('Melbourne vs Fremantle', 'Full Time', 100), ('Sydney vs Port Adelaide', 'Full Time', 100), ('Geelong vs Essendon', 'Full Time', 100), ('Adelaide vs Richmond', 'Full Time', 100), ('Greater Western Sydney vs Gold Coast', None, 0), ('West Coast vs Collingwood', None, 0), ('St Kilda vs Carlton', None, 0)]
