date,home,away,venue,is_final,ml_home_prob,ml_margin,ml_total,ml_confidence,ml_home_odds,ml_away_odds,mkt_home_open,mkt_away_open,mkt_home_prob,home_line_open,total_line_open,ev_home,ev_away,handicap_edge,total_edge,actual_home_score,actual_away_score,actual_margin,actual_total,actual_home_win,home_covers,over_hit
2025-03-07,Sydney Swans,Hawthorn Hawks,SCG,0,0.6814,11.8,164.5,0.6814,1.468,3.138,1.85,1.97,0.5157,-1.5,170.5,0.2605,-0.3723,10.3,-6.0,76.0,96.0,-20.0,172.0,0,0,1
2025-03-09,Greater Western Sydney Giants,Collingwood Magpies,ENGIE Stadium,0,0.6598,18.0,175.4,0.6598,1.516,2.939,1.68,2.2,0.567,-7.5,169.5,0.1084,-0.2515,10.5,5.9,104.0,52.0,52.0,156.0,1,1,0
2025-03-13,Richmond Tigers,Carlton Blues,MCG,0,0.297,-11.5,180.1,0.703,3.367,1.423,9.5,1.06,0.1004,46.5,176.5,1.8218,-0.2549,35.0,3.6,82.0,69.0,13.0,151.0,1,1,0
2025-03-14,Hawthorn Hawks,Essendon Bombers,MCG,0,0.6977,15.8,194.8,0.6977,1.433,3.308,1.31,3.5,0.7277,-20.5,170.5,-0.086,0.058,-4.7,24.3,111.0,85.0,26.0,196.0,1,1,1
2025-03-15,Geelong Cats,Fremantle Dockers,GMHBA Stadium,0,0.541,8.3,140.1,0.541,1.848,2.179,1.54,2.5,0.6188,-10.5,170.5,-0.1669,0.1475,-2.2,-30.4,147.0,69.0,78.0,216.0,1,1,1
2025-03-15,Sydney Swans,Brisbane Lions,SCG,0,0.6833,8.6,169.0,0.6833,1.463,3.158,1.82,2.0,0.5236,1.5,176.5,0.2436,-0.3666,10.1,-7.5,82.0,86.0,-4.0,168.0,0,0,0
2025-03-15,Collingwood Magpies,Port Adelaide Power,MCG,0,0.5057,6.8,173.0,0.5057,1.977,2.023,1.62,2.3,0.5867,-8.5,165.5,-0.1808,0.1369,-1.7,7.5,136.0,45.0,91.0,181.0,1,1,1
2025-03-15,Western Bulldogs,North Melbourne Kangaroos,Marvel Stadium,0,0.7053,42.7,188.5,0.7053,1.418,3.394,1.22,4.35,0.781,-26.5,174.5,-0.1395,0.2818,16.2,14.0,113.0,97.0,16.0,210.0,1,0,1
2025-03-16,Adelaide Crows,St Kilda Saints,Adelaide Oval,0,0.6289,9.4,155.4,0.6289,1.59,2.694,1.42,2.9,0.6713,-15.5,159.5,-0.107,0.0763,-6.1,-4.1,135.0,72.0,63.0,207.0,1,1,1
2025-03-16,West Coast Eagles,Gold Coast Suns,Optus Stadium,0,0.4704,0.2,175.8,0.5296,2.126,1.888,2.7,1.47,0.3525,13.5,166.5,0.27,-0.2214,13.7,9.3,49.0,136.0,-87.0,185.0,0,0,1
