season,season_year,date,home_team,away_team,venue,is_final,split,home_elo,away_elo,elo_diff,elo_win_prob,home_rest_days,away_rest_days,rest_diff,home_travel_km,away_travel_km,travel_diff_km,home_win_pct,home_avg_margin,home_last_margin,home_form_games,home_off_big_win,home_off_big_loss,home_win_streak,home_loss_streak,away_win_pct,away_avg_margin,away_last_margin,away_form_games,away_off_big_win,away_off_big_loss,away_win_streak,away_loss_streak,home_ema_win_pct,home_ema_margin,home_opp_adj_margin,away_ema_win_pct,away_ema_margin,away_opp_adj_margin,ema_margin_diff,opp_adj_margin_diff,form_win_pct_diff,form_margin_diff,venue_games,venue_avg_total,venue_home_win_pct,h2h_home_open,h2h_away_open,h2h_home_close,h2h_away_close,mkt_home_prob_open,home_line_open,home_line_close,total_open,total_close,home_score,away_score,home_margin,total_score,home_win
2022,2022,2022-03-16,Melbourne Demons,Western Bulldogs,MCG,0,train,1729.73,1637.4,92.33,0.7121,21,21,0,1.9,1.9,0.0,0.875,40.25,74,8,1,0,7,0,0.5,6.75,-74,8,0,1,0,1,0.963,51.78,56.43,0.519,-0.65,-2.07,52.43,58.51,0.375,33.5,593,171.8,0.545,1.62,2.3,1.68,2.25,0.5867,-8.5,-6.5,159.5,162.5,97,71,26,168,1
2022,2022,2022-03-17,Carlton Blues,Richmond Tigers,MCG,0,train,1406.92,1495.96,-89.03,0.4655,21,21,0,1.9,1.9,0.0,0.375,-14.62,-14,8,0,0,0,3,0.25,-6.75,0,8,0,0,0,2,0.22,-25.23,-26.97,0.222,-6.62,-7.72,-18.61,-19.24,0.125,-7.88,594,171.8,0.545,3.35,1.33,2.5,1.56,0.2842,19.5,10.5,163.5,165.5,101,76,25,177,1
2022,2022,2022-03-18,St Kilda Saints,Collingwood Magpies,Marvel Stadium,0,train,1519.43,1397.58,121.85,0.7457,21,21,0,1.4,1.4,0.0,0.5,7.75,58,8,1,0,1,0,0.25,-18.38,-38,8,0,0,0,3,0.521,14.45,14.15,0.167,-29.88,-31.28,44.33,45.42,0.25,26.12,543,181.2,0.517,1.68,2.2,1.65,2.3,0.567,-6.5,-7.5,159.5,159.5,85,102,-17,187,0
2022,2022,2022-03-19,Geelong Cats,Essendon Bombers,MCG,0,train,1622.05,1511.39,110.66,0.7332,21,21,0,65.7,1.9,63.8,0.5,-5.25,-83,8,0,1,0,1,0.625,16.38,-49,8,0,1,0,1,0.383,-20.58,-24.99,0.568,8.21,5.34,-28.79,-30.33,-0.125,-21.62,595,171.8,0.546,1.5,2.6,1.68,2.25,0.6341,-12.5,-6.5,159.5,167.5,138,72,66,210,1
2022,2022,2022-03-19,Greater Western Sydney Giants,Sydney Swans,Accor Stadium,0,train,1541.22,1577.54,-36.31,0.5412,21,21,0,13.7,13.7,0.0,0.625,-0.25,-35,8,0,0,0,1,0.75,20.38,-1,8,0,0,0,1,0.619,-3.19,-4.31,0.605,21.88,19.58,-25.07,-23.89,-0.125,-20.62,27,170.3,0.407,1.8,2.02,2,1.85,0.5288,-2.5,2.5,153.5,160.5,92,112,-20,204,0
2022,2022,2022-03-19,Brisbane Lions,Port Adelaide Power,Gabba,0,train,1592.12,1624.4,-32.28,0.547,21,21,0,2.2,1600.6,-1598.4,0.5,21.25,-1,8,0,0,0,2,0.875,17.62,-71,8,0,1,0,1,0.411,15.26,12.89,0.722,4.68,3.13,10.58,9.77,-0.375,3.62,168,172.6,0.5,1.62,2.3,1.38,3.2,0.5867,-8.5,-17.5,168.5,172.5,80,69,11,149,1
2022,2022,2022-03-20,Hawthorn Hawks,North Melbourne Kangaroos,MCG,0,train,1420.26,1309.49,110.77,0.7334,21,21,0,1.9,1.9,0.0,0.375,-7.12,0,8,0,0,0,1,0.25,-13.62,-44,8,0,1,0,4,0.482,4.0,4.93,0.137,-20.98,-20.18,24.99,25.11,0.125,6.5,596,171.8,0.547,1.68,2.2,1.83,2.02,0.567,-6.5,-2.5,157.5,164.5,78,58,20,136,1
2022,2022,2022-03-20,Adelaide Crows,Fremantle Dockers,Adelaide Oval,0,train,1366.46,1434.92,-68.46,0.495,21,21,0,1.5,2130.7,-2129.2,0.25,-23.5,44,8,1,0,1,0,0.375,-20.75,-58,8,0,1,0,1,0.366,-8.83,-13.09,0.375,-28.11,-30.14,19.28,17.05,-0.125,-2.75,182,164.2,0.61,2.05,1.78,1.72,2.18,0.4648,3.5,-5.5,158.5,162.5,82,83,-1,165,0
2022,2022,2022-03-20,West Coast Eagles,Gold Coast Suns,Optus Stadium,0,train,1445.31,1367.81,77.5,0.6943,21,21,0,2.6,3621.3,-3618.7,0.25,-19.88,-38,8,0,0,0,4,0.375,-35.38,-87,8,0,1,0,2,0.154,-20.8,-21.59,0.243,-51.47,-54.95,30.67,33.36,-0.125,15.5,90,153.8,0.656,1.27,3.85,2.3,1.65,0.752,-23.5,7.5,156.5,161.5,80,107,-27,187,0
2022,2022,2022-03-24,Western Bulldogs,Carlton Blues,Marvel Stadium,0,train,1614.75,1448.51,166.24,0.791,8,7,1,1.4,1.4,0.0,0.375,-2.62,-26,8,0,0,0,2,0.375,-13.5,25,8,0,0,1,0,0.361,-9.07,-11.08,0.415,-12.42,-13.73,3.35,2.65,0.0,10.88,544,181.2,0.517,1.44,2.8,1.58,2.45,0.6604,-14.5,-9.5,170.5,169.5,90,102,-12,192,0
2022,2022,2022-03-25,Sydney Swans,Geelong Cats,SCG,0,train,1616.88,1648.83,-31.95,0.5474,6,6,0,2.9,777.5,-774.7,0.75,20.5,20,8,0,0,1,0,0.5,-1.75,66,8,1,0,1,0,0.704,21.44,19.79,0.537,1.85,-1.35,19.59,21.14,0.25,22.25,117,166.7,0.65,1.68,2.2,1.83,2.02,0.567,-6.5,-2.5,142.5,156.5,107,77,30,184,1
2022,2022,2022-03-26,Collingwood Magpies,Adelaide Crows,MCG,0,train,1449.05,1358.26,90.78,0.7103,8,6,2,1.9,655.5,-653.5,0.375,-15.12,17,8,0,0,1,0,0.25,-17.12,-1,8,0,0,0,1,0.403,-17.44,-18.42,0.274,-5.45,-8.43,-11.98,-9.99,0.125,2.0,597,171.8,0.548,1.62,2.3,1.33,3.5,0.5867,-8.5,-19.5,163.5,168.5,100,58,42,158,1
2022,2022,2022-03-26,Essendon Bombers,Brisbane Lions,Marvel Stadium,0,train,1484.61,1619.01,-134.4,0.4014,7,7,0,1.4,1375.5,-1374.1,0.5,0.25,-66,8,0,1,0,2,0.625,25.12,11,8,0,0,1,0,0.398,-13.93,-17.38,0.586,15.06,13.54,-28.99,-30.91,-0.125,-24.88,545,181.2,0.516,2.4,1.58,3,1.42,0.397,9.5,15.5,164.5,179.5,75,97,-22,172,0
2022,2022,2022-03-26,Gold Coast Suns,Melbourne Demons,People First Stadium,0,train,1423.05,1752.39,-329.34,0.1792,6,10,-4,1.6,1343.8,-1342.2,0.375,-33.25,27,8,0,0,1,0,1.0,46.0,26,8,0,0,8,0,0.432,-31.38,-34.28,1.0,46.61,50.83,-77.99,-85.11,-0.625,-79.25,148,157.6,0.378,5,1.18,3.85,1.28,0.1909,30.5,22.5,156.5,145.5,69,82,-13,151,0
2022,2022,2022-03-26,Port Adelaide Power,Hawthorn Hawks,Adelaide Oval,0,train,1597.52,1439.65,157.87,0.783,7,6,1,1.5,654.6,-653.2,0.75,14.62,-11,8,0,0,0,2,0.5,-0.38,20,8,0,0,1,0,0.514,0.09,-1.28,0.639,9.51,9.58,-9.41,-10.85,0.25,15.0,183,164.2,0.607,1.22,4.35,1.28,3.85,0.781,-26.5,-22.5,159.5,158.5,56,120,-64,176,0
2022,2022,2022-03-27,North Melbourne Kangaroos,West Coast Eagles,Marvel Stadium,0,train,1290.11,1390.06,-99.96,0.4499,7,7,0,1.4,2720.2,-2718.8,0.25,-12.5,-20,8,0,0,0,5,0.25,-11.75,-27,8,0,0,0,5,0.103,-20.49,-19.48,0.115,-20.54,-20.49,0.05,1.01,0.0,-0.75,546,181.2,0.515,1.7,2.18,1.25,4.15,0.5619,-5.5,-25.5,162.5,170.5,74,59,15,133,1
2022,2022,2022-03-27,Fremantle Dockers,St Kilda Saints,Optus Stadium,0,train,1443.11,1467.97,-24.85,0.5575,7,9,-2,2.6,2719.1,-2716.5,0.5,-18.62,1,8,0,0,1,0,0.375,4.5,-17,8,0,0,0,1,0.559,-20.36,-21.94,0.363,5.86,5.98,-26.23,-27.92,0.125,-23.12,91,154.2,0.648,1.75,2.1,1.83,2.02,0.5455,-4.5,-2.5,163.5,164.5,55,65,-10,120,0
2022,2022,2022-03-27,Richmond Tigers,Greater Western Sydney Giants,MCG,0,train,1454.37,1501.88,-47.51,0.5252,10,8,2,1.9,712.4,-710.5,0.25,-8.62,-25,8,0,0,0,3,0.625,0.5,-20,8,0,0,0,2,0.167,-11.63,-12.06,0.464,-7.22,-8.32,-4.41,-3.75,-0.375,-9.12,598,171.8,0.548,1.58,2.4,2.5,1.56,0.603,-9.5,10.5,164.5,168.5,109,73,36,182,1
2022,2022,2022-03-31,Western Bulldogs,Sydney Swans,Marvel Stadium,0,train,1566.3,1653.99,-87.7,0.4674,7,6,1,1.4,714.7,-713.3,0.375,-2.5,-12,8,0,0,0,3,0.75,21.0,30,8,0,0,2,0,0.271,-9.78,-11.18,0.778,23.69,23.28,-33.47,-34.46,-0.375,-23.5,547,181.1,0.516,1.65,2.25,1.77,2.1,0.5769,-7.5,-3.5,176.5,174.5,71,60,11,131,1
2022,2022,2022-04-01,Melbourne Demons,Essendon Bombers,MCG,0,train,1763.68,1454.55,309.13,0.896,6,6,0,1.9,1.9,0.0,1.0,35.38,13,8,0,0,8,0,0.375,-4.75,-22,8,0,0,0,3,1.0,35.85,39.12,0.271,-17.06,-20.05,52.91,59.16,0.625,40.12,599,171.8,0.549,1.3,3.6,1.24,4.25,0.7347,-21.5,-25.5,168.5,164.5,99,70,29,169,1
2022,2022,2022-04-01,Adelaide Crows,Port Adelaide Power,Adelaide Oval,0,train,1332.24,1519.47,-187.23,0.331,6,6,0,1.5,1.5,0.0,0.25,-14.5,-42,8,0,1,0,2,0.625,3.12,-64,8,0,1,0,3,0.206,-14.01,-15.89,0.358,-18.49,-18.74,4.48,2.86,-0.375,-17.62,184,164.3,0.603,2.8,1.44,3.1,1.4,0.3396,14.5,16.5,160.5,159.5,96,92,4,188,1
2022,2022,2022-04-02,Greater Western Sydney Giants,Gold Coast Suns,ENGIE Stadium,0,train,1460.93,1411.76,49.18,0.6586,6,7,-1,19.1,687.4,-668.3,0.5,-5.62,-36,8,0,0,0,3,0.25,-35.0,-13,8,0,0,0,1,0.32,-15.78,-16.3,0.296,-27.17,-29.95,11.39,13.66,0.25,29.38,79,175.1,0.595,1.42,2.9,1.6,2.4,0.6713,-15.5,-8.5,149.5,162.5,83,57,26,140,1
2022,2022,2022-04-02,Brisbane Lions,North Melbourne Kangaroos,Gabba,0,train,1649.06,1326.53,322.53,0.903,7,6,1,2.2,1373.6,-1371.4,0.625,21.75,22,8,0,0,2,0,0.25,-11.88,15,8,0,0,1,0,0.689,16.04,14.98,0.327,-11.48,-11.03,27.52,26.0,0.375,33.62,169,172.4,0.503,1.17,5.25,1.06,10.5,0.8178,-30.5,-46.5,163.5,167.5,156,48,108,204,1
2022,2022,2022-04-02,Collingwood Magpies,Geelong Cats,MCG,0,train,1475.07,1611.72,-136.65,0.3983,7,8,-1,1.9,65.7,-63.8,0.375,-11.88,42,8,1,0,2,0,0.375,-8.0,-30,8,0,0,0,1,0.552,-1.85,-3.71,0.375,-7.51,-10.48,5.65,6.77,0.0,-3.88,600,171.8,0.55,2.55,1.52,2.55,1.54,0.3735,11.5,11.5,166.5,163.5,91,104,-13,195,0
