season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg,h_corners_won,h_corners_conceded,a_corners_won,a_corners_conceded
2021/22,2021-08-06,Bournemouth,West Brom,D,2,2,1.669,1.213,0.4529,0.2696,0.2775,2.208,3.709,3.604,1.819,2.222,2.42,3.44,3.3,2.11,1.86,0.09405,0.20515,0.5335,0.07699,0.6032,1.31085,0.325,9.6,-7.25,-8.44,16.0,-16.29,1545.7,1556.6,-11.0,1,,,,,90,380.0,-290.0,6.0,6.0,0.0,D Whitestone,0.4788732394366197,2.676056338028169,2.492957746478873,4.9,4.9,5.6,4.3
2021/22,2021-08-07,Derby,Huddersfield,D,1,1,1.735,1.07,0.4869,0.2661,0.247,2.054,3.758,4.048,1.881,2.135,5.0,3.95,1.82,2.17,1.81,0.09936,0.23704,0.53862,0.06103,0.66723,1.32392,0.28374,143.43,5.11,-55.04,15.36,-15.22,1420.5,1433.5,-13.0,0,,,,,91,91.0,0.0,1.0,5.0,-4.0,G Eltringham,0.43137254901960786,2.5620915032679736,3.156862745098039,3.9,3.9,4.7,5.3
2021/22,2021-08-07,Bristol City,Blackpool,D,1,1,1.923,0.929,0.5231,0.2434,0.2334,1.912,4.108,4.284,1.842,2.188,2.32,3.45,3.43,2.25,1.74,0.10939,0.27368,0.57242,0.0545,0.74054,1.413,0.26585,21.34,-16.02,-19.93,22.15,-20.48,1402.1,1484.2,-82.2,0,,,,,91,2289.0,-2198.0,1.0,1.0,0.0,A Davies,0.45454545454545453,2.606060606060606,3.492424242424242,3.9,5.4,3.7,7.9
2021/22,2021-08-07,Cardiff,Barnsley,D,1,1,1.664,1.032,0.4804,0.2711,0.2485,2.082,3.689,4.024,1.978,2.022,2.4,3.4,3.57,2.43,1.65,0.09752,0.2308,0.5313,0.06174,0.65473,1.30527,0.28566,15.27,-7.83,-11.28,22.85,-18.4,1539.1,1554.4,-15.3,0,,,,,91,91.0,0.0,9.0,7.0,2.0,S Martin,0.423841059602649,2.3973509933774833,2.5165562913907285,4.4,4.0,5.5,4.1
2021/22,2021-08-07,Preston,Hull,A,1,4,1.768,1.214,0.4968,0.2576,0.2456,2.013,3.882,4.072,1.746,2.341,2.45,3.44,3.26,2.11,1.87,0.272,0.24684,0.06636,0.56916,0.68683,0.29787,1.40417,21.71,-11.39,-19.94,20.85,-20.12,1494.3,1426.5,67.8,1,,,,,91,381.0,-290.0,13.0,0.0,13.0,G Ward,0.4105263157894737,2.1894736842105265,3.2736842105263158,4.5,4.8,4.7,4.7
2021/22,2021-08-07,Blackburn,Swansea,H,2,1,1.334,1.418,0.345,0.2735,0.3815,2.898,3.657,2.621,1.927,2.079,2.26,3.41,3.75,2.33,1.68,0.19152,0.42901,0.07479,0.14555,1.06418,0.31949,0.48047,-22.02,-6.75,43.08,20.91,-19.19,1468.5,1548.4,-79.8,1,,,,,91,91.0,0.0,10.0,5.0,5.0,D Webb,0.4,2.72,2.66,5.1,3.4,4.6,5.1
2021/22,2021-08-07,QPR,Millwall,D,1,1,1.508,1.184,0.4401,0.279,0.281,2.272,3.584,3.559,1.983,2.017,2.19,3.5,3.84,2.33,1.71,0.09086,0.19366,0.51987,0.07893,0.57994,1.27661,0.32982,-3.61,-2.34,7.9,17.5,-15.22,1524.7,1501.7,23.0,0,,,,,91,91.0,0.0,12.0,4.0,8.0,O Langford,0.3924050632911392,2.5759493670886076,3.1962025316455698,4.4,4.9,3.9,5.2
2021/22,2021-08-07,Stoke,Reading,H,3,2,1.479,1.202,0.4167,0.2799,0.3034,2.4,3.573,3.296,1.993,2.007,2.15,3.4,4.0,2.51,1.61,0.14408,0.3402,0.07834,0.09203,0.87531,0.32836,0.3615,-10.42,-4.84,21.36,25.94,-19.78,1476.0,1502.9,-26.8,1,,,,,91,91.0,0.0,5.0,4.0,1.0,M Donohue,0.43478260869565216,2.4565217391304346,3.152173913043478,6.0,2.8,5.5,5.3
2021/22,2021-08-07,Sheffield United,Birmingham,A,0,1,1.884,0.813,0.5961,0.2415,0.1624,1.678,4.141,6.156,1.977,2.023,1.9,3.6,5.0,2.31,1.69,0.35228,0.35531,0.05832,0.70152,0.90654,0.2764,1.81751,13.23,-13.06,-18.78,16.84,-16.46,1553.9,1449.2,104.6,0,,,,,825,91.0,734.0,11.0,7.0,4.0,T Robinson,0.4539877300613497,2.5092024539877302,3.294478527607362,6.7,4.1,3.6,4.4
2021/22,2021-08-07,Luton,Peterboro,H,3,0,1.261,1.256,0.3712,0.2911,0.3377,2.694,3.435,2.962,2.172,1.854,2.3,3.61,3.5,2.11,1.9,0.16978,0.39534,0.08474,0.11401,0.99091,0.34404,0.41198,-14.63,5.09,18.16,-2.85,2.48,1485.8,1500.0,-14.2,1,,,,,91,,,6.0,,,A Woolmer,0.4,2.5714285714285716,2.7904761904761903,6.1,5.2,,
