season,date,home,away,result,fthg,ftag,lambda,mu,p_home,p_draw,p_away,model_home,model_draw,model_away,model_over25,model_under25,close_home,close_draw,close_away,close_over25,close_under25,rps,brier_h,brier_d,brier_a,ll_h,ll_d,ll_a,clv_home,clv_draw,clv_away,clv_over25,clv_under25,elo_home,elo_away,elo_diff,actual_over25,ppda_home,ppda_away,ppda_diff,ppda_sum,rest_days_home,rest_days_away,rest_diff,form5_home,form5_away,form5_diff,referee,ref_home_win_rate,ref_goals_pg,ref_cards_pg,h_corners_won,h_corners_conceded,a_corners_won,a_corners_conceded
2017/18,2017-08-04,Nott'm Forest,Millwall,H,1,0,2.222,0.979,0.5772,0.2294,0.1934,1.732,4.359,5.172,1.612,2.634,,,,,,0.07204,0.17875,0.05264,0.03739,0.54954,0.26063,0.21487,,,,,,1444.7,1457.5,-12.8,0,,,,,89,825.0,-736.0,6.0,5.0,1.0,P Bankes,0.41304347826086957,2.239130434782609,3.9782608695652173,5.8,4.0,5.0,6.0
2017/18,2017-08-05,Fulham,Norwich,D,1,1,2.195,1.898,0.456,0.2315,0.3124,2.193,4.319,3.201,1.29,4.448,,,,,,0.10186,0.20797,0.59056,0.09762,0.60888,1.46309,0.37461,,,,,,1579.0,1540.5,38.5,0,,,,,90,90.0,0.0,13.0,10.0,3.0,J Linington,0.5454545454545454,2.890909090909091,3.8545454545454545,8.5,2.6,5.1,4.4
2017/18,2017-08-05,Aston Villa,Hull,D,1,1,1.011,0.987,0.3506,0.3165,0.333,2.852,3.16,3.003,3.098,1.477,,,,,,0.07792,0.1229,0.46721,0.11086,0.43166,1.15053,0.40491,,,,,,1500.5,1551.8,-51.4,0,,,,,90,455.0,-365.0,4.0,10.0,-6.0,A Madley,0.5,2.6774193548387095,3.306451612903226,5.4,5.4,5.0,4.9
2017/18,2017-08-05,Burton,Cardiff,A,0,1,1.425,1.458,0.3645,0.2712,0.3643,2.744,3.687,2.745,1.818,2.223,,,,,,0.17896,0.13282,0.07355,0.40406,0.45326,0.31637,1.00967,,,,,,1465.5,1514.3,-48.8,0,,,,,90,90.0,0.0,7.0,7.0,0.0,G Eltringham,0.3958333333333333,2.625,3.0416666666666665,5.7,5.6,3.8,5.7
2017/18,2017-08-05,Wolves,Middlesbrough,H,1,0,0.906,1.374,0.2655,0.287,0.4475,3.766,3.485,2.235,2.509,1.663,,,,,,0.24658,0.53946,0.08235,0.20027,1.32606,0.33822,0.59333,,,,,,1481.3,1578.6,-97.3,0,,,,,90,455.0,-365.0,7.0,7.0,0.0,D Bond,0.49019607843137253,2.549019607843137,3.0,5.1,3.7,6.4,4.5
2017/18,2017-08-05,Bristol City,Barnsley,H,3,1,2.05,1.783,0.4332,0.2416,0.3252,2.308,4.14,3.075,1.358,3.794,,,,,,0.14235,0.32127,0.05836,0.10578,0.83658,0.2765,0.3934,,,,,,1459.6,1469.5,-9.9,1,,,,,90,90.0,0.0,10.0,2.0,8.0,A Davies,0.46,2.68,3.64,5.4,3.9,3.9,8.4
2017/18,2017-08-05,Preston,Sheffield Weds,H,1,0,1.195,1.331,0.3297,0.283,0.3873,3.033,3.534,2.582,2.161,1.862,,,,,,0.19977,0.44929,0.08008,0.15001,1.10954,0.33265,0.4899,,,,,,1493.7,1577.7,-84.0,0,,,,,90,90.0,0.0,1.0,12.0,-11.0,T Harrington,0.5555555555555556,2.511111111111111,3.066666666666667,5.4,4.2,4.6,2.9
2017/18,2017-08-05,QPR,Reading,H,2,0,1.748,1.611,0.3797,0.2462,0.3741,2.633,4.062,2.673,1.533,2.876,,,,,,0.17489,0.38472,0.06059,0.13995,0.96826,0.28257,0.46857,,,,,,1448.2,1565.4,-117.3,0,,,,,90,90.0,0.0,3.0,12.0,-9.0,S Duncan,0.4107142857142857,2.482142857142857,2.7857142857142856,5.2,5.4,3.8,6.4
2017/18,2017-08-05,Ipswich,Birmingham,H,1,0,1.556,1.146,0.4559,0.2764,0.2677,2.194,3.618,3.735,1.973,2.028,,,,,,0.12259,0.29608,0.07639,0.07168,0.78555,0.3235,0.31162,,,,,,1475.6,1449.3,26.2,0,,,,,90,90.0,0.0,6.0,7.0,-1.0,T Robinson,0.4782608695652174,2.217391304347826,3.608695652173913,4.8,5.2,4.4,5.0
2017/18,2017-08-06,Bolton,Leeds,A,2,3,1.396,1.813,0.2917,0.2459,0.4623,3.428,4.066,2.163,1.608,2.646,,,,,,0.12474,0.08511,0.06049,0.2891,0.34494,0.28228,0.7715,,,,,,1402.2,1538.2,-136.0,1,,,,,456,91.0,365.0,4.0,3.0,1.0,S Hooper,0.4931506849315068,2.4794520547945207,3.26027397260274,5.8,6.0,4.2,7.6
