match,home,away,fthg,ftag,ftr,total_goals,model_h_pct,model_d_pct,model_a_pct,close_h_pct,close_d_pct,close_a_pct,clv_h,clv_d,clv_a,winner_clv,model_o25_pct,model_u25_pct,close_o25_pct,close_u25_pct,clv_o25,clv_u25,ou_outcome,ou_clv
Wolves v Blackburn,Wolves,Blackburn,2,2,D,4,47.7,28.0,24.2,63.5,22.0,14.5,-15.8,+6.0,+9.7,+6.0,44.9,55.1,51.2,48.8,-6.3,+6.3,OVER,-6.3
Bolton v Preston,Bolton,Preston,2,1,H,3,44.7,28.5,26.8,40.2,28.6,31.2,+4.5,-0.1,-4.4,+4.5,44.9,55.1,47.2,52.8,-2.3,+2.3,OVER,-2.3
Bristol City v Millwall,Bristol City,Millwall,0,2,A,2,31.4,28.0,40.6,37.8,27.8,34.4,-6.4,+0.2,+6.2,+6.2,44.9,55.1,49.5,50.5,-4.6,+4.6,UNDER,+4.6
Charlton v Derby,Charlton,Derby,2,1,H,3,33.3,30.6,36.1,35.5,30.1,34.4,-2.2,+0.5,+1.7,-2.2,44.9,55.1,41.9,58.1,+3.0,-3.0,OVER,+3.0
Middlesbrough v Lincoln,Middlesbrough,Lincoln,2,1,H,3,51.1,27.2,21.7,63.3,21.7,15.0,-12.2,+5.5,+6.7,-12.2,44.9,55.1,53.6,46.4,-8.7,+8.7,OVER,-8.7
Norwich v West Brom,Norwich,West Brom,1,2,A,3,40.4,29.8,29.8,48.1,26.6,25.3,-7.7,+3.2,+4.5,+4.5,44.9,55.1,50.3,49.7,-5.4,+5.4,OVER,-5.4
Portsmouth v QPR,Portsmouth,QPR,1,3,A,4,47.4,26.8,25.8,40.2,29.4,30.4,+7.2,-2.6,-4.6,-4.6,47.6,52.4,42.9,57.1,+4.7,-4.7,OVER,+4.7
Stoke v Swansea,Stoke,Swansea,1,2,A,3,35.8,27.9,36.3,41.3,27.9,30.8,-5.5,-0.0,+5.5,+5.5,47.6,52.4,48.7,51.3,-1.1,+1.1,OVER,-1.1
Sheffield United v Birmingham,Sheffield United,Birmingham,0,0,D,0,59.5,23.4,17.0,43.0,28.2,28.8,+16.5,-4.8,-11.8,-4.8,47.6,52.4,46.4,53.6,+1.2,-1.2,UNDER,-1.2
Watford v Southampton,Watford,Southampton,2,1,H,3,32.6,23.6,43.8,26.2,25.7,48.1,+6.4,-2.1,-4.3,+6.4,60.4,39.6,55.4,44.6,+5.0,-5.0,OVER,+5.0
Burnley v West Ham,Burnley,West Ham,2,2,D,4,47.5,27.3,25.3,31.0,27.0,42.0,+16.5,+0.3,-16.7,+0.3,44.9,55.1,53.8,46.2,-8.9,+8.9,OVER,-8.9
Cardiff v Wrexham,Cardiff,Wrexham,1,1,D,2,39.9,26.7,33.4,38.2,26.7,35.1,+1.7,-0.0,-1.7,-0.0,47.6,52.4,56.7,43.3,-9.1,+9.1,UNDER,+9.1
