Referee,games,first_match,last_match,home_goals_pg,away_goals_pg,home_win_pct,draw_pct,home_card_pts_pg,away_card_pts_pg,home_yellows_pg,away_yellows_pg,home_reds_pg,away_reds_pg,goal_bias,card_bias,homewin_bias,homewin_z
K Stroud,259,2014-08-23,2024-08-31,1.564,1.181,0.471,0.251,1.965,2.336,1.842,2.205,0.065,0.069,0.091,0.025,0.039,1.264
O Langford,258,2014-08-09,2025-05-03,1.357,1.182,0.391,0.26,1.523,2.124,1.422,1.961,0.053,0.086,-0.117,0.255,-0.041,-1.319
J Linington,252,2014-08-09,2025-05-03,1.46,1.183,0.484,0.194,1.806,2.123,1.726,1.933,0.04,0.097,-0.013,-0.029,0.052,1.666
S Martin,243,2014-08-09,2025-05-03,1.387,1.07,0.44,0.263,1.444,1.782,1.37,1.65,0.039,0.069,0.026,-0.009,0.008,0.257
T Robinson,236,2014-08-23,2025-04-26,1.487,1.042,0.462,0.258,1.78,2.153,1.661,1.924,0.06,0.115,0.154,0.027,0.03,0.922
J Simpson,229,2014-09-20,2025-05-03,1.467,1.122,0.419,0.306,1.795,2.017,1.629,1.852,0.084,0.084,0.054,-0.123,-0.013,-0.395
D Bond,226,2014-08-30,2025-05-03,1.513,1.013,0.465,0.283,1.522,2.027,1.407,1.85,0.059,0.091,0.209,0.158,0.032,0.985
D Webb,219,2014-08-19,2025-04-21,1.457,1.215,0.42,0.274,1.516,1.612,1.416,1.493,0.053,0.063,-0.049,-0.25,-0.012,-0.36
G Eltringham,214,2014-08-23,2025-01-01,1.36,1.089,0.402,0.262,1.692,1.935,1.561,1.794,0.068,0.072,-0.02,-0.103,-0.03,-0.894
A Davies,211,2014-10-04,2025-04-21,1.365,1.095,0.422,0.289,1.498,2.147,1.422,1.976,0.039,0.089,-0.021,0.303,-0.01,-0.303
G Ward,199,2014-08-16,2025-04-21,1.317,1.045,0.472,0.236,1.578,2.156,1.467,1.975,0.058,0.095,-0.02,0.232,0.04,1.145
T Harrington,188,2014-08-09,2025-04-18,1.532,1.17,0.489,0.191,1.638,1.729,1.521,1.58,0.059,0.075,0.071,-0.256,0.057,1.584
D Whitestone,168,2014-09-27,2025-04-26,1.333,1.119,0.435,0.262,1.363,1.631,1.304,1.571,0.03,0.03,-0.077,-0.078,0.002,0.062
M Donohue,160,2019-08-10,2025-04-26,1.338,1.038,0.456,0.231,1.912,2.219,1.738,2.056,0.097,0.09,0.009,-0.04,0.024,0.615
S Hooper,152,2014-08-10,2024-11-09,1.441,1.224,0.447,0.263,1.572,2.039,1.467,1.961,0.053,0.04,-0.074,0.121,0.015,0.379
A Madley,150,2014-08-08,2024-12-15,1.46,1.14,0.5,0.173,1.593,1.947,1.487,1.747,0.054,0.101,0.029,0.007,0.068,1.678
A Woolmer,143,2014-08-23,2023-05-08,1.315,1.098,0.357,0.343,1.476,1.629,1.392,1.573,0.042,0.028,-0.074,-0.192,-0.076,-1.823
P Bankes,140,2015-01-17,2024-12-26,1.329,1.171,0.4,0.279,1.943,2.457,1.829,2.257,0.057,0.1,-0.134,0.168,-0.032,-0.768
S Duncan,113,2014-08-09,2020-07-19,1.451,1.0,0.469,0.265,1.531,1.973,1.372,1.637,0.08,0.168,0.16,0.096,0.037,0.791
D Coote,106,2014-10-21,2024-08-16,1.425,1.132,0.425,0.292,1.83,2.321,1.698,2.189,0.067,0.067,0.001,0.145,-0.008,-0.158
D England,106,2017-03-04,2024-10-26,1.453,1.104,0.443,0.33,1.896,2.132,1.821,2.019,0.038,0.058,0.058,-0.11,0.011,0.234
J Smith,103,2020-09-26,2025-03-12,1.379,1.301,0.437,0.223,1.971,2.097,1.835,2.0,0.074,0.053,-0.213,-0.22,0.005,0.097
J Brooks,100,2017-12-23,2024-10-05,1.45,1.19,0.41,0.33,1.7,2.12,1.64,1.96,0.03,0.08,-0.031,0.074,-0.022,-0.447
