Referee,team,games,home_games,pts_pct_with_ref,pts_pct_other_refs,card_pts_vs_team_with_ref,card_pts_vs_team_other_refs,pts_delta,card_delta
A Madley,Sheffield Weds,10,5,0.767,0.427,1.8,1.823,0.339,-0.023
O Langford,Hull,18,7,0.741,0.407,1.944,1.689,0.334,0.256
G Ward,Millwall,18,8,0.759,0.433,2.222,1.697,0.326,0.525
J Linington,Ipswich,10,6,0.733,0.411,1.5,1.723,0.323,-0.223
T Robinson,Fulham,18,12,0.852,0.541,1.778,1.811,0.311,-0.034
S Martin,Leeds,11,7,0.879,0.577,1.455,1.849,0.302,-0.395
T Harrington,Wigan,10,5,0.633,0.331,1.8,2.034,0.302,-0.234
T Robinson,Ipswich,11,8,0.667,0.372,1.636,1.751,0.295,-0.115
G Scott,Sheffield Weds,10,5,0.733,0.444,2.7,1.918,0.289,0.782
D Webb,Leeds,11,7,0.848,0.57,1.091,1.891,0.279,-0.8
J Simpson,West Brom,11,8,0.788,0.514,1.727,1.826,0.273,-0.099
G Eltringham,Birmingham,12,7,0.639,0.383,1.5,1.871,0.256,-0.371
A Davies,Luton,11,7,0.697,0.447,1.273,1.831,0.249,-0.558
M Donohue,Bristol City,11,7,0.667,0.423,1.818,1.623,0.244,0.196
A Madley,Aston Villa,11,6,0.727,0.517,2.0,1.74,0.21,0.26
J Linington,Birmingham,13,6,0.564,0.367,2.077,1.961,0.197,0.116
A Madley,Preston,15,6,0.644,0.45,2.333,1.888,0.195,0.445
S Martin,Nott'm Forest,14,7,0.619,0.434,1.214,2.055,0.185,-0.841
D Webb,Coventry,13,5,0.641,0.456,2.308,1.747,0.185,0.561
O Langford,Middlesbrough,21,11,0.683,0.5,1.81,1.791,0.182,0.018
G Eltringham,Leeds,12,8,0.722,0.544,1.833,1.917,0.178,-0.083
M Donohue,QPR,14,6,0.595,0.419,2.143,1.992,0.177,0.15
P Bankes,Bristol City,11,6,0.606,0.43,2.273,1.608,0.176,0.665
A Davies,Middlesbrough,13,7,0.692,0.519,1.692,1.794,0.173,-0.102
A Madley,Middlesbrough,16,12,0.708,0.536,1.375,1.859,0.172,-0.484
A Woolmer,Cardiff,13,7,0.615,0.443,1.154,1.851,0.172,-0.697
A Woolmer,Brentford,12,7,0.694,0.523,1.25,1.564,0.172,-0.314
G Ward,Luton,14,8,0.619,0.449,1.929,1.796,0.17,0.132
S Hooper,Fulham,13,4,0.692,0.526,1.769,1.81,0.166,-0.041
D Bond,Sheffield United,15,8,0.756,0.592,2.2,2.014,0.163,0.186
T Harrington,Derby,13,4,0.641,0.478,1.769,1.806,0.163,-0.036
C Kavanagh,Leeds,11,3,0.667,0.504,1.909,2.0,0.162,-0.091
J Busby,Luton,10,4,0.633,0.473,2.1,1.845,0.16,0.255
G Ward,Norwich,13,9,0.718,0.559,1.462,1.856,0.159,-0.394
G Ward,Derby,10,5,0.567,0.409,1.7,2.009,0.158,-0.309
D Whitestone,Birmingham,12,6,0.528,0.374,1.583,1.886,0.154,-0.303
T Harrington,Barnsley,11,5,0.515,0.364,1.727,1.781,0.151,-0.054
O Langford,Millwall,12,8,0.583,0.433,2.25,1.784,0.151,0.466
G Eltringham,Stoke,15,8,0.556,0.405,2.133,1.851,0.151,0.283
S Hooper,Leeds,10,4,0.667,0.518,2.0,1.977,0.149,0.023
T Robinson,Birmingham,21,8,0.524,0.375,2.19,1.944,0.149,0.246
A Davies,Sheffield Weds,11,7,0.606,0.46,2.273,1.936,0.146,0.337
A Davies,Swansea,13,9,0.615,0.47,1.308,1.767,0.145,-0.459
K Stroud,Wolves,10,4,0.667,0.523,1.5,1.678,0.144,-0.178
J Simpson,Reading,19,6,0.544,0.401,1.842,1.748,0.143,0.094
A Madley,Cardiff,14,8,0.619,0.478,1.714,1.743,0.141,-0.029
D Whitestone,Preston,15,8,0.578,0.438,1.933,2.016,0.14,-0.083
D Bond,Birmingham,23,13,0.522,0.383,1.826,1.906,0.139,-0.08
J Smith,Stoke,10,5,0.533,0.395,2.4,2.138,0.139,0.262
T Robinson,Blackburn,14,7,0.571,0.433,2.357,1.909,0.139,0.448
J Linington,Barnsley,14,3,0.5,0.363,1.357,1.806,0.137,-0.448
S Martin,Sheffield United,10,7,0.733,0.597,1.6,2.045,0.136,-0.445
S Duncan,QPR,10,6,0.533,0.397,1.0,1.964,0.136,-0.964
O Langford,Birmingham,11,7,0.485,0.349,2.364,1.913,0.136,0.45
J Linington,QPR,24,15,0.542,0.406,1.708,2.031,0.136,-0.322
G Ward,Leeds,10,4,0.733,0.6,2.1,1.822,0.134,0.278
