Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HY,AY,HR,AR,Season,home_card_pts,away_card_pts
2014-08-08,Blackburn,Cardiff,A Madley,1.0,1.0,D,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-08-09,Wigan,Reading,M Brown,2.0,2.0,D,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-08-09,Watford,Bolton,C Boyeson,3.0,0.0,H,0.0,0.0,0.0,0.0,2014/15,0.0,0.0
2014-08-09,Millwall,Leeds,O Langford,2.0,0.0,H,0.0,0.0,0.0,0.0,2014/15,0.0,0.0
2014-08-09,Middlesbrough,Birmingham,G Salisbury,2.0,0.0,H,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-08-09,Nott'm Forest,Blackpool,T Harrington,2.0,0.0,H,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
2014-08-09,Huddersfield,Bournemouth,S Duncan,0.0,4.0,A,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-08-09,Derby,Rotherham,K Friend,1.0,0.0,H,0.0,1.0,0.0,0.0,2014/15,0.0,1.0
2014-08-09,Brighton,Sheffield Weds,J Linington,0.0,1.0,A,3.0,1.0,1.0,0.0,2014/15,5.0,1.0
2014-08-09,Brentford,Charlton,J Adcock,1.0,1.0,D,1.0,1.0,0.0,0.0,2014/15,1.0,1.0
2014-08-09,Ipswich,Fulham,S Martin,2.0,1.0,H,3.0,0.0,0.0,0.0,2014/15,3.0,0.0
2014-08-10,Wolves,Norwich,S Hooper,1.0,0.0,H,0.0,3.0,0.0,1.0,2014/15,0.0,5.0
2014-08-16,Leeds,Middlesbrough,S Attwell,1.0,0.0,H,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-08-16,Sheffield Weds,Derby,S Duncan,0.0,0.0,D,3.0,2.0,0.0,0.0,2014/15,3.0,2.0
2014-08-16,Rotherham,Wolves,G Salisbury,1.0,0.0,H,3.0,2.0,0.0,0.0,2014/15,3.0,2.0
2014-08-16,Reading,Ipswich,S Hooper,1.0,0.0,H,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-08-16,Fulham,Millwall,L Mason,0.0,1.0,A,3.0,0.0,0.0,0.0,2014/15,3.0,0.0
2014-08-16,Norwich,Watford,P Tierney,3.0,0.0,H,1.0,1.0,0.0,1.0,2014/15,1.0,3.0
2014-08-16,Cardiff,Huddersfield,K Hill,3.0,1.0,H,0.0,3.0,0.0,0.0,2014/15,0.0,3.0
2014-08-16,Bournemouth,Brentford,G Ward,1.0,0.0,H,1.0,3.0,0.0,0.0,2014/15,1.0,3.0
2014-08-16,Bolton,Nott'm Forest,E Ilderton,2.0,2.0,D,3.0,0.0,0.0,0.0,2014/15,3.0,0.0
2014-08-16,Blackpool,Blackburn,J Adcock,1.0,2.0,A,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-08-16,Birmingham,Brighton,M Brown,1.0,0.0,H,0.0,0.0,0.0,0.0,2014/15,0.0,0.0
2014-08-16,Charlton,Wigan,A D'Urso,2.0,1.0,H,0.0,1.0,0.0,0.0,2014/15,0.0,1.0
2014-08-19,Sheffield Weds,Millwall,N Miller,1.0,1.0,D,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-08-19,Rotherham,Watford,D Webb,0.0,2.0,A,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-08-19,Reading,Huddersfield,S Attwell,1.0,2.0,A,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-08-19,Norwich,Blackburn,G Scott,3.0,1.0,H,0.0,3.0,0.0,0.0,2014/15,0.0,3.0
2014-08-19,Leeds,Brighton,J Adcock,0.0,2.0,A,5.0,1.0,0.0,0.0,2014/15,5.0,1.0
2014-08-19,Charlton,Derby,M Bull,3.0,2.0,H,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-08-19,Bournemouth,Nott'm Forest,K Friend,1.0,2.0,A,2.0,2.0,0.0,0.0,2014/15,2.0,2.0
2014-08-19,Bolton,Middlesbrough,S Martin,1.0,2.0,A,2.0,3.0,0.0,0.0,2014/15,2.0,3.0
2014-08-19,Blackpool,Brentford,M Haywood,1.0,2.0,A,2.0,1.0,0.0,0.0,2014/15,2.0,1.0
2014-08-19,Birmingham,Ipswich,R East,2.0,2.0,D,1.0,0.0,0.0,0.0,2014/15,1.0,0.0
2014-08-19,Cardiff,Wigan,R Madley,1.0,0.0,H,1.0,0.0,0.0,0.0,2014/15,1.0,0.0
2014-08-20,Fulham,Wolves,J Linington,0.0,1.0,A,4.0,0.0,0.0,0.0,2014/15,4.0,0.0
2014-08-23,Millwall,Rotherham,P Tierney,0.0,1.0,A,1.0,2.0,0.0,0.0,2014/15,1.0,2.0
