season,team,game_n,ppda_rolling10,date
2014/15,Birmingham,1,17.67,2014-08-19
2014/15,Blackburn,1,13.0,2014-08-19
2014/15,Blackpool,1,11.33,2014-08-19
2014/15,Bolton,1,19.33,2014-08-19
2014/15,Bournemouth,1,14.0,2014-08-19
2014/15,Brentford,1,15.0,2014-08-19
2014/15,Brighton,1,9.33,2014-08-19
2014/15,Cardiff,1,15.0,2014-08-19
2014/15,Charlton,1,11.0,2014-08-19
2014/15,Derby,1,16.67,2014-08-19
2014/15,Huddersfield,1,14.67,2014-08-19
2014/15,Ipswich,1,11.0,2014-08-19
2014/15,Leeds,1,12.67,2014-08-19
2014/15,Middlesbrough,1,8.0,2014-08-19
2014/15,Millwall,1,14.33,2014-08-19
2014/15,Norwich,1,11.33,2014-08-19
2014/15,Nott'm Forest,1,11.0,2014-08-19
2014/15,Reading,1,11.0,2014-08-19
2014/15,Rotherham,1,10.33,2014-08-19
2014/15,Sheffield Weds,1,12.0,2014-08-19
2014/15,Watford,1,20.33,2014-08-19
2014/15,Wigan,1,11.0,2014-08-19
2014/15,Fulham,1,12.67,2014-08-20
2014/15,Wolves,1,11.33,2014-08-20
2014/15,Birmingham,2,15.0,2014-08-23
2014/15,Blackburn,2,15.5,2014-08-23
2014/15,Blackpool,2,11.5,2014-08-23
2014/15,Bolton,2,21.0,2014-08-23
2014/15,Bournemouth,2,13.5,2014-08-23
2014/15,Brentford,2,14.25,2014-08-23
2014/15,Brighton,2,9.25,2014-08-23
2014/15,Cardiff,2,14.25,2014-08-23
2014/15,Charlton,2,11.5,2014-08-23
2014/15,Derby,2,14.75,2014-08-23
2014/15,Fulham,2,14.0,2014-08-23
2014/15,Huddersfield,2,14.0,2014-08-23
2014/15,Ipswich,2,12.5,2014-08-23
2014/15,Leeds,2,14.75,2014-08-23
2014/15,Middlesbrough,2,9.0,2014-08-23
2014/15,Millwall,2,13.75,2014-08-23
2014/15,Norwich,2,11.75,2014-08-23
2014/15,Nott'm Forest,2,10.75,2014-08-23
2014/15,Reading,2,12.25,2014-08-23
2014/15,Rotherham,2,10.5,2014-08-23
2014/15,Sheffield Weds,2,13.0,2014-08-23
2014/15,Watford,2,16.25,2014-08-23
2014/15,Wigan,2,10.0,2014-08-23
2014/15,Wolves,2,10.5,2014-08-23
2014/15,Birmingham,3,15.4,2014-08-30
2014/15,Blackburn,3,15.4,2014-08-30
2014/15,Blackpool,3,12.6,2014-08-30
2014/15,Bolton,3,18.4,2014-08-30
2014/15,Bournemouth,3,13.4,2014-08-30
2014/15,Brentford,3,14.2,2014-08-30
2014/15,Brighton,3,8.4,2014-08-30
2014/15,Cardiff,3,15.0,2014-08-30
2014/15,Charlton,3,13.2,2014-08-30
2014/15,Derby,3,13.8,2014-08-30
2014/15,Fulham,3,13.0,2014-08-30
2014/15,Huddersfield,3,14.2,2014-08-30
2014/15,Ipswich,3,12.4,2014-08-30
2014/15,Leeds,3,16.2,2014-08-30
2014/15,Middlesbrough,3,8.2,2014-08-30
2014/15,Millwall,3,13.4,2014-08-30
2014/15,Norwich,3,11.0,2014-08-30
2014/15,Nott'm Forest,3,11.6,2014-08-30
2014/15,Reading,3,14.6,2014-08-30
2014/15,Rotherham,3,11.0,2014-08-30
2014/15,Sheffield Weds,3,12.2,2014-08-30
2014/15,Watford,3,18.4,2014-08-30
2014/15,Wigan,3,10.2,2014-08-30
2014/15,Wolves,3,12.0,2014-08-30
2014/15,Birmingham,4,14.83,2014-09-13
2014/15,Blackburn,4,15.0,2014-09-13
2014/15,Blackpool,4,13.0,2014-09-13
2014/15,Bolton,4,19.33,2014-09-13
2014/15,Bournemouth,4,12.83,2014-09-13
2014/15,Brentford,4,13.5,2014-09-13
2014/15,Brighton,4,9.17,2014-09-13
2014/15,Cardiff,4,16.67,2014-09-13
2014/15,Charlton,4,13.33,2014-09-13
2014/15,Fulham,4,13.67,2014-09-13
2014/15,Huddersfield,4,14.67,2014-09-13
2014/15,Ipswich,4,13.17,2014-09-13
2014/15,Leeds,4,16.17,2014-09-13
2014/15,Middlesbrough,4,8.83,2014-09-13
2014/15,Millwall,4,13.83,2014-09-13
2014/15,Norwich,4,11.0,2014-09-13
2014/15,Reading,4,13.17,2014-09-13
2014/15,Rotherham,4,11.17,2014-09-13
