model,Date,HomeTeam,AwayTeam,Referee,selection,model_probability,odds,ev,threshold,official_total_yellow_cards,footiqo_total_yellow_cards,yellow_total_match,official_win,footiqo_win
baseline,2025-08-15,Liverpool,Bournemouth,A Taylor,Under 3.5,0.6582668006921537,2.24,0.4745176335504244,0.0,3,3,True,1,1
baseline,2025-08-15,Liverpool,Bournemouth,A Taylor,Under 3.5,0.6582668006921537,2.24,0.4745176335504244,0.05,3,3,True,1,1
baseline,2025-08-15,Liverpool,Bournemouth,A Taylor,Under 3.5,0.6582668006921537,2.24,0.4745176335504244,0.08,3,3,True,1,1
baseline,2025-08-15,Liverpool,Bournemouth,A Taylor,Under 3.5,0.6582668006921537,2.24,0.4745176335504244,0.1,3,3,True,1,1
baseline,2025-08-15,Liverpool,Bournemouth,A Taylor,Under 3.5,0.6582668006921537,2.24,0.4745176335504244,0.2,3,3,True,1,1
baseline,2025-08-16,Tottenham,Burnley,M Oliver,Under 3.5,0.6360931785311166,2.48,0.577511082757169,0.0,0,0,True,1,1
baseline,2025-08-16,Tottenham,Burnley,M Oliver,Under 3.5,0.6360931785311166,2.48,0.577511082757169,0.05,0,0,True,1,1
baseline,2025-08-16,Tottenham,Burnley,M Oliver,Under 3.5,0.6360931785311166,2.48,0.577511082757169,0.08,0,0,True,1,1
baseline,2025-08-16,Tottenham,Burnley,M Oliver,Under 3.5,0.6360931785311166,2.48,0.577511082757169,0.1,0,0,True,1,1
baseline,2025-08-16,Tottenham,Burnley,M Oliver,Under 3.5,0.6360931785311166,2.48,0.577511082757169,0.2,0,0,True,1,1
baseline,2025-08-16,Wolves,Man City,J Gillett,Under 3.5,0.5802108542490918,2.24,0.29967231351796575,0.0,3,3,True,1,1
baseline,2025-08-16,Wolves,Man City,J Gillett,Under 3.5,0.5802108542490918,2.24,0.29967231351796575,0.05,3,3,True,1,1
baseline,2025-08-16,Wolves,Man City,J Gillett,Under 3.5,0.5802108542490918,2.24,0.29967231351796575,0.08,3,3,True,1,1
baseline,2025-08-16,Wolves,Man City,J Gillett,Under 3.5,0.5802108542490918,2.24,0.29967231351796575,0.1,3,3,True,1,1
baseline,2025-08-16,Wolves,Man City,J Gillett,Under 3.5,0.5802108542490918,2.24,0.29967231351796575,0.2,3,3,True,1,1
baseline,2025-08-17,Man United,Arsenal,S Hooper,Under 3.5,0.570006138874285,3.01,0.7157184780115977,0.0,5,5,True,0,0
baseline,2025-08-17,Man United,Arsenal,S Hooper,Under 3.5,0.570006138874285,3.01,0.7157184780115977,0.05,5,5,True,0,0
baseline,2025-08-17,Man United,Arsenal,S Hooper,Under 3.5,0.570006138874285,3.01,0.7157184780115977,0.08,5,5,True,0,0
baseline,2025-08-17,Man United,Arsenal,S Hooper,Under 3.5,0.570006138874285,3.01,0.7157184780115977,0.1,5,5,True,0,0
baseline,2025-08-17,Man United,Arsenal,S Hooper,Under 3.5,0.570006138874285,3.01,0.7157184780115977,0.2,5,5,True,0,0
baseline,2025-08-22,West Ham,Chelsea,M Oliver,Under 3.5,0.6518994733252448,3.01,0.9622174147089866,0.0,1,1,True,1,1
baseline,2025-08-22,West Ham,Chelsea,M Oliver,Under 3.5,0.6518994733252448,3.01,0.9622174147089866,0.05,1,1,True,1,1
baseline,2025-08-22,West Ham,Chelsea,M Oliver,Under 3.5,0.6518994733252448,3.01,0.9622174147089866,0.08,1,1,True,1,1
baseline,2025-08-22,West Ham,Chelsea,M Oliver,Under 3.5,0.6518994733252448,3.01,0.9622174147089866,0.1,1,1,True,1,1
baseline,2025-08-22,West Ham,Chelsea,M Oliver,Under 3.5,0.6518994733252448,3.01,0.9622174147089866,0.2,1,1,True,1,1
