fotmob_match_id,date,home_team,away_team,home_formation,away_formation,home_possession,away_possession,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_blocked_shots,away_blocked_shots,home_shots_inside_box,away_shots_inside_box,home_accurate_crosses,away_accurate_crosses,home_touches_opp_box,away_touches_opp_box,home_final_third_passes,away_final_third_passes,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_starter_count,home_starter_rating_mean,home_lineup_source,away_starter_count,away_starter_rating_mean,away_lineup_source,season
3900932,2022-08-05,Crystal Palace,Arsenal,4-2-3-1,4-2-3-1,56.0,44.0,1.21,1.0,10.0,10.0,2.0,2.0,6.0,4.0,9.0,8.0,3 (16%),2 (18%),,,,,3.0,5.0,16.0,11.0,1.0,2.0,11,6.357272727272728,,11,7.501818181818183,,2022/23
3900934,2022-08-06,Bournemouth,Aston Villa,5-3-2,4-3-3,34.0,66.0,0.59,0.66,7.0,15.0,3.0,2.0,2.0,6.0,6.0,4.0,4 (36%),6 (19%),,,,,5.0,5.0,18.0,16.0,3.0,3.0,11,7.607272727272728,,11,6.614545454545455,,2022/23
3900939,2022-08-06,Everton,Chelsea,3-4-2-1,3-4-2-1,37.0,63.0,0.67,1.64,8.0,15.0,4.0,6.0,1.0,6.0,7.0,11.0,3 (20%),6 (24%),,,,,4.0,16.0,14.0,11.0,3.0,2.0,11,6.733636363636364,,11,7.471818181818182,,2022/23
3900933,2022-08-06,Fulham,Liverpool,4-2-3-1,4-3-3,33.0,67.0,1.25,1.23,9.0,11.0,3.0,4.0,4.0,2.0,7.0,9.0,4 (21%),5 (28%),,,,,4.0,4.0,7.0,9.0,2.0,0.0,11,7.1,,11,6.919090909090909,,2022/23
3900935,2022-08-06,Leeds,Wolves,4-2-3-1,4-2-3-1,40.0,60.0,1.05,1.76,12.0,15.0,4.0,6.0,3.0,3.0,7.0,8.0,6 (30%),9 (45%),28.0,28.0,,,6.0,4.0,13.0,9.0,2.0,0.0,11,7.481818181818181,,11,7.081818181818182,,2022/23
3900937,2022-08-06,Newcastle,Nott'm Forest,4-3-3,5-3-2,61.0,39.0,1.74,0.28,23.0,5.0,10.0,0.0,5.0,2.0,16.0,4.0,9 (36%),3 (33%),,,,,11.0,1.0,9.0,14.0,0.0,3.0,11,7.925454545454546,,11,6.607272727272728,,2022/23
3900938,2022-08-06,Tottenham,Southampton,3-4-2-1,5-3-2,58.0,42.0,1.57,0.48,18.0,10.0,8.0,2.0,4.0,3.0,14.0,6.0,6 (25%),3 (17%),,,,,10.0,2.0,11.0,6.0,3.0,0.0,11,7.678181818181818,,11,6.333636363636364,,2022/23
3900936,2022-08-07,Leicester,Brentford,3-5-1-1,4-3-3,55.0,45.0,0.62,0.76,14.0,8.0,5.0,3.0,3.0,1.0,5.0,5.0,3 (30%),1 (6%),,,,,5.0,6.0,6.0,5.0,0.0,0.0,11,7.408181818181817,,11,6.838181818181818,,2022/23
3900940,2022-08-07,Man United,Brighton,4-2-3-1,3-4-2-1,63.0,37.0,1.38,1.5,17.0,15.0,5.0,4.0,7.0,5.0,13.0,10.0,7 (29%),6 (50%),,,,,6.0,2.0,7.0,12.0,4.0,1.0,11,6.745454545454546,,11,7.28,,2022/23
3900941,2022-08-07,West Ham,Man City,4-2-3-1,4-3-3,25.0,75.0,0.49,2.23,6.0,14.0,1.0,2.0,3.0,4.0,5.0,9.0,4 (33%),3 (17%),,,,,1.0,4.0,8.0,4.0,0.0,1.0,11,6.455454545454546,,11,7.722727272727273,,2022/23
3900942,2022-08-13,Arsenal,Leicester,4-2-3-1,3-5-1-1,50.0,50.0,2.96,0.46,19.0,6.0,7.0,2.0,4.0,1.0,15.0,5.0,4 (24%),1 (11%),,,,,6.0,2.0,15.0,9.0,1.0,1.0,11,7.480909090909091,,11,6.2281818181818185,,2022/23
3900943,2022-08-13,Aston Villa,Everton,4-3-1-2,3-4-3,58.0,42.0,2.31,1.58,12.0,15.0,4.0,4.0,4.0,9.0,10.0,11.0,4 (29%),4 (31%),,,,,5.0,8.0,9.0,7.0,4.0,1.0,11,7.420000000000001,,11,6.579090909090909,,2022/23
3900944,2022-08-13,Brentford,Man United,5-3-2,4-2-3-1,33.0,67.0,1.61,0.92,13.0,15.0,7.0,4.0,3.0,4.0,7.0,7.0,2 (12%),5 (24%),,,,,8.0,2.0,6.0,15.0,0.0,4.0,11,7.608181818181818,,11,5.767272727272727,,2022/23
3900945,2022-08-13,Brighton,Newcastle,3-4-2-1,4-3-3,54.0,46.0,1.5,0.22,13.0,4.0,7.0,1.0,3.0,1.0,8.0,3.0,1 (5%),3 (30%),,,,,7.0,3.0,8.0,6.0,2.0,3.0,11,6.8981818181818175,,11,7.24,,2022/23
3900948,2022-08-13,Man City,Bournemouth,4-3-3,3-4-2-1,67.0,33.0,1.75,0.13,19.0,3.0,7.0,1.0,6.0,1.0,12.0,1.0,10 (37%),2 (33%),34.0,5.0,,,11.0,1.0,9.0,9.0,0.0,3.0,11,7.763636363636365,,11,5.719090909090909,,2022/23
3900950,2022-08-13,Southampton,Leeds,3-4-2-1,4-2-3-1,43.0,57.0,1.22,1.93,14.0,13.0,4.0,5.0,3.0,4.0,9.0,11.0,4 (27%),4 (36%),16.0,20.0,,,2.0,5.0,10.0,12.0,1.0,3.0,11,6.926363636363636,,11,7.115454545454545,,2022/23
3900951,2022-08-13,Wolves,Fulham,4-2-3-1,4-2-3-1,60.0,40.0,0.89,1.49,7.0,9.0,1.0,3.0,1.0,1.0,4.0,8.0,4 (21%),5 (23%),17.0,14.0,,,5.0,3.0,7.0,14.0,3.0,3.0,11,7.09,,11,6.949090909090909,,2022/23
3900946,2022-08-14,Chelsea,Tottenham,3-4-2-1,3-4-2-1,64.0,36.0,1.58,1.01,16.0,10.0,3.0,5.0,7.0,3.0,11.0,8.0,4 (17%),3 (25%),,,,,8.0,5.0,9.0,9.0,3.0,0.0,11,7.286363636363637,,11,6.947272727272727,,2022/23
3900949,2022-08-14,Nott'm Forest,West Ham,3-4-1-2,4-2-3-1,43.0,57.0,1.36,2.26,13.0,19.0,6.0,5.0,3.0,6.0,10.0,10.0,4 (20%),5 (19%),,,,,6.0,7.0,10.0,11.0,4.0,1.0,11,7.1827272727272735,,11,6.824545454545454,,2022/23
3900947,2022-08-15,Liverpool,Crystal Palace,4-3-3,5-4-1,73.0,27.0,2.07,1.04,24.0,7.0,4.0,3.0,10.0,0.0,16.0,5.0,7 (24%),2 (22%),,,,,4.0,2.0,7.0,8.0,2.0,4.0,11,7.236363636363635,,11,7.217272727272728,,2022/23
3900952,2022-08-20,Bournemouth,Arsenal,3-1-4-2,4-2-3-1,42.0,58.0,0.28,1.32,6.0,14.0,1.0,6.0,0.0,4.0,4.0,11.0,5 (38%),5 (31%),,,,,3.0,4.0,12.0,10.0,2.0,1.0,11,6.073636363636364,,11,7.79,,2022/23
3900953,2022-08-20,Crystal Palace,Aston Villa,4-3-3,4-3-3,51.0,49.0,2.69,0.9,17.0,13.0,9.0,5.0,3.0,2.0,15.0,11.0,4 (40%),6 (35%),,,,,4.0,2.0,16.0,14.0,2.0,1.0,11,7.244545454545454,,11,6.655454545454546,,2022/23
3900954,2022-08-20,Everton,Nott'm Forest,3-4-2-1,3-4-1-2,48.0,52.0,1.51,0.99,19.0,14.0,8.0,5.0,5.0,3.0,9.0,7.0,1 (6%),3 (20%),,,,,6.0,2.0,6.0,9.0,3.0,2.0,11,7.219090909090909,,11,7.096363636363637,,2022/23
3900955,2022-08-20,Fulham,Brentford,4-2-3-1,4-3-3,44.0,56.0,2.54,1.8,18.0,13.0,9.0,5.0,5.0,4.0,13.0,11.0,9 (43%),4 (36%),,,,,6.0,3.0,13.0,7.0,3.0,2.0,11,7.08909090909091,,11,6.750909090909091,,2022/23
3900957,2022-08-20,Leicester,Southampton,4-3-3,4-2-3-1,62.0,38.0,0.29,0.92,6.0,9.0,1.0,3.0,2.0,1.0,4.0,6.0,2 (14%),7 (39%),,,,,2.0,5.0,11.0,15.0,2.0,3.0,11,6.456363636363636,,11,7.342727272727273,,2022/23
3900960,2022-08-20,Tottenham,Wolves,3-4-2-1,5-3-2,50.0,50.0,1.67,0.71,11.0,20.0,4.0,3.0,2.0,9.0,10.0,7.0,6 (27%),7 (37%),,,,,8.0,6.0,10.0,8.0,2.0,2.0,11,7.344545454545455,,11,6.8963636363636365,,2022/23
3900956,2022-08-21,Leeds,Chelsea,4-2-3-1,3-4-1-2,39.0,61.0,2.22,0.88,12.0,14.0,6.0,3.0,2.0,7.0,9.0,9.0,3 (25%),5 (25%),15.0,31.0,,,4.0,6.0,16.0,15.0,0.0,1.0,11,7.720909090909092,,11,6.335454545454545,,2022/23
3900959,2022-08-21,Newcastle,Man City,4-3-3,4-3-3,31.0,69.0,1.81,2.11,12.0,21.0,6.0,10.0,2.0,7.0,10.0,14.0,6 (50%),5 (25%),,,,,5.0,5.0,14.0,7.0,4.0,2.0,11,7.187272727272728,,11,7.296363636363637,,2022/23
3900961,2022-08-21,West Ham,Brighton,4-2-3-1,3-4-2-1,50.0,50.0,0.89,1.71,13.0,11.0,3.0,2.0,7.0,4.0,8.0,9.0,7 (28%),5 (31%),,,,,5.0,4.0,10.0,7.0,2.0,0.0,11,6.54909090909091,,11,7.487272727272727,,2022/23
3900958,2022-08-22,Man United,Liverpool,4-2-3-1,4-3-3,30.0,70.0,1.79,1.35,13.0,17.0,5.0,5.0,4.0,5.0,8.0,15.0,1 (14%),6 (26%),,,,,6.0,8.0,11.0,7.0,3.0,1.0,11,7.525454545454545,,11,6.757272727272727,,2022/23
3900962,2022-08-27,Arsenal,Fulham,4-2-3-1,4-2-3-1,72.0,28.0,2.73,0.83,22.0,11.0,8.0,3.0,10.0,2.0,16.0,9.0,5 (26%),7 (64%),52.0,14.0,,,9.0,2.0,6.0,12.0,2.0,3.0,11,7.443636363636363,,11,6.713636363636363,,2022/23
3900964,2022-08-27,Brentford,Everton,4-3-3,3-4-3,58.0,42.0,2.15,1.07,20.0,14.0,5.0,7.0,5.0,5.0,14.0,8.0,7 (23%),3 (23%),,,,,8.0,5.0,8.0,8.0,2.0,2.0,11,6.928181818181819,,11,7.266363636363637,,2022/23
3900965,2022-08-27,Brighton,Leeds,3-5-1-1,4-2-3-1,43.0,57.0,2.02,1.84,13.0,10.0,4.0,2.0,1.0,5.0,11.0,7.0,5 (42%),2 (17%),,,,,5.0,3.0,10.0,14.0,2.0,3.0,11,7.285454545454545,,11,6.742727272727273,,2022/23
3900966,2022-08-27,Chelsea,Leicester,4-2-2-2,4-1-4-1,45.0,55.0,1.75,2.52,7.0,17.0,4.0,5.0,2.0,5.0,5.0,11.0,3 (25%),5 (15%),,,,,3.0,11.0,10.0,7.0,1.0,2.0,11,7.375454545454545,,11,6.803636363636364,,2022/23
3900967,2022-08-27,Liverpool,Bournemouth,4-3-3,4-2-3-1,69.0,31.0,3.32,0.33,19.0,5.0,12.0,2.0,1.0,1.0,16.0,3.0,11 (55%),2 (40%),,,,,8.0,1.0,6.0,5.0,0.0,1.0,11,8.184545454545455,,11,5.235454545454545,,2022/23
3900968,2022-08-27,Man City,Crystal Palace,4-3-3,5-4-1,74.0,26.0,2.42,0.12,18.0,2.0,5.0,2.0,4.0,0.0,14.0,1.0,12 (41%),1 (20%),,,,,6.0,1.0,14.0,8.0,1.0,2.0,11,7.569090909090908,,11,5.965454545454546,,2022/23
3900970,2022-08-27,Southampton,Man United,4-2-3-1,4-2-3-1,48.0,52.0,1.45,1.4,17.0,11.0,5.0,6.0,2.0,3.0,14.0,9.0,9 (33%),4 (33%),,,,,5.0,3.0,4.0,14.0,0.0,3.0,11,7.048181818181818,,11,7.516363636363637,,2022/23
3900963,2022-08-28,Aston Villa,West Ham,4-3-1-2,3-4-2-1,58.0,42.0,0.49,0.56,9.0,7.0,3.0,2.0,2.0,2.0,5.0,1.0,6 (23%),3 (16%),,,,,3.0,2.0,10.0,10.0,2.0,0.0,11,6.712727272727273,,11,7.173636363636363,,2022/23
3900969,2022-08-28,Nott'm Forest,Tottenham,3-4-2-1,3-4-2-1,55.0,45.0,0.95,2.4,17.0,18.0,1.0,7.0,7.0,4.0,9.0,11.0,5 (21%),4 (40%),,,,,6.0,1.0,11.0,13.0,6.0,1.0,11,7.012727272727273,,11,7.491818181818181,,2022/23
