season,team,games,ppda_avg,ppda_allowed_avg,xg_avg,xga_avg,npxg_avg,npxga_avg
2014/15,Aston Villa,38,16.39,11.07,0.871,1.308,0.851,1.228
2014/15,Everton,38,10.43,11.68,1.181,1.215,1.041,1.135
2014/15,Southampton,38,9.26,14.88,1.446,1.029,1.386,0.989
2014/15,Leicester,38,10.23,8.02,1.269,1.484,1.188,1.404
2014/15,West Brom,38,13.55,9.87,1.017,1.414,0.916,1.274
2014/15,Sunderland,38,11.42,8.13,0.985,1.354,0.905,1.274
2014/15,Crystal Palace,38,11.58,6.58,1.178,1.197,1.054,1.074
2014/15,Chelsea,38,10.94,13.42,1.806,0.83,1.704,0.769
2014/15,West Ham,38,12.04,8.43,1.229,1.511,1.189,1.406
2014/15,Tottenham,38,8.0,11.3,1.379,1.501,1.274,1.358
2014/15,Arsenal,38,8.66,13.25,1.837,0.94,1.697,0.88
2014/15,Swansea,38,12.83,11.46,1.076,1.472,1.036,1.432
2014/15,Stoke,38,10.4,10.6,1.217,1.238,1.157,1.137
2014/15,Newcastle,38,10.42,8.84,1.058,1.342,1.038,1.262
2014/15,Liverpool,38,9.91,12.12,1.36,1.007,1.24,0.943
2014/15,Man City,38,7.98,15.08,1.995,1.066,1.832,0.986
2014/15,Man United,38,7.65,15.52,1.426,1.048,1.326,0.968
2014/15,Hull,38,14.35,10.02,0.863,1.237,0.843,1.176
2014/15,Burnley,38,11.46,9.98,1.036,1.523,0.976,1.423
2014/15,Queens Park Rangers,38,10.34,7.59,1.203,1.717,1.103,1.637
2015/16,Aston Villa,38,13.84,7.98,0.698,1.553,0.658,1.453
2015/16,Everton,38,12.47,10.78,1.421,1.441,1.32,1.321
2015/16,Bournemouth,38,9.58,10.79,1.019,1.42,0.938,1.3
2015/16,Southampton,38,9.65,12.63,1.479,1.166,1.397,1.146
2015/16,Leicester,38,10.1,8.6,1.8,1.185,1.54,1.105
2015/16,West Brom,38,12.34,7.95,1.046,1.367,0.946,1.247
2015/16,Sunderland,38,12.6,8.21,1.066,1.549,1.006,1.388
2015/16,Crystal Palace,38,9.32,8.57,1.119,1.393,1.018,1.313
2015/16,Norwich,38,13.0,9.06,1.031,1.551,1.011,1.35
2015/16,Chelsea,38,9.18,10.73,1.434,1.174,1.334,1.094
2015/16,West Ham,38,9.67,9.47,1.432,1.46,1.351,1.3
2015/16,Tottenham,38,6.68,11.69,1.669,0.976,1.569,0.936
2015/16,Arsenal,38,8.79,12.22,1.935,0.891,1.895,0.871
2015/16,Swansea,38,10.46,11.53,1.052,1.411,0.951,1.371
2015/16,Stoke,38,10.78,10.23,1.122,1.43,1.022,1.33
2015/16,Newcastle,38,12.39,8.03,0.99,1.459,0.93,1.358
2015/16,Liverpool,38,7.92,11.83,1.431,0.997,1.391,0.935
2015/16,Man City,38,8.19,13.83,1.742,0.986,1.582,0.966
2015/16,Man United,38,8.07,12.42,1.195,1.044,1.135,1.004
2015/16,Watford,38,9.86,8.34,1.137,1.365,0.997,1.204
2016/17,Everton,38,10.7,10.98,1.306,1.205,1.226,1.105
2016/17,Bournemouth,38,11.25,9.9,1.316,1.658,1.116,1.558
2016/17,Southampton,38,9.18,13.69,1.315,1.134,1.195,0.954
2016/17,Leicester,38,12.37,8.76,1.167,1.35,1.044,1.27
2016/17,West Brom,38,15.88,7.5,1.006,1.261,0.986,1.2
2016/17,Sunderland,38,13.28,8.61,0.901,1.728,0.8,1.648
2016/17,Crystal Palace,38,9.7,8.01,1.195,1.317,1.055,1.277
2016/17,Chelsea,38,11.77,11.88,1.626,0.753,1.542,0.713
2016/17,West Ham,38,11.69,10.39,1.27,1.57,1.184,1.41
2016/17,Tottenham,38,7.8,12.26,1.844,0.889,1.664,0.849
2016/17,Arsenal,38,8.52,14.46,1.673,1.239,1.553,1.038
2016/17,Swansea,38,13.4,11.51,1.039,1.714,0.979,1.551
2016/17,Stoke,38,13.07,8.7,1.26,1.281,1.14,1.241
2016/17,Liverpool,38,7.6,16.3,1.753,0.991,1.593,0.891
2016/17,Man City,38,6.77,15.41,2.101,0.779,1.921,0.675
2016/17,Man United,38,9.51,13.37,1.515,0.832,1.435,0.732
2016/17,Watford,38,10.86,9.46,0.954,1.385,0.894,1.305
2016/17,Hull,38,15.81,10.91,0.891,1.889,0.83,1.628
2016/17,Burnley,38,12.89,10.14,0.937,1.454,0.816,1.349
2016/17,Middlesbrough,38,11.04,10.88,0.814,1.455,0.774,1.355
2017/18,Everton,38,10.95,11.01,1.15,1.46,0.987,1.36
2017/18,Bournemouth,38,17.06,9.74,1.052,1.709,0.992,1.649
2017/18,Southampton,38,10.14,12.39,1.102,1.225,1.042,1.185
2017/18,Leicester,38,12.78,10.12,1.323,1.299,1.203,1.219
2017/18,West Brom,38,14.58,9.08,0.926,1.289,0.906,1.269
2017/18,Crystal Palace,38,12.48,8.62,1.493,1.409,1.293,1.369
2017/18,Chelsea,38,14.89,14.1,1.557,0.896,1.497,0.856
2017/18,West Ham,38,13.54,8.84,0.968,1.536,0.888,1.413
2017/18,Tottenham,38,8.05,17.19,1.813,0.944,1.753,0.881
2017/18,Arsenal,38,9.59,17.64,1.902,1.283,1.802,1.163
2017/18,Swansea,38,17.52,11.99,0.782,1.627,0.762,1.503
2017/18,Stoke,38,16.88,8.43,0.967,1.725,0.907,1.625
2017/18,Newcastle,38,14.17,8.84,1.174,1.381,1.154,1.257
2017/18,Liverpool,38,10.41,23.56,2.039,0.941,1.979,0.821
2017/18,Man City,38,6.71,28.9,2.406,0.645,2.24,0.605
2017/18,Man United,38,10.57,14.15,1.554,1.146,1.49,1.126
2017/18,Watford,38,11.35,10.88,1.207,1.421,1.082,1.3
2017/18,Burnley,38,14.8,10.58,0.862,1.373,0.862,1.272
2017/18,Huddersfield,38,13.61,10.9,0.846,1.4,0.806,1.276
2017/18,Brighton,38,19.52,12.62,0.979,1.397,0.839,1.337
2018/19,Everton,38,10.26,10.97,1.418,1.298,1.314,1.195
2018/19,Bournemouth,38,17.28,10.75,1.548,1.643,1.367,1.543
2018/19,Southampton,38,12.04,10.89,1.307,1.56,1.207,1.5
