season,date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,understat_match_id
2014/15,2014-08-16,Arsenal,Crystal Palace,1.55411,0.158151,2,1,4755
2014/15,2014-08-16,Leicester,Everton,1.2783,0.613273,2,2,4750
2014/15,2014-08-16,Man United,Swansea,1.16635,0.278076,1,2,4749
2014/15,2014-08-16,Queens Park Rangers,Hull,1.90067,1.11757,0,1,4751
2014/15,2014-08-16,Stoke,Aston Villa,0.423368,0.909774,0,1,4752
2014/15,2014-08-16,West Brom,Sunderland,1.68343,0.991901,2,2,4753
2014/15,2014-08-16,West Ham,Tottenham,1.8531,1.01706,0,1,4754
2014/15,2014-08-17,Liverpool,Southampton,1.33192,1.55248,2,1,4756
2014/15,2014-08-17,Newcastle,Man City,0.965583,1.48053,0,2,4757
2014/15,2014-08-18,Burnley,Chelsea,0.371141,2.12996,1,3,4758
2014/15,2014-08-23,Aston Villa,Newcastle,0.507525,0.699295,0,0,4759
2014/15,2014-08-23,Chelsea,Leicester,2.02939,0.550894,2,0,4760
2014/15,2014-08-23,Crystal Palace,West Ham,0.617283,1.33957,1,3,4761
2014/15,2014-08-23,Everton,Arsenal,1.33429,1.43355,2,2,4764
2014/15,2014-08-23,Southampton,West Brom,0.665853,0.665791,0,0,4762
2014/15,2014-08-23,Swansea,Burnley,0.914215,0.843331,1,0,4763
2014/15,2014-08-24,Hull,Stoke,0.870175,1.60916,1,1,4765
2014/15,2014-08-24,Sunderland,Man United,0.666489,0.941557,1,1,4767
2014/15,2014-08-24,Tottenham,Queens Park Rangers,2.38894,1.07617,4,0,4766
2014/15,2014-08-25,Man City,Liverpool,1.31375,0.901889,3,1,4768
2014/15,2014-08-30,Burnley,Man United,0.513746,0.467281,0,0,4769
2014/15,2014-08-30,Everton,Chelsea,1.4491,2.02665,3,6,4775
2014/15,2014-08-30,Man City,Stoke,0.891768,0.299792,0,1,4770
2014/15,2014-08-30,Newcastle,Crystal Palace,1.69776,1.66056,3,3,4771
2014/15,2014-08-30,Queens Park Rangers,Sunderland,1.27277,0.964343,1,0,4772
2014/15,2014-08-30,Swansea,West Brom,2.02641,0.696665,3,0,4773
2014/15,2014-08-30,West Ham,Southampton,0.635223,1.57513,1,3,4774
2014/15,2014-08-31,Aston Villa,Hull,0.639316,0.28888,2,1,4776
2014/15,2014-08-31,Leicester,Arsenal,0.809743,2.29649,1,1,4778
2014/15,2014-08-31,Tottenham,Liverpool,0.48592,2.74317,0,3,4777
2014/15,2014-09-13,Arsenal,Man City,2.07804,2.30834,2,2,4719
2014/15,2014-09-13,Chelsea,Swansea,3.56581,1.02153,4,2,4720
2014/15,2014-09-13,Crystal Palace,Burnley,0.780534,1.2493,0,0,4721
2014/15,2014-09-13,Liverpool,Aston Villa,0.728097,0.701676,0,1,4726
2014/15,2014-09-13,Southampton,Newcastle,2.11739,1.15026,4,0,4722
2014/15,2014-09-13,Stoke,Leicester,1.64782,0.598313,0,1,4723
2014/15,2014-09-13,Sunderland,Tottenham,0.338966,2.03694,2,2,4724
2014/15,2014-09-13,West Brom,Everton,0.602059,0.807492,0,2,4725
2014/15,2014-09-14,Man United,Queens Park Rangers,2.20911,0.563524,4,0,4727
2014/15,2014-09-15,Hull,West Ham,0.439084,0.661678,2,2,4728
2014/15,2014-09-20,Aston Villa,Arsenal,0.649013,1.36224,0,3,4731
2014/15,2014-09-20,Burnley,Sunderland,0.710673,0.643512,0,0,4732
2014/15,2014-09-20,Newcastle,Hull,1.91632,0.854291,2,2,4733
2014/15,2014-09-20,Queens Park Rangers,Stoke,1.05642,1.45847,2,2,4729
2014/15,2014-09-20,Swansea,Southampton,0.520262,0.750244,0,1,4730
2014/15,2014-09-20,West Ham,Liverpool,1.26032,0.37835,3,1,4734
2014/15,2014-09-21,Everton,Crystal Palace,2.56122,1.62886,2,3,4738
2014/15,2014-09-21,Leicester,Man United,2.5422,1.71191,5,3,4736
2014/15,2014-09-21,Man City,Chelsea,1.05592,1.02093,1,1,4737
2014/15,2014-09-21,Tottenham,West Brom,0.438596,1.08401,0,1,4735
2014/15,2014-09-27,Arsenal,Tottenham,1.2647,0.673535,1,1,4746
2014/15,2014-09-27,Chelsea,Aston Villa,3.14218,0.228896,3,0,4742
2014/15,2014-09-27,Crystal Palace,Leicester,2.1144,0.453547,2,0,4743
2014/15,2014-09-27,Hull,Man City,1.12374,1.78953,2,4,4744
2014/15,2014-09-27,Liverpool,Everton,1.5286,0.475885,1,1,4739
2014/15,2014-09-27,Man United,West Ham,0.520246,1.27452,2,1,4740
2014/15,2014-09-27,Southampton,Queens Park Rangers,2.34463,0.456323,2,1,4741
2014/15,2014-09-27,Sunderland,Swansea,1.39649,0.156398,0,0,4745
2014/15,2014-09-28,West Brom,Burnley,1.81127,0.473814,4,0,4747
2014/15,2014-09-29,Stoke,Newcastle,1.56203,1.13994,1,0,4748
2014/15,2014-10-04,Aston Villa,Man City,0.690283,2.30634,0,2,4694
2014/15,2014-10-04,Hull,Crystal Palace,1.07209,0.616109,2,0,4689
2014/15,2014-10-04,Leicester,Burnley,1.57773,0.957718,2,2,4690
2014/15,2014-10-04,Liverpool,West Brom,1.56163,1.4384,2,1,4691
2014/15,2014-10-04,Sunderland,Stoke,1.40551,0.478187,3,1,4692
2014/15,2014-10-04,Swansea,Newcastle,1.55242,1.18603,2,2,4693
2014/15,2014-10-05,Chelsea,Arsenal,1.40263,0.330699,2,0,4697
2014/15,2014-10-05,Man United,Everton,1.6239,2.13558,2,1,4695
2014/15,2014-10-05,Tottenham,Southampton,0.898735,1.14587,1,0,4696
