game_id,season,game_number,match_date,home_team,away_team,home_score,away_score,source_slot,reason
122120240316,2024,8,2024-03-16,Greater Western Sydney Giants,North Melbourne Kangaroos,121,82,fox,no Fox sitemap candidate above threshold
031220240329,2024,23,2024-03-29,North Melbourne Kangaroos,Carlton Blues,81,137,fox,no Fox sitemap candidate above threshold
010820240329,2024,24,2024-03-29,Fremantle Dockers,Adelaide Crows,69,34,fox,no Fox sitemap candidate above threshold
111320240330,2024,26,2024-03-30,Port Adelaide Power,Melbourne Demons,89,96,fox,no Fox sitemap candidate above threshold
071820240331,2024,27,2024-03-31,Western Bulldogs,West Coast Eagles,106,30,fox,no Fox sitemap candidate above threshold
091020240401,2024,29,2024-04-01,Hawthorn Hawks,Geelong Cats,70,106,fox,no Fox sitemap candidate above threshold
121920240405,2024,31,2024-04-05,Brisbane Lions,North Melbourne Kangaroos,112,42,fox,no Fox sitemap candidate above threshold
161820240406,2024,33,2024-04-06,West Coast Eagles,Sydney Swans,78,104,fox,no Fox sitemap candidate above threshold
070920240406,2024,35,2024-04-06,Western Bulldogs,Geelong Cats,91,95,fox,no Fox sitemap candidate above threshold
141520240407,2024,37,2024-04-07,Richmond Tigers,St Kilda Saints,60,67,fox,no Fox sitemap candidate above threshold
050720240412,2024,40,2024-04-12,Western Bulldogs,Essendon Bombers,67,96,fox,no Fox sitemap candidate above threshold
010320240413,2024,42,2024-04-13,Carlton Blues,Adelaide Crows,98,100,fox,no Fox sitemap candidate above threshold
091220240414,2024,45,2024-04-14,Geelong Cats,North Melbourne Kangaroos,139,64,fox,no Fox sitemap candidate above threshold
141820240414,2024,46,2024-04-14,West Coast Eagles,Richmond Tigers,109,70,fox,no Fox sitemap candidate above threshold
091920240420,2024,51,2024-04-20,Brisbane Lions,Geelong Cats,37,63,fox,no Fox sitemap candidate above threshold
101220240421,2024,54,2024-04-21,North Melbourne Kangaroos,Hawthorn Hawks,68,113,fox,no Fox sitemap candidate above threshold
011220240427,2024,59,2024-04-27,North Melbourne Kangaroos,Adelaide Crows,81,138,fox,no Fox sitemap candidate above threshold
030920240427,2024,60,2024-04-27,Geelong Cats,Carlton Blues,118,105,fox,no Fox sitemap candidate above threshold
070820240427,2024,61,2024-04-27,Fremantle Dockers,Western Bulldogs,95,71,fox,no Fox sitemap candidate above threshold
182020240428,2024,62,2024-04-28,Gold Coast Suns,West Coast Eagles,112,75,fox,no Fox sitemap candidate above threshold
101620240428,2024,63,2024-04-28,Hawthorn Hawks,Sydney Swans,42,118,fox,no Fox sitemap candidate above threshold
011320240502,2024,64,2024-05-02,Adelaide Crows,Port Adelaide Power,78,48,fox,no Fox sitemap candidate above threshold
162120240504,2024,66,2024-05-04,Sydney Swans,Greater Western Sydney Giants,98,69,fox,no Fox sitemap candidate above threshold
081420240505,2024,70,2024-05-05,Richmond Tigers,Fremantle Dockers,49,103,fox,no Fox sitemap candidate above threshold
071020240505,2024,71,2024-05-05,Western Bulldogs,Hawthorn Hawks,91,98,fox,no Fox sitemap candidate above threshold
192020240505,2024,72,2024-05-05,Brisbane Lions,Gold Coast Suns,79,45,fox,no Fox sitemap candidate above threshold
081620240510,2024,75,2024-05-10,Fremantle Dockers,Sydney Swans,39,87,fox,no Fox sitemap candidate above threshold
052120240511,2024,77,2024-05-11,Essendon Bombers,Greater Western Sydney Giants,82,62,fox,no Fox sitemap candidate above threshold
071420240511,2024,79,2024-05-11,Richmond Tigers,Western Bulldogs,42,133,fox,no Fox sitemap candidate above threshold
041820240512,2024,80,2024-05-12,Collingwood Magpies,West Coast Eagles,103,37,fox,no Fox sitemap candidate above threshold
