season,round,date,home_team,away_team,home_score,away_score,actual_margin_home,actual_total,market,signal,selection,model_number,model_home_fair_odds,model_away_fair_odds,open_number,close_number,open_odds,close_odds,clv,result,winner,bookmakers_surveyed
2026,14,2026-06-11,Western Bulldogs,Adelaide Crows,64,121,-57.0,185.0,h2h,normal,Adelaide Crows,,2.389,1.72,,,2.0,2.25,-0.1111,win,normal,5
2026,14,2026-06-11,Western Bulldogs,Adelaide Crows,64,121,-57.0,185.0,h2h,ml,Western Bulldogs,,1.177,6.636,,,1.74,1.65,0.0545,loss,normal,5
2026,14,2026-06-11,Western Bulldogs,Adelaide Crows,64,121,-57.0,185.0,h2h,market,Western Bulldogs,,,,,,1.74,1.65,0.0545,loss,normal,5
2026,14,2026-06-11,Western Bulldogs,Adelaide Crows,64,121,-57.0,185.0,handicap,normal,Adelaide Crows,-7.4,,,4.5,5.5,1.9,1.95,-1.0,win,tie,5
2026,14,2026-06-11,Western Bulldogs,Adelaide Crows,64,121,-57.0,185.0,handicap,ml,Adelaide Crows,-15.4,,,4.5,5.5,1.9,1.95,-1.0,win,tie,5
2026,14,2026-06-11,Western Bulldogs,Adelaide Crows,64,121,-57.0,185.0,handicap,market,Western Bulldogs,,,,-4.5,-5.5,1.9,1.85,1.0,loss,tie,5
2026,14,2026-06-11,Western Bulldogs,Adelaide Crows,64,121,-57.0,185.0,total,normal,under,165.8,,,180.5,180.5,1.98,2.02,0.0,loss,market,5
2026,14,2026-06-11,Western Bulldogs,Adelaide Crows,64,121,-57.0,185.0,total,ml,under,162.4,,,180.5,180.5,1.98,2.02,0.0,loss,market,5
2026,14,2026-06-11,Western Bulldogs,Adelaide Crows,64,121,-57.0,185.0,total,market,no_move,,,,180.5,180.5,,,,,market,5
2026,14,2026-06-12,Geelong Cats,Gold Coast Suns,105,60,45.0,165.0,h2h,normal,Geelong Cats,,1.181,6.515,,,1.34,1.21,0.1074,win,tie,5
2026,14,2026-06-12,Geelong Cats,Gold Coast Suns,105,60,45.0,165.0,h2h,ml,Geelong Cats,,1.389,3.573,,,1.34,1.21,0.1074,win,tie,5
2026,14,2026-06-12,Geelong Cats,Gold Coast Suns,105,60,45.0,165.0,h2h,market,Geelong Cats,,,,,,1.34,1.21,0.1074,win,tie,5
2026,14,2026-06-12,Geelong Cats,Gold Coast Suns,105,60,45.0,165.0,handicap,normal,Geelong Cats,36.8,,,-23.5,-27.5,1.9,1.95,4.0,win,tie,5
2026,14,2026-06-12,Geelong Cats,Gold Coast Suns,105,60,45.0,165.0,handicap,ml,Gold Coast Suns,13.4,,,23.5,27.5,1.9,1.85,-4.0,loss,tie,5
2026,14,2026-06-12,Geelong Cats,Gold Coast Suns,105,60,45.0,165.0,handicap,market,Geelong Cats,,,,-23.5,-27.5,1.9,1.95,4.0,win,tie,5
2026,14,2026-06-12,Geelong Cats,Gold Coast Suns,105,60,45.0,165.0,total,normal,over,185.6,,,178.5,180.5,1.87,1.8,2.0,loss,ml,5
2026,14,2026-06-12,Geelong Cats,Gold Coast Suns,105,60,45.0,165.0,total,ml,under,164.1,,,178.5,180.5,2.04,2.12,-2.0,win,ml,5
2026,14,2026-06-12,Geelong Cats,Gold Coast Suns,105,60,45.0,165.0,total,market,over,,,,178.5,180.5,1.87,1.8,2.0,loss,ml,5
2026,14,2026-06-13,Melbourne Demons,Essendon Bombers,95,50,45.0,145.0,h2h,normal,Melbourne Demons,,1.199,6.031,,,1.17,1.18,-0.0085,win,tie,5
2026,14,2026-06-13,Melbourne Demons,Essendon Bombers,95,50,45.0,145.0,h2h,ml,Melbourne Demons,,1.014,72.993,,,1.17,1.18,-0.0085,win,tie,5
2026,14,2026-06-13,Melbourne Demons,Essendon Bombers,95,50,45.0,145.0,h2h,market,Melbourne Demons,,,,,,1.17,1.18,-0.0085,win,tie,5
2026,14,2026-06-13,Melbourne Demons,Essendon Bombers,95,50,45.0,145.0,handicap,normal,Melbourne Demons,34.9,,,-31.5,-28.5,1.9,1.85,-3.0,win,tie,5
2026,14,2026-06-13,Melbourne Demons,Essendon Bombers,95,50,45.0,145.0,handicap,ml,Melbourne Demons,34.5,,,-31.5,-28.5,1.9,1.85,-3.0,win,tie,5
2026,14,2026-06-13,Melbourne Demons,Essendon Bombers,95,50,45.0,145.0,handicap,market,Essendon Bombers,,,,31.5,28.5,1.9,1.95,3.0,loss,tie,5
2026,14,2026-06-13,Melbourne Demons,Essendon Bombers,95,50,45.0,145.0,total,normal,over,169.9,,,163.5,160.5,1.87,1.81,-3.0,loss,market,5
2026,14,2026-06-13,Melbourne Demons,Essendon Bombers,95,50,45.0,145.0,total,ml,over,187.6,,,163.5,160.5,1.87,1.81,-3.0,loss,market,5
2026,14,2026-06-13,Melbourne Demons,Essendon Bombers,95,50,45.0,145.0,total,market,under,,,,163.5,160.5,2.0,2.08,3.0,win,market,5
2026,14,2026-06-13,North Melbourne Kangaroos,West Coast Eagles,74,73,1.0,147.0,h2h,normal,North Melbourne Kangaroos,,1.287,4.478,,,1.63,1.45,0.1241,win,tie,5
2026,14,2026-06-13,North Melbourne Kangaroos,West Coast Eagles,74,73,1.0,147.0,h2h,ml,North Melbourne Kangaroos,,1.141,8.097,,,1.63,1.45,0.1241,win,tie,5
2026,14,2026-06-13,North Melbourne Kangaroos,West Coast Eagles,74,73,1.0,147.0,h2h,market,North Melbourne Kangaroos,,,,,,1.63,1.45,0.1241,win,tie,5
2026,14,2026-06-13,North Melbourne Kangaroos,West Coast Eagles,74,73,1.0,147.0,handicap,normal,North Melbourne Kangaroos,27.4,,,-9.5,-13.5,1.9,1.9,4.0,loss,tie,5
2026,14,2026-06-13,North Melbourne Kangaroos,West Coast Eagles,74,73,1.0,147.0,handicap,ml,North Melbourne Kangaroos,12.6,,,-9.5,-13.5,1.9,1.9,4.0,loss,tie,5
2026,14,2026-06-13,North Melbourne Kangaroos,West Coast Eagles,74,73,1.0,147.0,handicap,market,North Melbourne Kangaroos,,,,-9.5,-13.5,1.9,1.9,4.0,loss,tie,5
2026,14,2026-06-13,North Melbourne Kangaroos,West Coast Eagles,74,73,1.0,147.0,total,normal,under,160.2,,,165.5,176.5,1.98,1.98,-11.0,win,tie,5
2026,14,2026-06-13,North Melbourne Kangaroos,West Coast Eagles,74,73,1.0,147.0,total,ml,under,144.5,,,165.5,176.5,1.98,1.98,-11.0,win,tie,5
2026,14,2026-06-13,North Melbourne Kangaroos,West Coast Eagles,74,73,1.0,147.0,total,market,over,,,,165.5,176.5,1.87,1.9,11.0,loss,tie,5
2026,14,2026-06-13,Port Adelaide Power,Sydney Swans,90,93,-3.0,183.0,h2h,normal,Sydney Swans,,3.063,1.485,,,1.36,1.44,-0.0556,win,normal,5
2026,14,2026-06-13,Port Adelaide Power,Sydney Swans,90,93,-3.0,183.0,h2h,ml,Port Adelaide Power,,1.636,2.573,,,3.0,2.8,0.0714,loss,normal,5
