round,date,match,selection,side,model_probability,closing_no_vig_probability,probability_edge,closing_odds,expected_value,result,profit
7,2026-04-23,Bulldogs v Swans,Bulldogs,home,0.6802721088435374,0.3181818181818181,0.36209029066171927,3.0,1.0408163265306123,L,-1.0
7,2026-04-23,Bulldogs v Swans,Swans,away,0.3215434083601286,0.6818181818181818,-0.36027477345805314,1.4,-0.54983922829582,W,0.3999999999999999
7,2026-04-24,Tigers v Demons,Tigers,home,0.28901734104046245,0.15848527349228608,0.13053206754817637,6.0,0.7341040462427748,L,-1.0
7,2026-04-24,Tigers v Demons,Demons,away,0.7092198581560284,0.8415147265077139,-0.13229486835168547,1.13,-0.198581560283688,W,0.1299999999999999
7,2026-04-25,Hawks v Suns,Hawks,home,0.7246376811594204,0.5769230769230769,0.14771460423634353,1.65,0.19565217391304368,W,0.6499999999999999
7,2026-04-25,Hawks v Suns,Suns,away,0.2747252747252747,0.423076923076923,-0.14835164835164832,2.25,-0.38186813186813195,L,-1.0
7,2026-04-25,Bombers v Magpies,Bombers,home,0.3278688524590164,0.2967032967032967,0.03116555575571972,3.2,0.049180327868852514,L,-1.0
7,2026-04-25,Bombers v Magpies,Magpies,away,0.6711409395973155,0.7032967032967032,-0.032155763699387774,1.35,-0.09395973154362403,W,0.3500000000000001
7,2026-04-25,Power v Cats,Power,home,0.4566210045662101,0.23809523809523808,0.218525766470972,4.0,0.8264840182648403,W,3.0
7,2026-04-25,Power v Cats,Cats,away,0.5434782608695652,0.7619047619047619,-0.21842650103519667,1.25,-0.32065217391304346,L,-1.0
7,2026-04-25,Dockers v Blues,Dockers,home,0.8064516129032259,0.8731082654249126,-0.06665665252168673,1.09,-0.12096774193548376,W,0.09000000000000008
7,2026-04-25,Dockers v Blues,Blues,away,0.19342359767891684,0.12689173457508732,0.06653186310382952,7.5,0.4506769825918764,L,-1.0
7,2026-04-26,Saints v Eagles,Saints,home,0.9345794392523364,0.8641975308641975,0.07038190838813896,1.1,0.028037383177570208,W,0.10000000000000009
7,2026-04-26,Saints v Eagles,Eagles,away,0.06119951040391677,0.13580246913580246,-0.07460295873188569,7.0,-0.5716034271725826,L,-1.0
7,2026-04-26,Lions v Crows,Lions,home,0.8474576271186441,0.7619047619047619,0.08555286521388228,1.25,0.05932203389830515,W,0.25
7,2026-04-26,Lions v Crows,Crows,away,0.15082956259426847,0.23809523809523808,-0.08726567550096961,4.0,-0.3966817496229261,L,-1.0
7,2026-04-26,Giants v Kangaroos,Giants,home,0.9174311926605504,0.6341463414634148,0.28328485119713565,1.5,0.37614678899082565,W,0.5
7,2026-04-26,Giants v Kangaroos,Kangaroos,away,0.08,0.3658536585365854,-0.2858536585365854,2.6,-0.792,L,-1.0
8,2026-04-30,Magpies v Hawks,Magpies,home,0.44052863436123346,0.22651933701657456,0.2140092973446589,4.2,0.8502202643171806,D,1.1
8,2026-04-30,Magpies v Hawks,Hawks,away,0.5586592178770949,0.7734806629834253,-0.2148214451063304,1.23,-0.3128491620111732,D,-0.385
8,2026-05-01,Bulldogs v Dockers,Bulldogs,home,0.5988023952095809,0.30155210643015523,0.29725028877942566,3.15,0.8862275449101797,L,-1.0
8,2026-05-01,Bulldogs v Dockers,Dockers,away,0.4,0.6984478935698448,-0.2984478935698448,1.36,-0.45599999999999996,W,0.3600000000000001
8,2026-05-01,Crows v Power,Crows,home,0.9433962264150942,0.6030150753768844,0.3403811510382099,1.58,0.49056603773584895,W,0.5800000000000001
8,2026-05-01,Crows v Power,Power,away,0.06090133982947624,0.39698492462311563,-0.33608358479363937,2.4,-0.853836784409257,L,-1.0
8,2026-05-02,Bombers v Lions,Bombers,home,0.11025358324145534,0.11180773249738768,-0.0015541492559323355,8.5,-0.0628445424476296,L,-1.0
8,2026-05-02,Bombers v Lions,Lions,away,0.8928571428571428,0.8881922675026124,0.004664875354530418,1.07,-0.044642857142857206,W,0.07000000000000006
8,2026-05-02,Eagles v Tigers,Eagles,home,0.7092198581560284,0.6900452488687784,0.01917460928725001,1.37,-0.028368794326241065,L,-1.0
