round,date,match,selection,side,model_probability,closing_no_vig_probability,probability_edge,closing_odds,expected_value,result,profit
8,2026-04-30,Magpies v Hawks,Magpies,home,0.875,0.22651933701657456,0.6484806629834254,4.2,2.6750000000000003,D,1.1
8,2026-05-01,Bulldogs v Dockers,Bulldogs,home,0.687,0.30155210643015523,0.3854478935698448,3.15,1.16405,L,-1.0
8,2026-05-01,Crows v Power,Crows,home,0.85,0.6030150753768844,0.2469849246231156,1.58,0.34299999999999997,W,0.5800000000000001
8,2026-05-02,Bombers v Lions,Bombers,home,0.517,0.11180773249738768,0.40519226750261234,8.5,3.3945,L,-1.0
8,2026-05-02,Eagles v Tigers,Eagles,home,0.777,0.6900452488687784,0.08695475113122164,1.37,0.06449000000000016,L,-1.0
8,2026-05-02,Blues v Saints,Blues,home,0.757,0.38596491228070173,0.3710350877192983,2.45,0.8546500000000001,L,-1.0
8,2026-05-03,Suns v Giants,Suns,home,0.78,0.6045340050377834,0.1754659949622166,1.57,0.22460000000000013,W,0.5700000000000001
9,2026-05-07,Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,home,0.7597,0.5584415584415584,0.20125844155844164,1.7,0.29149,W,0.7
9,2026-05-08,Brisbane Lions v Carlton Blues,Brisbane Lions,home,0.9834,0.8641975308641975,0.11920246913580257,1.1,0.08174000000000015,W,0.10000000000000009
9,2026-05-08,Port Adelaide Power v Western Bulldogs,Port Adelaide Power,home,0.6482,0.47368421052631576,0.17451578947368424,2.0,0.2964,L,-1.0
9,2026-05-09,Greater Western Sydney Giants v Essendon Bombers,Greater Western Sydney Giants,home,0.9443,0.8641975308641975,0.08010246913580255,1.1,0.03873000000000015,W,0.10000000000000009
9,2026-05-09,Gold Coast Suns v St Kilda Saints,Gold Coast Suns,home,0.9123,0.7048458149779735,0.2074541850220265,1.34,0.22248200000000007,W,0.3400000000000001
9,2026-05-10,Melbourne Demons v West Coast Eagles,Melbourne Demons,home,0.966,0.8641975308641975,0.10180246913580249,1.1,0.06259999999999999,W,0.10000000000000009
10,2026-05-14,Lions v Cats,Lions,home,0.889,0.6474820143884892,0.24151798561151083,1.47,0.30682999999999994,L,-1.0
10,2026-05-16,Crows v Kangaroos,Crows,home,0.86,0.6416464891041161,0.21835351089588384,1.48,0.27279999999999993,W,0.48
10,2026-05-16,Demons v Hawks,Demons,home,0.741,0.33962264150943394,0.40137735849056605,2.8,1.0747999999999998,W,1.7999999999999998
10,2026-05-16,Blues v Bulldogs,Blues,home,0.614,0.40506329113924056,0.20893670886075943,2.35,0.44290000000000007,W,1.35
10,2026-05-17,Bombers v Dockers,Bombers,home,0.695,0.1986644407345576,0.49633555926544237,4.8,2.336,L,-1.0
11,2026-05-21,Hawthorn Hawks v Adelaide Crows,Hawthorn Hawks,home,0.6943,0.6125,0.08179999999999998,1.55,0.07616500000000004,W,0.55
11,2026-05-22,Fremantle Dockers v St Kilda Saints,Fremantle Dockers,home,0.8951,0.7470119521912351,0.14808804780876494,1.27,0.13677699999999993,W,0.27
11,2026-05-22,Richmond Tigers v Essendon Bombers,Richmond Tigers,home,0.6135,0.33962264150943394,0.2738773584905661,2.8,0.7178,W,1.7999999999999998
11,2026-05-23,Geelong Cats v Sydney Swans,Sydney Swans,away,0.4413,0.3658536585365854,0.07544634146341461,2.6,0.14738000000000007,L,-1.0
11,2026-05-23,North Melbourne Kangaroos v Gold Coast Suns,North Melbourne Kangaroos,home,0.5229,0.39698492462311563,0.1259150753768844,2.4,0.2549600000000001,W,1.4
11,2026-05-23,Port Adelaide Power v Carlton Blues,Port Adelaide Power,home,0.7333,0.660377358490566,0.07292264150943395,1.44,0.055952,L,-1.0
11,2026-05-24,Greater Western Sydney Giants v Brisbane Lions,Greater Western Sydney Giants,home,0.48910000000000003,0.3875,0.10160000000000002,2.45,0.1982950000000001,W,1.4500000000000002
11,2026-05-24,Western Bulldogs v Melbourne Demons,Western Bulldogs,home,0.7539,0.4569190600522194,0.29698093994778063,2.08,0.5681120000000002,W,1.08
12,2026-05-28,St Kilda Saints v Hawthorn Hawks,St Kilda Saints,home,0.48310000000000003,0.2841880341880342,0.19891196581196585,3.35,0.6183850000000002,L,-1.0
