round_number,home_team,away_team,rules_margin,ml_margin,rules_home_prob,ml_h2h,game_date,date,home_win,home_margin,mkt_home_prob_open,h2h_home_close,h2h_away_close,home_line_close,date_gap
8,Collingwood Magpies,Hawthorn Hawks,-5.4,5.3,0.44,0.875,2026-04-30,2026-04-30,0.0,0.0,0.3333,4.2,1.23,27.5,0.0
8,Western Bulldogs,Fremantle Dockers,9.1,-5.8,0.6,0.687,2026-05-01,2026-05-01,0.0,-12.0,0.3224,3.15,1.36,19.5,0.0
8,Adelaide Crows,Port Adelaide Power,55.7,47.3,0.9390000000000001,0.85,2026-05-01,2026-05-01,1.0,1.0,0.6881,1.58,2.4,-8.5,0.0
8,Essendon Bombers,Brisbane Lions,-44.1,-14.5,0.11,0.517,2026-05-02,2026-05-02,0.0,-64.0,0.2077,8.5,1.07,47.5,0.0
8,West Coast Eagles,Richmond Tigers,19.9,22.0,0.7090000000000001,0.777,2026-05-02,2026-05-02,0.0,-11.0,0.6744,1.37,3.05,-19.5,0.0
8,Geelong Cats,North Melbourne Kangaroos,62.3,41.5,0.958,0.8170000000000001,2026-05-02,2026-05-02,1.0,49.0,0.777,1.23,4.2,-27.5,0.0
8,Carlton Blues,St Kilda Saints,6.4,0.9,0.57,0.757,2026-05-02,2026-05-02,0.0,-39.0,0.3781,2.45,1.54,10.5,0.0
8,Sydney Swans,Melbourne Demons,56.8,38.8,0.943,0.8809999999999999,2026-05-03,2026-05-03,1.0,17.0,0.8104,1.12,6.25,-37.5,0.0
8,Gold Coast Suns,Greater Western Sydney Giants,18.6,26.5,0.698,0.78,2026-05-03,2026-05-03,1.0,20.0,0.7081,1.57,2.4,-9.5,0.0
9,Fremantle Dockers,Hawthorn Hawks,4.6,3.9,0.5513,0.7597,2026-05-07,2026-05-07,1.0,15.0,0.5134,1.7,2.15,-4.5,0.0
9,Brisbane Lions,Carlton Blues,60.8,65.6,0.9543,0.9834,2026-05-08,2026-05-08,1.0,11.0,0.8216,1.1,7.0,-41.5,0.0
9,Port Adelaide Power,Western Bulldogs,-14.8,18.1,0.3401,0.6482,2026-05-08,2026-05-08,0.0,-2.0,0.4759,2.0,1.8,2.5,0.0
9,North Melbourne Kangaroos,Sydney Swans,-21.6,-4.2,0.2747,0.2916,2026-05-09,2026-05-09,0.0,-8.0,0.2525,3.35,1.32,22.5,0.0
9,Greater Western Sydney Giants,Essendon Bombers,45.2,42.7,0.8956,0.9443,2026-05-09,2026-05-09,1.0,14.0,0.8663,1.1,7.0,-43.5,0.0
9,Gold Coast Suns,St Kilda Saints,48.9,50.8,0.913,0.9123,2026-05-09,2026-05-09,1.0,29.0,0.6611,1.34,3.2,-20.5,0.0
9,Geelong Cats,Collingwood Magpies,23.2,8.4,0.7403,0.6377,2026-05-09,2026-05-09,1.0,54.0,0.6266,1.48,2.65,-13.5,0.0
9,Melbourne Demons,West Coast Eagles,45.2,41.9,0.8953,0.966,2026-05-10,2026-05-10,1.0,32.0,0.837,1.1,7.0,-41.5,0.0
9,Richmond Tigers,Adelaide Crows,-52.9,-22.6,0.0708,0.0954,2026-05-10,2026-05-10,0.0,-37.0,0.1784,6.0,1.13,38.5,0.0
10,Brisbane Lions,Geelong Cats,24.0,17.6,0.748,0.889,2026-05-14,2026-05-14,0.0,-41.0,0.6579,1.47,2.7,-14.5,0.0
10,Sydney Swans,Collingwood Magpies,27.2,14.9,0.775,0.851,2026-05-15,2026-05-15,1.0,6.0,0.7749,1.13,6.0,-35.5,0.0
10,Gold Coast Suns,Port Adelaide Power,29.7,34.5,0.795,0.85,2026-05-15,2026-05-15,1.0,25.0,0.7549,1.21,4.4,-25.5,0.0
10,Adelaide Crows,North Melbourne Kangaroos,45.4,46.9,0.8959999999999999,0.86,2026-05-16,2026-05-16,1.0,68.0,0.6865,1.48,2.65,-12.5,0.0
10,Melbourne Demons,Hawthorn Hawks,-43.4,-1.5,0.114,0.741,2026-05-16,2026-05-16,1.0,39.0,0.2952,2.8,1.44,15.5,0.0
10,Carlton Blues,Western Bulldogs,-13.6,7.6,0.35200000000000004,0.614,2026-05-16,2026-05-16,1.0,12.0,0.3494,2.35,1.6,8.5,0.0
10,Essendon Bombers,Fremantle Dockers,-42.9,-11.8,0.11699999999999999,0.695,2026-05-17,2026-05-17,0.0,-43.0,0.1797,4.8,1.19,76.5,0.0
10,St Kilda Saints,Richmond Tigers,55.3,35.2,0.938,0.907,2026-05-17,2026-05-17,1.0,36.0,0.8653,1.09,7.5,-40.5,0.0
10,West Coast Eagles,Greater Western Sydney Giants,-42.1,-29.0,0.121,0.21899999999999997,2026-05-17,2026-05-17,1.0,17.0,0.196,4.3,1.22,29.5,0.0
11,Hawthorn Hawks,Adelaide Crows,27.4,0.4,0.777,0.6943,2026-05-21,2026-05-21,1.0,9.0,0.6951,1.55,2.45,-10.5,0.0
11,Fremantle Dockers,St Kilda Saints,47.3,18.1,0.9055,0.8951,2026-05-22,2026-05-22,1.0,30.0,0.7377,1.27,3.75,-23.5,0.0
11,Richmond Tigers,Essendon Bombers,-14.8,-13.1,0.3405,0.6135,2026-05-22,2026-05-22,1.0,18.0,0.3627,2.8,1.44,13.5,0.0
