rules_weight,threshold_points,bets,avg_model_edge_to_close,wins,losses,pushes,profit_at_1_90,roi_at_1_90
0.0,0,108,11.61574074074074,61,47,0,7.900000000000001,0.07314814814814824
0.0,3,85,14.396470588235298,49,36,0,8.100000000000001,0.09529411764705886
0.0,6,69,16.58985507246377,43,26,0,12.700000000000001,0.18405797101449275
0.0,10,52,19.551923076923075,35,17,0,14.5,0.27884615384615385
0.25,0,108,10.15648148148148,58,50,0,2.200000000000001,0.02037037037037043
0.25,3,83,12.827409638554217,50,33,0,12.000000000000002,0.14457831325301213
0.25,6,67,14.823134328358208,40,27,0,9.0,0.13432835820895522
0.25,10,43,18.63779069767442,28,15,0,10.200000000000001,0.23720930232558143
0.5,0,108,9.743518518518515,56,52,0,-1.5999999999999988,-0.014814814814814824
0.5,3,85,11.998823529411764,47,38,0,4.300000000000001,0.050588235294117684
0.5,6,68,13.89411764705882,38,30,0,4.200000000000001,0.06176470588235297
0.5,10,42,18.003571428571426,22,20,0,-0.1999999999999995,-0.004761904761904766
0.6,0,108,9.81203703703704,53,55,0,-7.299999999999999,-0.06759259259259258
0.6,3,84,12.24952380952381,46,38,0,3.4000000000000012,0.04047619047619048
0.6,6,67,14.177014925373133,34,33,0,-2.3999999999999995,-0.03582089552238807
0.6,10,42,18.29714285714286,23,19,0,1.7000000000000006,0.04047619047619047
0.7,0,108,10.131666666666668,52,56,0,-9.2,-0.08518518518518516
0.7,3,86,12.373488372093021,44,42,0,-2.399999999999999,-0.027906976744186057
0.7,6,65,14.825692307692307,34,31,0,-0.39999999999999925,-0.00615384615384615
0.7,10,43,18.57488372093023,24,19,0,2.6000000000000005,0.06046511627906976
0.75,0,108,10.314814814814815,51,57,0,-11.1,-0.10277777777777776
0.75,3,85,12.739411764705881,42,43,0,-5.199999999999999,-0.06117647058823526
0.75,6,68,14.706617647058822,35,33,0,-1.4999999999999991,-0.022058823529411777
0.75,10,46,18.270652173913046,25,21,0,1.5000000000000004,0.032608695652173884
0.8,0,108,10.570925925925927,50,58,0,-12.999999999999998,-0.12037037037037035
0.8,3,87,12.815402298850579,42,45,0,-7.199999999999999,-0.08275862068965516
0.8,6,68,15.077941176470588,34,34,0,-3.3999999999999995,-0.049999999999999996
0.8,10,47,18.422978723404253,25,22,0,0.5000000000000006,0.010638297872340394
0.9,0,108,11.145740740740742,50,58,0,-12.999999999999998,-0.12037037037037034
0.9,3,87,13.507701149425289,42,45,0,-7.199999999999999,-0.08275862068965519
0.9,6,70,15.640999999999998,36,34,0,-1.5999999999999992,-0.022857142857142864
0.9,10,48,19.129583333333333,21,27,0,-8.1,-0.16875000000000004
1.0,0,108,11.84351851851852,51,57,0,-11.1,-0.10277777777777776
1.0,3,90,13.969999999999999,42,48,0,-10.2,-0.11333333333333333
1.0,6,73,16.190410958904106,37,36,0,-2.6999999999999993,-0.03698630136986302
1.0,10,52,19.52307692307692,22,30,0,-10.2,-0.1961538461538461
