model,season,date,home_team,away_team,side,edge,odds,profit
current_shadow,2023,2023-03-16,Richmond Tigers,Carlton Blues,home,0.07156766366355027,1.65,-1.0
current_shadow,2023,2023-03-17,Geelong Cats,Collingwood Magpies,home,0.09852218451758321,1.56,-1.0
current_shadow,2023,2023-03-18,North Melbourne Kangaroos,West Coast Eagles,away,0.1666666567325592,1.93,-1.0
current_shadow,2023,2023-03-18,Port Adelaide Power,Brisbane Lions,home,0.17811294976315373,2.02,1.02
current_shadow,2023,2023-03-18,Melbourne Demons,Western Bulldogs,home,0.12137861220867596,1.8,0.8
current_shadow,2023,2023-03-19,Greater Western Sydney Giants,Adelaide Crows,home,0.07289392661444749,1.65,0.6499999999999999
current_shadow,2023,2023-03-19,Hawthorn Hawks,Essendon Bombers,home,0.1523498033865905,2.18,-1.0
current_shadow,2023,2023-03-19,St Kilda Saints,Fremantle Dockers,home,0.3166368423506271,2.85,1.85
current_shadow,2023,2023-03-24,Brisbane Lions,Melbourne Demons,home,0.1964818035909372,2.1,1.1
current_shadow,2023,2023-03-25,Collingwood Magpies,Port Adelaide Power,away,0.20399883565644328,2.5,-1.0
current_shadow,2023,2023-03-25,Adelaide Crows,Richmond Tigers,home,0.2709359544251352,2.5,-1.0
current_shadow,2023,2023-03-25,Fremantle Dockers,North Melbourne Kangaroos,away,0.09327971380628741,6.5,5.5
current_shadow,2023,2023-03-26,Sydney Swans,Hawthorn Hawks,away,0.17857141154153,9.0,-1.0
current_shadow,2023,2023-03-26,West Coast Eagles,Greater Western Sydney Giants,home,0.18763994009463814,2.05,1.0499999999999998
current_shadow,2023,2023-03-30,Western Bulldogs,Brisbane Lions,home,0.25384614467620853,2.4,1.4
current_shadow,2023,2023-03-31,Collingwood Magpies,Richmond Tigers,away,0.2564380538353722,2.9,-1.0
current_shadow,2023,2023-04-01,Hawthorn Hawks,North Melbourne Kangaroos,home,0.09045226130653267,2.35,1.35
current_shadow,2023,2023-04-01,Greater Western Sydney Giants,Carlton Blues,home,0.26178659132633253,2.45,-1.0
current_shadow,2023,2023-04-01,St Kilda Saints,Essendon Bombers,home,0.1470964042816083,1.9,0.8999999999999999
current_shadow,2023,2023-04-02,Gold Coast Suns,Geelong Cats,home,0.11991921757935453,3.3,2.3
current_shadow,2023,2023-04-02,Melbourne Demons,Sydney Swans,home,0.10256409339415717,1.75,0.75
current_shadow,2023,2023-04-06,Brisbane Lions,Collingwood Magpies,away,0.0814855484638135,1.9,-1.0
current_shadow,2023,2023-04-07,North Melbourne Kangaroos,Carlton Blues,home,0.1483803652110145,5.2,-1.0
current_shadow,2023,2023-04-08,Adelaide Crows,Fremantle Dockers,home,0.07156766366355027,1.65,0.6499999999999999
current_shadow,2023,2023-04-08,Richmond Tigers,Western Bulldogs,home,0.12383347000908007,1.63,-1.0
current_shadow,2023,2023-04-09,Essendon Bombers,Greater Western Sydney Giants,away,0.23835349216810642,2.75,-1.0
current_shadow,2023,2023-04-09,West Coast Eagles,Melbourne Demons,home,0.33769063706751223,13.0,-1.0
current_shadow,2023,2023-04-13,Adelaide Crows,Carlton Blues,away,0.12403099781783045,1.77,-1.0
current_shadow,2023,2023-04-14,Fremantle Dockers,Gold Coast Suns,home,0.07289392661444749,1.65,0.6499999999999999
current_shadow,2023,2023-04-14,Richmond Tigers,Sydney Swans,home,0.296564212328271,2.3,-1.0
current_shadow,2023,2023-04-15,Brisbane Lions,North Melbourne Kangaroos,away,0.14615385532379144,4.8,-1.0
current_shadow,2023,2023-04-16,Geelong Cats,West Coast Eagles,home,0.0861369423351841,1.05,0.050000000000000044
current_shadow,2023,2023-04-21,Fremantle Dockers,Western Bulldogs,home,0.12137861220867596,1.8,-1.0
current_shadow,2023,2023-04-22,Greater Western Sydney Giants,Brisbane Lions,home,0.12453066858839484,3.35,-1.0
