model,season,date,home_team,away_team,side,edge,odds,profit,threshold
current_shadow,2024,2024-03-07,Sydney Swans,Melbourne Demons,home,0.32667333584327196,1.85,0.8500000000000001,0.05
current_shadow,2024,2024-03-08,Brisbane Lions,Carlton Blues,away,0.1150000000000001,3.7,2.7,0.05
current_shadow,2024,2024-03-09,Gold Coast Suns,Richmond Tigers,home,0.16433567350560974,1.4,0.3999999999999999,0.05
current_shadow,2024,2024-03-09,Greater Western Sydney Giants,Collingwood Magpies,home,0.054545478387312385,1.75,0.75,0.05
current_shadow,2024,2024-03-16,Essendon Bombers,Hawthorn Hawks,home,0.10551948051948046,1.85,0.8500000000000001,0.05
current_shadow,2024,2024-03-16,Greater Western Sydney Giants,North Melbourne Kangaroos,away,0.06670921521562767,11.0,-1.0,0.05
current_shadow,2024,2024-03-16,Gold Coast Suns,Adelaide Crows,home,0.058673469387755084,1.7,0.7,0.05
current_shadow,2024,2024-03-17,Port Adelaide Power,West Coast Eagles,away,0.21073543506044579,11.0,-1.0,0.05
current_shadow,2024,2024-03-17,Fremantle Dockers,Brisbane Lions,home,0.06053938556321059,2.3,1.2999999999999998,0.05
current_shadow,2024,2024-03-21,St Kilda Saints,Collingwood Magpies,away,0.056528124511970645,1.54,-1.0,0.05
current_shadow,2024,2024-03-22,Adelaide Crows,Geelong Cats,away,0.1332784699638505,3.0,2.0,0.05
current_shadow,2024,2024-03-23,Hawthorn Hawks,Melbourne Demons,home,0.33469390139287825,3.6,-1.0,0.05
current_shadow,2024,2024-03-23,Sydney Swans,Essendon Bombers,home,0.07732121033961725,1.18,0.17999999999999994,0.05
current_shadow,2024,2024-03-24,Western Bulldogs,Gold Coast Suns,away,0.12173909544944761,2.4,-1.0,0.05
current_shadow,2024,2024-03-24,Richmond Tigers,Port Adelaide Power,home,0.3101254292971182,3.2,-1.0,0.05
current_shadow,2024,2024-03-29,North Melbourne Kangaroos,Carlton Blues,home,0.4150470457854316,5.2,-1.0,0.05
current_shadow,2024,2024-03-29,Fremantle Dockers,Adelaide Crows,home,0.058673469387755084,1.7,0.7,0.05
current_shadow,2024,2024-03-30,Essendon Bombers,St Kilda Saints,home,0.15128207512390918,2.15,1.15,0.05
current_shadow,2024,2024-03-31,Western Bulldogs,West Coast Eagles,away,0.22379835005159732,13.0,-1.0,0.05
current_shadow,2024,2024-03-31,Richmond Tigers,Sydney Swans,home,0.08851851136596114,4.15,3.1500000000000004,0.05
current_shadow,2024,2024-04-01,Hawthorn Hawks,Geelong Cats,home,0.22751681142383157,3.1,-1.0,0.05
current_shadow,2024,2024-04-04,Adelaide Crows,Melbourne Demons,home,0.10173281699346148,2.55,-1.0,0.05
current_shadow,2024,2024-04-05,Brisbane Lions,North Melbourne Kangaroos,away,0.2326874205844981,6.75,-1.0,0.05
current_shadow,2024,2024-04-05,Port Adelaide Power,Essendon Bombers,away,0.07200715504925981,4.25,-1.0,0.05
current_shadow,2024,2024-04-06,West Coast Eagles,Sydney Swans,home,0.19905094905094906,19.0,-1.0,0.05
current_shadow,2024,2024-04-06,Fremantle Dockers,Carlton Blues,home,0.21545226130653267,2.35,-1.0,0.05
current_shadow,2024,2024-04-07,Gold Coast Suns,Greater Western Sydney Giants,home,0.060000022649765006,3.7,-1.0,0.05
current_shadow,2024,2024-04-07,Collingwood Magpies,Hawthorn Hawks,away,0.07242755539767387,4.5,-1.0,0.05
current_shadow,2024,2024-04-11,Melbourne Demons,Brisbane Lions,home,0.07313740595676099,1.5,-1.0,0.05
current_shadow,2024,2024-04-12,Western Bulldogs,Essendon Bombers,home,0.28623399582315,1.35,-1.0,0.05
current_shadow,2024,2024-04-13,Carlton Blues,Adelaide Crows,home,0.2589999532699584,1.3,-1.0,0.05
