bets,profit,roi,model,threshold
487,-32.74600000000001,-0.06724024640657086,current_shadow,0.05
417,-32.919,-0.07894244604316546,current_shadow,0.07
321,-40.873999999999995,-0.12733333333333333,current_shadow,0.1
205,-42.83500000000001,-0.20895121951219517,current_shadow,0.15
122,-32.727,-0.2682540983606557,current_shadow,0.2
463,-34.503,-0.07452051835853132,legacy_primary,0.05
395,-27.206000000000003,-0.06887594936708862,legacy_primary,0.07
305,-22.897000000000002,-0.075072131147541,legacy_primary,0.1
202,-16.727,-0.08280693069306931,legacy_primary,0.15
122,0.45500000000000096,0.0037295081967213192,legacy_primary,0.2
