model,probability_bin,games,mean_prediction,actual_home_win_rate,calibration_gap
current_shadow,"(-0.001, 0.1]",3,0.03138322,0.3333333333333333,0.30195011322697
current_shadow,"(0.1, 0.2]",13,0.17249417,0.15384615384615385,-0.018648019203772903
current_shadow,"(0.2, 0.3]",12,0.25,0.4166666666666667,0.16666666666666669
current_shadow,"(0.3, 0.4]",42,0.3337652,0.2619047619047619,-0.07186044681639897
current_shadow,"(0.4, 0.5]",167,0.4559478,0.4431137724550898,-0.012834014114505521
current_shadow,"(0.5, 0.6]",72,0.57208675,0.5972222222222222,0.025135470761193157
current_shadow,"(0.6, 0.7]",213,0.6383748,0.6197183098591549,-0.018656495591284572
current_shadow,"(0.7, 0.8]",38,0.7369253,0.6842105263157895,-0.05271477762021515
current_shadow,"(0.8, 0.9]",61,0.87315077,0.7868852459016393,-0.08626551999420418
current_shadow,"(0.9, 1.0]",27,0.98645043,0.9259259259259259,-0.06052450780515317
legacy_primary,"(-0.001, 0.1]",32,0.059904467,0.125,0.06509553268551826
legacy_primary,"(0.1, 0.2]",31,0.14470705,0.3548387096774194,0.21013165577765436
legacy_primary,"(0.2, 0.3]",49,0.26112324,0.32653061224489793,0.06540737225084886
legacy_primary,"(0.3, 0.4]",42,0.35089874,0.42857142857142855,0.0776726858956473
legacy_primary,"(0.4, 0.5]",67,0.4563752,0.5223880597014925,0.06601284822421283
legacy_primary,"(0.5, 0.6]",76,0.55319494,0.5394736842105263,-0.013721255879653116
legacy_primary,"(0.6, 0.7]",90,0.6460511,0.6333333333333333,-0.012717775503794382
legacy_primary,"(0.7, 0.8]",119,0.75478476,0.5630252100840336,-0.19175955277531087
legacy_primary,"(0.8, 0.9]",77,0.84513897,0.7922077922077922,-0.05293117482940868
legacy_primary,"(0.9, 1.0]",65,0.950747,0.8769230769230769,-0.0738239361689641
